gene_name	log2_fold_change	FDR_adjusted_p_value	ref_allele	non_ref_allele	sample_size
ENSG00000012963|UBR7	-0.0701993524017994	0.489965034799485	AD	Control	238
ENSG00000012983|MAP4K5	0.179469524264217	0.0074504741488552	AD	Control	238
ENSG00000241644|INMT	0.372946522452457	0.0070976975588158	AD	Control	238
ENSG00000012061|ERCC1	0.0184811370341943	0.635766349853216	AD	Control	238
ENSG00000011198|ABHD5	0.0278618442653762	0.730610884842289	AD	Control	238
ENSG00000013588|GPRC5A	0.323495266125262	0.0155578475873368	AD	Control	238
ENSG00000013583|HEBP1	0.131883640843338	0.0300341317146635	AD	Control	238
ENSG00000013563|DNASE1L1	0.0376590965201378	0.710817116049007	AD	Control	238
ENSG00000014919|COX15	-0.0762420375800965	0.162286531990161	AD	Control	238
ENSG00000071203|MS4A12	1.01763244083404	1.0	AD	Control	238
ENSG00000015568|RGPD5	-0.0660839321438575	0.57079629614737	AD	Control	238
ENSG00000015532|XYLT2	0.156267459157964	0.113250558463041	AD	Control	238
ENSG00000068438|FTSJ1	0.0024488756591661	0.980443936093085	AD	Control	238
ENSG00000080293|SCTR	0.167307426144879	0.378263352626424	AD	Control	238
ENSG00000017797|RALBP1	0.0053631494164488	0.921333784006573	AD	Control	238
ENSG00000059915|PSD	-0.217262790112143	0.0101615744812217	AD	Control	238
ENSG00000019505|SYT13	-0.39128602284743	0.0129571950043666	AD	Control	238
ENSG00000019549|SNAI2	0.0926812630352773	0.504809342632398	AD	Control	238
ENSG00000078668|VDAC3	-0.319870516604226	0.0565479876415021	AD	Control	238
ENSG00000021488|SLC7A9	0.238583732090607	0.118669711546453	AD	Control	238
ENSG00000022355|GABRA1	-0.41712481681508	0.0515152036179502	AD	Control	238
ENSG00000022277|RTF2	-0.044591461573757	0.587829869332866	AD	Control	238
ENSG00000022567|SLC45A4	-0.0615038023915394	0.612408328692469	AD	Control	238
ENSG00000023287|RB1CC1	-0.245123164248819	0.0038827907860177	AD	Control	238
ENSG00000023516|AKAP11	-0.256343681590957	0.0136531288336474	AD	Control	238
ENSG00000023734|STRAP	-0.28445869798803	0.0353604640074008	AD	Control	238
ENSG00000007541|PIGQ	0.171015660597852	0.060205616340798	AD	Control	238
ENSG00000079112|CDH17	0.181699521960489	0.129293820856131	AD	Control	238
ENSG00000026297|RNASET2	0.153996859232427	0.133743691684267	AD	Control	238
ENSG00000027847|B4GALT7	-0.0192338155885654	0.751100174481418	AD	Control	238
ENSG00000029364|SLC39A9	-0.0974684959324175	0.243403683827503	AD	Control	238
ENSG00000031003|FAM13B	-0.0171852687075462	0.777837482940247	AD	Control	238
ENSG00000031823|RANBP3	0.129133540126463	0.081617834449173	AD	Control	238
ENSG00000033100|CHPF2	-0.0756826587877149	0.196809733555553	AD	Control	238
ENSG00000033122|LRRC7	-0.267007078077064	0.0107873825939448	AD	Control	238
ENSG00000034713|GABARAPL2	-0.0712124650153265	0.497704883037242	AD	Control	238
ENSG00000034971|MYOC	0.553742745208006	1.0	AD	Control	238
ENSG00000035141|FAM136A	-0.158121943853764	0.0363024707865481	AD	Control	238
ENSG00000035681|NSMAF	-0.0568181022066114	0.564868438216696	AD	Control	238
ENSG00000036473|OTC	-0.0221886562946066	0.948275020698919	AD	Control	238
ENSG00000052841|TTC17	0.0107674934935501	0.909266721639302	AD	Control	238
ENSG00000037965|HOXC8	1.29007723811805	1.0	AD	Control	238
ENSG00000037757|MRI1	0.0609683024106318	0.388734517868284	AD	Control	238
ENSG00000038219|BOD1L1	-0.0766199683780426	0.0834814181029633	AD	Control	238
ENSG00000059588|TARBP1	-0.374264627518017	0.0094809030697247	AD	Control	238
ENSG00000039523|RIPOR1	0.0311794739723013	0.72382883162917	AD	Control	238
ENSG00000039987|BEST2	0.0910076072057921	0.453040171039893	AD	Control	238
ENSG00000040608|RTN4R	-0.294280315350201	0.0056826846613872	AD	Control	238
ENSG00000041357|PSMA4	-0.203191409890433	0.100778071909029	AD	Control	238
ENSG00000042062|RIPOR3	0.301938400962597	0.0722364138495289	AD	Control	238
ENSG00000042317|SPATA7	-0.0998623491362896	0.141600911204932	AD	Control	238
ENSG00000042813|ZPBP	-0.183274297655741	0.357155681592683	AD	Control	238
ENSG00000040531|CTNS	0.216199960825049	0.0319724319483751	AD	Control	238
ENSG00000043462|LCP2	0.279821074669122	0.062837288880098	AD	Control	238
ENSG00000047932|GOPC	-0.210622656358586	0.0350007335551425	AD	Control	238
ENSG00000011465|DCN	0.250842186687706	0.0702248040978445	AD	Control	238
ENSG00000048462|TNFRSF17	0.341560335827445	0.112114494369271	AD	Control	238
ENSG00000048544|MRPS10	-0.198180083797327	0.0227371281806593	AD	Control	238
ENSG00000048545|GUCA1A	-0.104321542065697	0.672734516409107	AD	Control	238
ENSG00000030582|GRN	0.30121036744671	0.004515546180092	AD	Control	238
ENSG00000041988|THAP3	0.104950774733786	0.0764575932726471	AD	Control	238
ENSG00000049245|VAMP3	0.224133818327043	0.0014908803307044	AD	Control	238
ENSG00000049247|UTS2	-0.176776827907913	1.0	AD	Control	238
ENSG00000049449|RCN1	-0.0881441164608255	0.435496162492939	AD	Control	238
ENSG00000049541|RFC2	0.0225684987733664	0.811858556628437	AD	Control	238
ENSG00000049769|PPP1R3F	-0.046233465864502	0.488780506785227	AD	Control	238
ENSG00000050030|NEXMIF	-0.330434235765577	0.0082541123759744	AD	Control	238
