gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000013563|DNASE1L1	0.109875543	3.86495e-06	AD	Control	160
ENSG00000014919|COX15	-0.136006852	3.54422e-07	AD	Control	160
ENSG00000015568|RGPD5	0.00778258	2.86408e-05	AD	Control	160
ENSG00000015532|XYLT2	-0.140722848	1.35393e-08	AD	Control	160
ENSG00000068438|FTSJ1	-0.054739066	3.48454e-06	AD	Control	160
ENSG00000080293|SCTR	-0.698567692	6.61264e-10	AD	Control	160
ENSG00000017797|RALBP1	0.196011049	2.58636e-10	AD	Control	160
ENSG00000059915|PSD	-0.057086569	2.10087e-05	AD	Control	160
ENSG00000019505|SYT13	-0.304456918	3.52226e-06	AD	Control	160
ENSG00000019549|SNAI2	0.400186288	1.02275e-07	AD	Control	160
ENSG00000078668|VDAC3	-0.068289005	1.70438e-05	AD	Control	160
ENSG00000021488|SLC7A9	0.119888043	1.8945e-05	AD	Control	160
ENSG00000022355|GABRA1	-0.472149457	6.6776e-07	AD	Control	160
ENSG00000022277|RTF2	0.036029907	1.39942e-05	AD	Control	160
ENSG00000022567|SLC45A4	0.128269429	1.21238e-05	AD	Control	160
ENSG00000023287|RB1CC1	-0.072049825	1.64347e-05	AD	Control	160
ENSG00000023516|AKAP11	-0.107383628	9.14729e-06	AD	Control	160
ENSG00000023734|STRAP	-0.082250105	5.3003e-06	AD	Control	160
ENSG00000007541|PIGQ	-0.237704502	7.82863e-08	AD	Control	160
ENSG00000079112|CDH17	-0.129960792	7.02868e-06	AD	Control	160
ENSG00000026297|RNASET2	-0.31471453	1.93453e-07	AD	Control	160
ENSG00000027847|B4GALT7	-0.164302508	1.00937e-07	AD	Control	160
ENSG00000029364|SLC39A9	0.007585276	2.70568e-05	AD	Control	160
ENSG00000031003|FAM13B	0.078208928	1.0835e-05	AD	Control	160
ENSG00000031823|RANBP3	0.031198597	9.31944e-06	AD	Control	160
ENSG00000033100|CHPF2	-0.061140088	1.0414e-05	AD	Control	160
ENSG00000033122|LRRC7	-0.105620285	1.14773e-05	AD	Control	160
ENSG00000034713|GABARAPL2	-0.095768623	6.91514e-07	AD	Control	160
ENSG00000034971|MYOC	0.195186951	2.01542e-05	AD	Control	160
ENSG00000035141|FAM136A	-0.019969507	2.46749e-05	AD	Control	160
ENSG00000035681|NSMAF	0.02681006	2.07786e-05	AD	Control	160
ENSG00000036473|OTC	0.002710089	3.03847e-05	AD	Control	160
ENSG00000052841|TTC17	0.012561365	2.5855e-05	AD	Control	160
ENSG00000037965|HOXC8	-0.071401954	3.06673e-05	AD	Control	160
ENSG00000037757|MRI1	-0.102246935	4.43183e-06	AD	Control	160
