MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000281418|SDHAP2	ad	control	319.00	-0.296	0.7671	-+	63.7	2.752	1	0.09711
ENSG00000224314|AC005002.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000137266|SLC22A23	ad	control	319.00	2.360	0.0183	++	12.0	1.136	1	0.2865
ENSG00000062485|CS	ad	control	319.00	-1.929	0.05371	--	55.5	2.249	1	0.1337
ENSG00000228209|AC073091.1	ad	control	319.00	-1.289	0.1972	--	25.5	1.343	1	0.2465
ENSG00000276960|AL109933.4	ad	control	319.00	-0.230	0.8178	-+	0.0	0.713	1	0.3986
ENSG00000175356|SCUBE2	ad	control	319.00	-0.627	0.5303	-+	50.2	2.009	1	0.1564
ENSG00000230022|FNTAP2	ad	control	319.00	1.353	0.1761	++	0.0	0.043	1	0.8363
ENSG00000243627|SMIM34A	ad	control	319.00	-0.569	0.5696	--	0.0	0.026	1	0.8711
ENSG00000231270|AL772284.1	ad	control	319.00	-0.502	0.6155	-0	0.0	0.251	1	0.6166
ENSG00000177989|ODF3B	ad	control	319.00	-2.446	0.01444	-+	92.5	13.313	1	0.0002636
ENSG00000228110|ST13P19	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000250480|AC034244.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000239648|MTND1P3	ad	control	319.00	0.351	0.7253	-+	0.0	0.433	1	0.5105
ENSG00000171217|CLDN20	ad	control	319.00	-0.813	0.4164	-+	4.2	1.044	1	0.3069
ENSG00000248716|AC093815.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000177947|ODF3	ad	control	319.00	-1.263	0.2065	-+	78.1	4.559	1	0.03275
ENSG00000276293|PIP4K2B	ad	control	319.00	-0.904	0.3662	+-	76.5	4.259	1	0.03905
ENSG00000121900|TMEM54	ad	control	319.00	0.109	0.9131	-+	0.0	0.420	1	0.5171
ENSG00000226071|HLA-DPB2	ad	control	319.00	-0.783	0.4335	-+	0.0	0.682	1	0.409
ENSG00000283199|C13orf46	ad	control	319.00	-0.430	0.6669	-+	55.3	2.239	1	0.1346
ENSG00000173436|MINOS1	ad	control	319.00	-3.595	0.0003241	--	72.3	3.613	1	0.05733
ENSG00000054282|SDCCAG8	ad	control	319.00	-2.252	0.02435	-+	93.3	14.907	1	0.0001129
ENSG00000226905|AC005040.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000249068|AC008417.1	ad	control	319.00	1.331	0.1833	-+	54.3	2.190	1	0.1389
ENSG00000277868|CCDC125	ad	control	319.00	0.801	0.423	+-	0.0	0.661	1	0.4162
ENSG00000233710|AL049564.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000226415|TPI1P1	ad	control	319.00	-0.396	0.6924	-0	0.0	0.156	1	0.6933
ENSG00000235136|AL627224.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000228111|TPT1P2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
