MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000250796|AC112484.2	ad	control	319.00	-0.117	0.9071	-0	0.0	0.014	1	0.9074
ENSG00000107537|PHYH	ad	control	319.00	0.419	0.6755	+-	21.2	1.269	1	0.26
ENSG00000258227|CLEC5A	ad	control	319.00	3.154	0.001611	++	41.7	1.716	1	0.1902
ENSG00000228727|SAPCD1	ad	control	319.00	-0.544	0.5862	-0	0.0	0.294	1	0.5874
ENSG00000100027|YPEL1	ad	control	319.00	-1.024	0.3061	--	0.0	0.025	1	0.8734
ENSG00000080618|CPB2	ad	control	319.00	-1.338	0.181	-+	78.2	4.582	1	0.03231
ENSG00000253691|IGKV2OR22-4	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000282059|CICP19	ad	control	319.00	0.522	0.6014	++	0.0	0.154	1	0.6945
ENSG00000228997|AL136452.1	ad	control	319.00	-0.247	0.8049	+-	0.0	0.148	1	0.7001
ENSG00000198931|APRT	ad	control	319.00	-2.833	0.004614	-+	90.2	10.168	1	0.001429
ENSG00000149527|PLCH2	ad	control	319.00	-5.861	4.601e-09	--	91.4	11.581	1	0.0006664
ENSG00000106351|AGFG2	ad	control	319.00	6.532	6.482e-11	++	93.8	16.202	1	5.693e-05
ENSG00000262085|OR1P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000228861|RPL23AP12	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000252667|RNA5SP523	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
ENSG00000183560|IZUMO1R	ad	control	319.00	1.184	0.2365	+0	28.2	1.392	1	0.238
ENSG00000151498|ACAD8	ad	control	319.00	-1.764	0.07774	--	0.0	0.743	1	0.3888
ENSG00000235687|LINC00993	ad	control	319.00	0.654	0.513	++	0.0	0.103	1	0.7483
ENSG00000134852|CLOCK	ad	control	319.00	-0.087	0.9308	+-	73.1	3.717	1	0.05387
ENSG00000077454|LRCH4	ad	control	319.00	0.263	0.7929	-+	67.8	3.107	1	0.07797
ENSG00000137055|PLAA	ad	control	319.00	-0.658	0.5107	+-	75.1	4.015	1	0.0451
ENSG00000132554|RGS22	ad	control	319.00	1.913	0.05576	++	0.0	0.061	1	0.8054
ENSG00000235507|ZDHHC20P1	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
ENSG00000196632|WNK3	ad	control	319.00	-1.156	0.2476	--	20.8	1.262	1	0.2613
ENSG00000096717|SIRT1	ad	control	319.00	2.048	0.04057	++	42.6	1.743	1	0.1867
ENSG00000233984|RPSAP14	ad	control	319.00	-0.899	0.3688	--	0.0	0.711	1	0.3992
ENSG00000161944|ASGR2	ad	control	319.00	0.146	0.8841	-+	37.4	1.599	1	0.2061
ENSG00000136231|IGF2BP3	ad	control	319.00	-0.494	0.6211	-+	52.2	2.091	1	0.1482
ENSG00000160191|PDE9A	ad	control	319.00	-0.172	0.8631	-+	55.8	2.264	1	0.1324
ENSG00000143740|SNAP47	ad	control	319.00	-0.772	0.4398	+-	51.2	2.048	1	0.1524
ENSG00000234969|AL627389.1	ad	control	319.00	-0.624	0.5324	--	0.0	0.170	1	0.68
ENSG00000154127|UBASH3B	ad	control	319.00	-2.634	0.008444	--	41.5	1.709	1	0.1912
ENSG00000127585|FBXL16	ad	control	319.00	-1.075	0.2825	--	0.0	0.006	1	0.9361
ENSG00000256804|AC138466.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000165283|STOML2	ad	control	319.00	-0.733	0.4634	+-	0.0	0.667	1	0.414
ENSG00000215317|THUMPD1P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000221891|FAM218BP	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000094841|UPRT	ad	control	319.00	-1.075	0.2826	+-	28.5	1.399	1	0.2369
ENSG00000256646|AC010132.3	ad	control	319.00	1.314	0.1889	+-	77.6	4.456	1	0.03478
ENSG00000249838|SUMO2P7	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000075711|DLG1	ad	control	319.00	-1.135	0.2563	-+	53.0	2.126	1	0.1448
ENSG00000105366|SIGLEC8	ad	control	319.00	2.186	0.02885	-+	88.6	8.750	1	0.003097
ENSG00000240224|UGT1A5	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000228868|MYLKP1	ad	control	319.00	0.496	0.6202	+0	0.0	0.244	1	0.6213
ENSG00000262612|TAS2R43	ad	control	319.00	0.398	0.6904	+-	0.0	0.792	1	0.3736
ENSG00000204991|SPIRE2	ad	control	319.00	-1.496	0.1345	-+	76.0	4.171	1	0.04113
ENSG00000111961|SASH1	ad	control	319.00	5.868	4.404e-09	++	85.4	6.866	1	0.008784
ENSG00000285027|ALG1L13P	ad	control	319.00	-1.316	0.1883	-+	65.2	2.872	1	0.09011
ENSG00000162734|PEA15	ad	control	319.00	-0.093	0.9262	-+	0.0	0.390	1	0.5323
ENSG00000285246|NEDD8	ad	control	319.00	-3.249	0.001157	--	0.0	0.441	1	0.5064
ENSG00000270225|MTCO2P22	ad	control	319.00	0.959	0.3377	+0	0.0	0.914	1	0.3392
ENSG00000154143|PANX3	ad	control	319.00	-0.353	0.7241	-+	0.0	0.131	1	0.7177
ENSG00000255346|NOX5	ad	control	319.00	-0.681	0.4959	-+	69.0	3.224	1	0.07259
ENSG00000167207|NOD2	ad	control	319.00	2.620	0.008803	++	0.0	0.901	1	0.3425
ENSG00000234906|APOC2	ad	control	319.00	-0.727	0.467	-+	90.4	10.378	1	0.001275
ENSG00000237012|C6orf136	ad	control	319.00	-2.259	0.02391	--	58.3	2.397	1	0.1215
ENSG00000243147|MRPL33	ad	control	319.00	-0.038	0.9698	+-	0.0	0.067	1	0.7951
ENSG00000265646|TUFMP1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000226188|HNRNPA1P3	ad	control	319.00	-0.041	0.9671	-+	53.6	2.157	1	0.142
ENSG00000248506|AC097474.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000240791|MTND4LP7	ad	control	319.00	0.168	0.8667	+0	0.0	0.028	1	0.8671
ENSG00000134759|ELP2	ad	control	319.00	-4.916	8.833e-07	--	87.0	7.705	1	0.005506
ENSG00000244020|MT1HL1	ad	control	319.00	0.690	0.4902	+0	0.0	0.473	1	0.4915
ENSG00000185164|NOMO2	ad	control	319.00	-2.468	0.01358	--	0.0	0.070	1	0.7908
ENSG00000266286|AC037482.3	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000142168|SOD1	ad	control	319.00	-1.639	0.1012	--	0.0	0.696	1	0.4041
ENSG00000180398|MCFD2	ad	control	319.00	1.582	0.1138	+-	68.2	3.145	1	0.07617
ENSG00000139193|CD27	ad	control	319.00	-3.302	0.0009584	-+	90.9	10.931	1	0.0009459
ENSG00000282252|TRBV14	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000135378|PRRG4	ad	control	319.00	3.640	0.0002732	++	0.0	0.256	1	0.613
ENSG00000259304|AC090888.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000280895|SETD8P1	ad	control	319.00	-0.072	0.9426	-0	0.0	0.005	1	0.9427
ENSG00000166821|PEX11A	ad	control	319.00	3.382	0.0007206	++	46.9	1.882	1	0.1701
ENSG00000235636|NUS1P1	ad	control	319.00	-0.259	0.7958	-0	0.0	0.067	1	0.7964
ENSG00000179431|FJX1	ad	control	319.00	-2.362	0.01819	--	0.0	0.131	1	0.7177
ENSG00000164068|RNF123	ad	control	319.00	-2.374	0.01759	--	15.6	1.185	1	0.2763
ENSG00000132693|CRP	ad	control	319.00	1.731	0.08337	+0	66.4	2.979	1	0.08434
ENSG00000257576|HSPD1P4	ad	control	319.00	-3.266	0.001089	--	43.0	1.753	1	0.1855
ENSG00000115866|DARS	ad	control	319.00	-0.012	0.9906	+-	67.8	3.106	1	0.07801
ENSG00000102984|ZNF821	ad	control	319.00	-2.876	0.004032	--	0.0	0.003	1	0.9534
ENSG00000236972|FABP5P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000259315|ACTG1P17	ad	control	319.00	-4.309	1.643e-05	-+	96.8	31.216	1	2.309e-08
ENSG00000220541|AC233289.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000224960|PPP4R3C	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000256937|KRT17P8	ad	control	319.00	0.662	0.508	-+	0.0	0.913	1	0.3392
ENSG00000106246|PTCD1	ad	control	319.00	0.220	0.8257	-+	0.0	0.218	1	0.6409
ENSG00000255380|AP001317.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000185774|KCNIP4	ad	control	319.00	-2.592	0.009535	--	8.4	1.092	1	0.296
ENSG00000176774|MAGEB18	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000143324|XPR1	ad	control	319.00	-0.358	0.7206	+-	10.7	1.119	1	0.2901
ENSG00000182903|ZNF721	ad	control	319.00	-1.805	0.07105	--	0.0	0.049	1	0.8256
ENSG00000166166|TRMT61A	ad	control	319.00	-1.859	0.06304	-+	72.5	3.640	1	0.05642
ENSG00000225486|AL663058.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000256913|AC005840.3	ad	control	319.00	0.012	0.9905	+0	0.0	0.000	1	0.9906
ENSG00000167600|CYP2S1	ad	control	319.00	0.647	0.5179	++	0.0	0.098	1	0.7543
ENSG00000278232|CRHR1	ad	control	319.00	-0.277	0.7814	--	0.0	0.024	1	0.8757
ENSG00000062282|DGAT2	ad	control	319.00	-1.748	0.08038	--	0.0	0.732	1	0.3922
ENSG00000273813|AC123788.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000162062|TEDC2	ad	control	319.00	-2.278	0.02273	--	0.0	0.953	1	0.329
ENSG00000211815|TRAV36DV7	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000243492|HLA-L	ad	control	319.00	0.636	0.5245	++	0.0	0.015	1	0.9037
ENSG00000230386|AC104057.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000250215|CIR1P2	ad	control	319.00	-1.276	0.202	-+	50.4	2.017	1	0.1556
ENSG00000161249|DMKN	ad	control	319.00	-2.676	0.007441	--	67.8	3.105	1	0.07804
ENSG00000055483|USP36	ad	control	319.00	-1.757	0.07894	-+	88.7	8.821	1	0.002978
ENSG00000259192|AC109631.1	ad	control	319.00	-0.161	0.8724	--	0.0	0.011	1	0.9154
ENSG00000154059|IMPACT	ad	control	319.00	-1.594	0.1109	--	0.0	0.009	1	0.925
ENSG00000101751|POLI	ad	control	319.00	-0.432	0.666	-+	0.0	0.211	1	0.6463
ENSG00000276464|POMZP3	ad	control	319.00	-0.230	0.818	-+	49.2	1.970	1	0.1605
ENSG00000237891|AL441985.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000172425|TTC36	ad	control	319.00	-2.364	0.0181	--	0.0	0.588	1	0.4431
ENSG00000214347|AC011491.1	ad	control	319.00	-0.171	0.8641	-0	0.0	0.029	1	0.8645
ENSG00000260327|ACTR3BP3	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000260883|VN1R65P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000260660|AC113208.2	ad	control	319.00	-1.512	0.1306	-+	84.9	6.601	1	0.01019
ENSG00000273642|AC012314.1	ad	control	319.00	-3.325	0.0008852	--	78.2	4.594	1	0.03209
ENSG00000228667|AL157385.1	ad	control	319.00	-0.075	0.9398	-+	52.0	2.083	1	0.149
ENSG00000211687|TRGJ2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000274911|AL627230.2	ad	control	319.00	-1.173	0.2407	-+	76.5	4.257	1	0.03909
ENSG00000156564|LRFN2	ad	control	319.00	-1.956	0.0505	--	0.0	0.364	1	0.5464
ENSG00000160799|CCDC12	ad	control	319.00	-2.034	0.042	-+	83.9	6.202	1	0.01276
ENSG00000274194|MBOAT7	ad	control	319.00	0.050	0.9601	+0	0.0	0.002	1	0.9602
ENSG00000227871|USP9YP12	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000231321|RXRB	ad	control	319.00	-0.167	0.8673	-+	68.4	3.165	1	0.07523
ENSG00000277495|OR13A1	ad	control	319.00	-0.075	0.9406	-0	0.0	0.006	1	0.9408
ENSG00000104626|ERI1	ad	control	319.00	1.641	0.1008	++	0.0	0.990	1	0.3198
ENSG00000258477|PPIAP6	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000254352|AC100854.1	ad	control	319.00	-0.396	0.6921	+-	65.3	2.880	1	0.08969
ENSG00000163013|FBXO41	ad	control	319.00	-2.016	0.04376	+-	76.0	4.167	1	0.04122
ENSG00000074201|CLNS1A	ad	control	319.00	-0.493	0.6224	--	0.0	0.135	1	0.7133
ENSG00000222178|RNA5SP181	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000258764|AL049874.4	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000122870|BICC1	ad	control	319.00	0.853	0.3934	+-	53.0	2.128	1	0.1446
ENSG00000166188|ZNF319	ad	control	319.00	3.875	0.0001068	++	89.5	9.485	1	0.002071
ENSG00000234569|RAD1P1	ad	control	319.00	-0.062	0.9504	-0	0.0	0.004	1	0.9505
ENSG00000267336|EIF4A2P1	ad	control	319.00	-0.576	0.5645	-0	0.0	0.330	1	0.5658
ENSG00000132463|GRSF1	ad	control	319.00	-1.147	0.2515	--	14.8	1.174	1	0.2786
ENSG00000231679|HLA-DRB3	ad	control	319.00	0.314	0.7537	-+	0.0	0.583	1	0.4449
ENSG00000165704|HPRT1	ad	control	319.00	-2.736	0.006215	--	0.0	0.047	1	0.8276
ENSG00000234664|HMGN2P5	ad	control	319.00	-0.102	0.9188	-+	0.0	0.944	1	0.3312
ENSG00000217268|TXNP7	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000170802|FOXN2	ad	control	319.00	2.154	0.03126	++	0.0	0.355	1	0.551
ENSG00000230405|RPS3AP52	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000067208|EVI5	ad	control	319.00	-1.775	0.07596	--	47.0	1.887	1	0.1696
ENSG00000141255|SPATA22	ad	control	319.00	-0.037	0.9702	--	0.0	0.000	1	0.9975
ENSG00000277277|FAM243B	ad	control	319.00	0.705	0.4811	++	0.0	0.000	1	0.9949
ENSG00000252650|RNA5SP75	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000072858|SIDT1	ad	control	319.00	-4.107	4.002e-05	--	0.0	0.250	1	0.6169
ENSG00000241166|HLA-L	ad	control	319.00	-0.033	0.9735	-+	0.0	0.040	1	0.8409
ENSG00000233943|AC114973.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000223448|LTB	ad	control	319.00	-1.492	0.1356	-0	54.8	2.213	1	0.1368
ENSG00000164442|CITED2	ad	control	319.00	-3.351	0.0008043	--	0.0	0.548	1	0.4593
ENSG00000236801|RPL24P8	ad	control	319.00	0.587	0.5571	+-	0.0	0.685	1	0.408
ENSG00000250778|AC004980.4	ad	control	319.00	-0.307	0.7586	-0	0.0	0.094	1	0.7594
ENSG00000223375|AC096638.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000237770|SPATA31D2P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000143862|ARL8A	ad	control	319.00	-1.923	0.05447	--	65.0	2.857	1	0.09098
ENSG00000282247|AC245049.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000250361|GYPB	ad	control	319.00	-0.990	0.3222	+-	8.9	1.097	1	0.2949
ENSG00000241635|UGT1A1	ad	control	319.00	0.339	0.7344	-+	0.0	0.686	1	0.4076
ENSG00000109101|FOXN1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000206500|RNF39	ad	control	319.00	-0.693	0.4882	--	0.0	0.179	1	0.6721
ENSG00000231060|FARSBP1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000173894|CBX2	ad	control	319.00	0.488	0.6254	++	0.0	0.022	1	0.8809
ENSG00000165060|FXN	ad	control	319.00	-0.385	0.6999	-+	76.8	4.314	1	0.03779
ENSG00000232045|EHMT2	ad	control	319.00	-1.358	0.1744	-+	74.7	3.956	1	0.0467
ENSG00000215296|TMCO5B	ad	control	319.00	0.715	0.4747	-+	83.2	5.968	1	0.01457
ENSG00000198945|L3MBTL3	ad	control	319.00	-0.804	0.4215	-+	0.0	0.758	1	0.384
ENSG00000226857|DUTP3	ad	control	319.00	0.196	0.8447	++	0.0	0.005	1	0.9458
ENSG00000274997|HIST1H2AH	ad	control	319.00	1.850	0.06431	-+	73.3	3.749	1	0.05283
ENSG00000116191|RALGPS2	ad	control	319.00	1.020	0.3077	+-	64.8	2.842	1	0.09185
ENSG00000283542|OASL2P	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000276623|AC106872.12	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000071127|WDR1	ad	control	319.00	5.227	1.726e-07	++	82.8	5.805	1	0.01598
ENSG00000096264|NCR2	ad	control	319.00	-0.629	0.5296	-0	0.0	0.393	1	0.5309
ENSG00000104888|SLC17A7	ad	control	319.00	-2.226	0.02603	--	15.7	1.186	1	0.276
ENSG00000180770|OR7E129P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000019169|MARCO	ad	control	319.00	4.810	1.507e-06	++	74.2	3.872	1	0.0491
ENSG00000224261|RPSAP18	ad	control	319.00	0.410	0.6815	++	0.0	0.165	1	0.6848
ENSG00000228987|HLA-DRA	ad	control	319.00	0.143	0.8862	-+	0.0	0.131	1	0.7177
ENSG00000125337|KIF25	ad	control	319.00	-1.409	0.1588	--	0.0	0.473	1	0.4916
ENSG00000133789|SWAP70	ad	control	319.00	6.098	1.075e-09	++	75.5	4.074	1	0.04355
ENSG00000227057|WDR46	ad	control	319.00	-0.826	0.4089	--	0.0	0.049	1	0.8245
ENSG00000135913|USP37	ad	control	319.00	1.888	0.059	++	0.0	0.018	1	0.8926
ENSG00000075624|ACTB	ad	control	319.00	-3.407	0.0006557	--	90.4	10.424	1	0.001244
ENSG00000165105|RASEF	ad	control	319.00	1.980	0.04772	++	0.0	0.175	1	0.6759
ENSG00000280852|AC025048.6	ad	control	319.00	0.757	0.4489	++	0.0	0.131	1	0.7177
ENSG00000176386|CDC26	ad	control	319.00	1.938	0.05261	++	47.8	1.916	1	0.1663
ENSG00000170848|PSG6	ad	control	319.00	-2.940	0.00328	--	78.3	4.615	1	0.0317
ENSG00000178301|AQP11	ad	control	319.00	-2.706	0.006808	--	0.0	0.146	1	0.7023
ENSG00000197651|CCER1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000238111|AC066692.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000088035|ALG6	ad	control	319.00	-3.398	0.0006784	--	63.2	2.717	1	0.09926
ENSG00000225008|AC234781.2	ad	control	319.00	0.423	0.6722	+0	0.0	0.178	1	0.6732
ENSG00000181943|OR4A21P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000101680|LAMA1	ad	control	319.00	2.264	0.02358	++	0.0	0.105	1	0.7461
ENSG00000215572|ESRRAP1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000275984|AC011515.1	ad	control	319.00	-0.894	0.3712	-0	0.0	0.795	1	0.3727
ENSG00000078319|PMS2P1	ad	control	319.00	-4.297	1.73e-05	--	77.8	4.508	1	0.03374
ENSG00000215154|AC141586.1	ad	control	319.00	0.198	0.8431	-+	17.8	1.217	1	0.27
ENSG00000241319|SETP6	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000225935|BANF1P5	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000211951|IGHV2-26	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000253897|AC034205.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000136048|DRAM1	ad	control	319.00	1.999	0.04558	++	0.0	0.427	1	0.5133
ENSG00000179593|ALOX15B	ad	control	319.00	2.543	0.01099	++	0.0	0.038	1	0.8461
ENSG00000166224|SGPL1	ad	control	319.00	3.290	0.001	++	0.0	0.959	1	0.3274
ENSG00000080947|CROCCP3	ad	control	319.00	-0.715	0.4747	-+	52.7	2.113	1	0.1461
ENSG00000130349|C6orf203	ad	control	319.00	-0.396	0.6923	-+	13.7	1.158	1	0.2818
ENSG00000185294|SPPL2C	ad	control	319.00	-0.352	0.7249	--	0.0	0.006	1	0.9366
ENSG00000110011|DNAJC4	ad	control	319.00	-2.119	0.03406	-+	92.4	13.114	1	0.0002932
ENSG00000198573|SPANXC	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000213777|AC011487.1	ad	control	319.00	-0.316	0.752	-+	0.0	0.607	1	0.4358
ENSG00000285221|CPNE6	ad	control	319.00	-1.015	0.31	--	0.0	0.026	1	0.8722
ENSG00000213924|HNRNPH1P2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000282394|IGKV1-37	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000188636|RTL6	ad	control	319.00	0.465	0.642	+-	0.0	0.349	1	0.5546
ENSG00000231645|KRT17P6	ad	control	319.00	-4.167	3.091e-05	--	81.6	5.437	1	0.01972
ENSG00000085365|SCAMP1	ad	control	319.00	-1.166	0.2436	--	0.0	0.790	1	0.3742
ENSG00000235630|OR2H5P	ad	control	319.00	-0.056	0.9554	-0	0.0	0.003	1	0.9555
ENSG00000218986|AL136087.1	ad	control	319.00	-1.107	0.2682	-0	17.9	1.219	1	0.2697
ENSG00000220748|AL032822.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000148082|SHC3	ad	control	319.00	-2.254	0.02422	--	49.5	1.982	1	0.1592
ENSG00000232582|AC234771.3	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000230603|AC011753.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000135083|CCNJL	ad	control	319.00	2.564	0.01036	++	0.0	0.752	1	0.3858
ENSG00000232075|MRPL35P2	ad	control	319.00	-0.090	0.9287	-0	0.0	0.008	1	0.9289
ENSG00000206107|KRTAP27-1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000227910|AC092634.4	ad	control	319.00	2.514	0.01193	++	0.0	0.965	1	0.3258
ENSG00000196859|KRT39	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000230626|AC011005.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000229176|SAPCD1	ad	control	319.00	-1.042	0.2972	--	0.0	0.072	1	0.788
ENSG00000197405|C5AR1	ad	control	319.00	1.443	0.1489	++	0.0	0.145	1	0.7031
ENSG00000244355|LY6G6D	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
ENSG00000279124|AL356585.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000173465|SSSCA1	ad	control	319.00	-1.886	0.05923	--	0.0	0.723	1	0.3952
ENSG00000237806|FAUP2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000110079|MS4A4A	ad	control	319.00	2.334	0.01959	++	0.0	0.811	1	0.3678
ENSG00000123165|ACTRT1	ad	control	319.00	0.475	0.6346	+0	0.0	0.224	1	0.6357
ENSG00000284749|OR2A7	ad	control	319.00	2.521	0.0117	++	66.2	2.959	1	0.08541
ENSG00000271711|AC069236.1	ad	control	319.00	0.862	0.3888	++	0.0	0.032	1	0.8591
ENSG00000280688|CEP72	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000161940|BCL6B	ad	control	319.00	3.579	0.0003444	++	0.0	0.438	1	0.5083
ENSG00000129103|SUMF2	ad	control	319.00	-4.429	9.485e-06	--	92.7	13.759	1	0.0002078
ENSG00000163602|RYBP	ad	control	319.00	0.957	0.3388	++	0.0	0.453	1	0.5009
ENSG00000130813|C19orf66	ad	control	319.00	-2.381	0.01725	--	0.0	0.357	1	0.5501
ENSG00000250420|AACSP1	ad	control	319.00	-1.837	0.06628	--	0.0	0.913	1	0.3393
ENSG00000235871|AC062016.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000130244|FAM98C	ad	control	319.00	-3.599	0.0003194	--	86.0	7.144	1	0.007521
ENSG00000165182|CXorf58	ad	control	319.00	1.083	0.2789	++	0.0	0.372	1	0.5419
ENSG00000156345|CDK20	ad	control	319.00	-2.271	0.02312	--	0.0	0.437	1	0.5087
ENSG00000231164|RPL7P56	ad	control	319.00	0.126	0.8995	+0	0.0	0.016	1	0.8999
ENSG00000183309|ZNF623	ad	control	319.00	-1.439	0.1501	--	0.0	0.013	1	0.9085
ENSG00000123338|NCKAP1L	ad	control	319.00	0.377	0.7061	-+	91.6	11.939	1	0.0005496
ENSG00000227772|MICB	ad	control	319.00	1.000	0.3173	++	0.0	0.002	1	0.9691
ENSG00000063660|GPC1	ad	control	319.00	-2.607	0.009123	--	0.0	0.500	1	0.4795
ENSG00000264845|AC119868.1	ad	control	319.00	1.157	0.2472	+-	33.1	1.495	1	0.2214
ENSG00000164089|ETNPPL	ad	control	319.00	-0.236	0.8137	+-	0.0	0.607	1	0.4358
ENSG00000203952|CCDC160	ad	control	319.00	6.058	1.379e-09	++	86.5	7.432	1	0.006407
ENSG00000100490|CDKL1	ad	control	319.00	1.708	0.08758	++	65.7	2.917	1	0.08766
ENSG00000223569|USP17L15	ad	control	319.00	0.574	0.5657	+-	21.5	1.273	1	0.2591
ENSG00000219280|VN1R8P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000254075|IGLVV-66	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000165410|CFL2	ad	control	319.00	-1.413	0.1577	--	41.5	1.711	1	0.1909
ENSG00000186868|MAPT	ad	control	319.00	-0.124	0.9011	+-	0.0	0.375	1	0.5405
ENSG00000257101|LRRC37A13P	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000144580|CNOT9	ad	control	319.00	-1.187	0.235	-+	74.9	3.978	1	0.0461
ENSG00000156858|PRR14	ad	control	319.00	-1.321	0.1865	-+	86.2	7.234	1	0.007152
ENSG00000100997|ABHD12	ad	control	319.00	-3.148	0.001644	--	72.6	3.652	1	0.05602
ENSG00000100003|SEC14L2	ad	control	319.00	2.957	0.003107	++	0.0	0.462	1	0.4968
ENSG00000262648|PHBP15	ad	control	319.00	-0.134	0.8937	-0	0.0	0.018	1	0.894
ENSG00000091622|PITPNM3	ad	control	319.00	-2.863	0.004198	--	61.9	2.622	1	0.1054
ENSG00000233523|PHBP5	ad	control	319.00	0.925	0.3552	++	0.0	0.438	1	0.5079
ENSG00000232361|AC069304.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000058335|RASGRF1	ad	control	319.00	-4.112	3.916e-05	--	67.5	3.081	1	0.07921
ENSG00000165175|MID1IP1	ad	control	319.00	3.245	0.001174	++	0.0	0.456	1	0.4994
ENSG00000115694|STK25	ad	control	319.00	-4.516	6.303e-06	--	77.8	4.509	1	0.03372
ENSG00000204231|RXRB	ad	control	319.00	-0.019	0.9845	+-	0.0	0.084	1	0.7713
ENSG00000113211|PCDHB6	ad	control	319.00	2.738	0.006181	++	85.2	6.744	1	0.009407
