gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000015568|RGPD5	-0.055492896	1.84233e-05	AD	Control	232
ENSG00000015532|XYLT2	0.040997945	2.25418e-05	AD	Control	232
ENSG00000068438|FTSJ1	0.013457078	2.68276e-05	AD	Control	232
ENSG00000080293|SCTR	-0.010091643	2.94942e-05	AD	Control	232
ENSG00000017797|RALBP1	0.10990544	4.70173e-07	AD	Control	232
ENSG00000059915|PSD	-0.219915486	2.61219e-06	AD	Control	232
ENSG00000019505|SYT13	-0.498819424	4.60819e-09	AD	Control	232
ENSG00000019549|SNAI2	0.144492297	7.41827e-06	AD	Control	232
ENSG00000078668|VDAC3	-0.39944036	5.4187e-08	AD	Control	232
ENSG00000021488|SLC7A9	0.107352832	1.13897e-05	AD	Control	232
ENSG00000022355|GABRA1	-0.649327548	1.24505e-08	AD	Control	232
ENSG00000022277|RTF2	-0.032275253	2.09237e-05	AD	Control	232
ENSG00000022567|SLC45A4	-0.043697439	2.27751e-05	AD	Control	232
ENSG00000023287|RB1CC1	-0.174509891	8.76887e-07	AD	Control	232
ENSG00000023516|AKAP11	-0.169563617	2.93627e-06	AD	Control	232
ENSG00000023734|STRAP	-0.103489805	1.24828e-05	AD	Control	232
ENSG00000007541|PIGQ	0.120009184	1.23079e-05	AD	Control	232
ENSG00000079112|CDH17	0.081094987	1.48083e-05	AD	Control	232
ENSG00000026297|RNASET2	0.294470164	6.38613e-10	AD	Control	232
ENSG00000027847|B4GALT7	-0.044785891	2.16958e-05	AD	Control	232
ENSG00000029364|SLC39A9	-0.081230335	7.823e-06	AD	Control	232
ENSG00000031003|FAM13B	0.037882617	1.95717e-05	AD	Control	232
ENSG00000031823|RANBP3	0.039112257	2.11513e-05	AD	Control	232
ENSG00000033100|CHPF2	-0.097278076	4.27053e-06	AD	Control	232
ENSG00000033122|LRRC7	-0.36867629	3.81595e-09	AD	Control	232
ENSG00000034713|GABARAPL2	0.025168105	2.50774e-05	AD	Control	232
ENSG00000034971|MYOC	0.790505509	1.9479e-06	AD	Control	232
ENSG00000035141|FAM136A	-0.160364928	4.90578e-07	AD	Control	232
ENSG00000035681|NSMAF	-0.048122064	1.84334e-05	AD	Control	232
ENSG00000036473|OTC	0.226278251	9.61719e-06	AD	Control	232
ENSG00000052841|TTC17	0.009479617	2.83098e-05	AD	Control	232
ENSG00000037965|HOXC8	0.341565338	3.06673e-05	AD	Control	232
ENSG00000037757|MRI1	0.001340654	3.038e-05	AD	Control	232
ENSG00000038219|BOD1L1	-0.012104297	2.63389e-05	AD	Control	232
ENSG00000059588|TARBP1	-0.393593286	7.26439e-08	AD	Control	232
ENSG00000039523|RIPOR1	0.028641108	2.63523e-05	AD	Control	232
ENSG00000039987|BEST2	0.155855486	1.93438e-06	AD	Control	232
ENSG00000040608|RTN4R	-0.403786158	4.62927e-08	AD	Control	232
ENSG00000041357|PSMA4	-0.08704382	1.56149e-05	AD	Control	232
ENSG00000042062|RIPOR3	0.421981691	8.54815e-08	AD	Control	232
ENSG00000042317|SPATA7	-0.102932629	3.30874e-06	AD	Control	232
ENSG00000042813|ZPBP	-0.477288944	9.82053e-08	AD	Control	232
ENSG00000040531|CTNS	0.368621214	3.55553e-09	AD	Control	232
ENSG00000043462|LCP2	0.417463003	4.1543e-09	AD	Control	232
ENSG00000047932|GOPC	-0.172777849	1.48598e-06	AD	Control	232
ENSG00000011465|DCN	0.386800511	7.31424e-10	AD	Control	232
ENSG00000048462|TNFRSF17	-0.129845434	1.66368e-05	AD	Control	232
ENSG00000048544|MRPS10	-0.029586966	2.33545e-05	AD	Control	232
ENSG00000048545|GUCA1A	-0.23253166	7.67021e-06	AD	Control	232
ENSG00000030582|GRN	0.259574544	1.02194e-06	AD	Control	232
ENSG00000041988|THAP3	-0.02340127	2.58874e-05	AD	Control	232
ENSG00000049245|VAMP3	0.422699612	6.06522e-13	AD	Control	232
ENSG00000049247|UTS2	-0.327610633	1.2148e-05	AD	Control	232
ENSG00000049449|RCN1	0.105493675	5.11451e-06	AD	Control	232
ENSG00000049541|RFC2	-0.047045864	1.5786e-05	AD	Control	232
ENSG00000049769|PPP1R3F	-0.152609228	2.37774e-06	AD	Control	232
ENSG00000050030|NEXMIF	-0.189981614	3.09421e-06	AD	Control	232
ENSG00000050327|ARHGEF5	0.825497449	3.31024e-09	AD	Control	232
ENSG00000050344|NFE2L3	0.163418714	4.78937e-06	AD	Control	232
ENSG00000050730|TNIP3	-0.159615007	2.60135e-06	AD	Control	232
ENSG00000052723|SIKE1	-0.090985903	8.4432e-06	AD	Control	232
ENSG00000038295|TLL1	-0.169900424	5.30844e-06	AD	Control	232
ENSG00000053438|NNAT	-0.458461981	4.81336e-08	AD	Control	232
ENSG00000054803|CBLN4	-0.57894687	2.33029e-08	AD	Control	232
ENSG00000013297|CLDN11	0.539874196	1.46743e-09	AD	Control	232
