Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
ACVR1,0.003,8.32E-01
ACVR1B,0.116,3.30E-01
ACVR1C,-0.089,3.10E-01
ACVR2A,0.052,4.76E-01
ACVR2B,-0.042,4.29E-01
ACVRL1,0.048,9.61E-01
ACY1,0.046,9.64E-01
ACY3,0.035,8.82E-01
ACYP1,-0.157,5.71E-01
ACYP2,-0.101,2.59E-01
ADA,-0.029,5.77E-01
ADAL,-0.084,1.59E-01
ADAM10,-0.077,3.46E-01
ADAM11,0.352,1.57E-01
ADAM15,-0.081,2.32E-01
ADAM17,-0.004,5.11E-01
ADAM19,0.096,3.19E-01
ADAM1A,-0.049,4.70E-01
ADAM20,0.062,2.41E-01
ADAM20P1,0.069,4.48E-01
ADAM21,0.053,3.76E-01
ADAM22,-0.001,6.84E-01
ADAM23,0.118,4.34E-01
ADAM28,-0.221,4.47E-01
ADAM32,-0.045,7.33E-01
ADAM33,0.273,5.92E-02
ADAM9,-0.083,4.97E-01
ADAMTS1,-0.071,3.54E-01
ADAMTS10,0.237,1.26E-01
ADAMTS13,0.121,1.94E-01
ADAMTS14,-0.354,1.51E-01
ADAMTS16,0.166,9.47E-02
ADAMTS18,-0.665,1.97E-01
ADAMTS19,0.139,2.55E-01
ADAMTS2,0.180,8.96E-02
ADAMTS3,0.001,8.61E-01
ADAMTS4,-0.356,1.22E-01
ADAMTS6,0.023,9.74E-01
ADAMTS8,0.021,9.42E-01
ADAMTS9,-0.167,5.33E-01
ADAMTS9-AS2,0.031,8.97E-01
ADAMTSL2,0.025,7.58E-01
ADAMTSL3,-0.060,6.08E-01
ADAP1,0.014,8.77E-01
ADAP2,-0.102,3.17E-01
ADAR,0.061,2.68E-01
ADARB1,0.439,7.16E-02
ADARB2,-0.225,2.52E-01
ADARB2-AS1,-0.074,4.99E-01
ADAT1,-0.060,1.35E-01
ADAT2,-0.034,4.09E-01
ADCK1,-0.173,1.16E-01
ADCK2,-0.008,8.56E-01
ADCK3,-0.004,9.70E-01
ADCK4,0.042,8.24E-01
ADCK5,0.125,2.15E-01
ADCY1,0.498,1.26E-01
ADCY10P1,-0.230,1.34E-01
ADCY2,0.083,2.47E-01
ADCY3,0.010,9.10E-01
ADCY5,0.019,9.58E-01
ADCY6,0.107,2.49E-01
ADCY7,-0.083,4.32E-01
ADCY8,0.015,8.22E-01
ADCY9,0.215,9.05E-02
ADCYAP1,-0.013,7.62E-01
ADCYAP1R1,0.056,3.31E-01
ADD1,-0.110,8.29E-02
ADD2,0.318,2.70E-01
ADD3,-0.084,6.42E-01
ADGRA1,0.404,8.69E-02
ADGRA2,0.098,6.65E-01
ADGRA3,-0.025,7.56E-01
ADGRB1,0.425,8.31E-02
ADGRB2,0.301,1.26E-01
ADGRB3,0.057,5.99E-01
ADGRD1,0.072,9.94E-01
ADGRE2,-0.215,1.53E-01
ADGRE5,-0.125,2.27E-01
ADGRF5,0.177,4.08E-01
ADGRF5P1,-0.254,9.17E-01
ADGRG1,-0.042,6.47E-01
ADGRL1,0.305,8.40E-02
ADGRL2,0.483,1.04E-01
ADGRL3,0.189,1.21E-01
ADGRL4,0.001,6.34E-01
ADGRV1,0.118,1.47E-01
ADH1B,0.012,8.08E-01
ADH5,-0.011,7.81E-01
ADH5P3,0.127,1.68E-01
ADHFE1,-0.185,1.22E-01
ADI1,-0.071,5.59E-01
ADIPOR1,-0.058,4.60E-01
ADIPOR2,-0.413,8.61E-02
ADIRF,-0.070,5.57E-01
ADK,-0.060,7.62E-01
ADM,-0.067,8.95E-01
ADNP,-0.025,6.65E-01
ADNP-AS1,-0.007,9.67E-01
ADNP2,-0.038,4.19E-01
ADO,-0.081,3.93E-01
ADORA1,-0.083,3.72E-01
ADORA2B,0.069,3.80E-01
ADORA3,-0.053,9.03E-01
ADPGK,-0.049,2.58E-01
ADPRHL1,0.243,1.15E-01
ADPRHL2,-0.077,2.35E-01
ADPRM,-0.149,5.89E-02
ADRA1A,0.035,3.29E-01
ADRA1B,0.417,6.53E-02
ADRA1D,-0.013,9.24E-01
ADRB1,0.287,8.89E-02
ADRB2,-0.092,4.02E-01
ADRBK1,0.269,7.09E-02
ADRBK2,0.059,4.35E-01
ADRM1,0.067,9.98E-01
ADSL,0.050,6.34E-01
ADSS,-0.152,8.61E-02
ADSSL1,-0.189,1.46E-01
ADTRP,-0.079,7.65E-01
AEBP1,0.094,9.17E-01
AEBP2,-0.012,9.80E-01
AEN,0.024,8.44E-01
AES,0.260,8.13E-02
AFAP1,-0.016,8.49E-01
AFAP1L1,0.046,4.19E-01
AFAP1L2,0.041,9.55E-01
AFF1,-0.006,9.79E-01
AFF2,0.139,2.04E-01
AFF3,0.293,1.00E-01
AFF4,-0.049,4.88E-01
AFG3L1P,-0.096,2.42E-01
AFG3L2,-0.020,8.42E-01
AFG3L2P1,0.018,8.87E-01
AFMID,-0.150,3.46E-01
AFTPH,0.045,4.32E-01
AGA,-0.171,1.86E-01
AGAP1,-0.007,9.85E-01
AGAP1-IT1,-0.022,8.23E-01
AGAP2,0.724,7.23E-02
AGAP3,0.213,9.30E-02
AGAP4,0.014,9.66E-01
AGAP5,-0.022,5.14E-01
AGAP6,0.041,8.15E-01
AGAP7P,-0.080,9.17E-01
AGAP9,0.038,9.20E-01
AGBL3,-0.127,1.33E-01
AGBL4,0.190,3.34E-01
AGBL5,-0.037,2.08E-01
AGFG1,-0.060,5.76E-01
AGFG2,0.060,4.14E-01
AGGF1,-0.056,3.73E-01
AGK,-0.056,5.40E-01
AGKP1,-0.041,7.67E-01
AGL,-0.103,5.75E-01
AGMAT,0.016,9.53E-01
AGMO,-0.267,1.31E-01
AGO1,0.029,8.83E-01
AGO2,-0.118,3.07E-01
AGO3,-0.155,1.26E-01
AGO4,-0.024,6.25E-01
AGPAT1,-0.013,8.65E-01
AGPAT2,0.096,2.19E-01
AGPAT3,0.021,7.46E-01
AGPAT4,-0.216,1.45E-01
AGPAT4-IT1,-0.203,2.10E-01
AGPAT5,-0.129,1.25E-01
AGPAT6,-0.030,4.87E-01
AGPAT9,0.002,7.98E-01
AGPS,-0.096,1.70E-01
AGRN,0.060,8.69E-01
AGT,-0.125,5.03E-01
AGTPBP1,-0.197,9.62E-02
AGTRAP,-0.111,3.32E-01
AHCTF1,0.042,2.72E-01
AHCY,-0.064,1.34E-01
AHCYL1,-0.084,7.38E-01
AHCYL2,0.103,7.61E-02
AHDC1,0.226,1.15E-01
AHI1,0.118,3.27E-01
AHNAK,-0.061,9.02E-01
AHNAK2,0.255,2.52E-01
AHR,-0.127,2.89E-01
AHSA1,0.100,3.83E-01
AHSA2,-0.103,3.14E-01
AIDA,-0.208,1.81E-01
AIF1,-0.216,5.92E-01
AIF1L,-0.256,1.80E-01
AIFM1,-0.039,2.53E-01
AIFM2,0.041,3.69E-01
AIFM3,0.287,8.47E-02
AIG1,-0.181,8.56E-02
AIMP1,-0.183,6.16E-02
AIMP1P1,0.087,1.96E-01
AIMP2,-0.049,3.07E-01
AIP,-0.045,6.19E-01
AIPL1,-0.029,5.38E-01
AJAP1,0.279,8.49E-02
AK1,0.056,6.47E-01
AK2,-0.122,1.42E-01
AK3,-0.157,1.67E-01
AK3P2,-0.041,7.54E-01
AK3P3,-0.007,8.49E-01
AK3P5,-0.024,9.76E-01
AK3P6,0.114,7.10E-02
AK4,0.140,5.89E-02
AK4P1,0.007,8.88E-01
AK5,-0.071,9.46E-01
AK6,-0.049,8.77E-01
AK7,-0.007,8.53E-01
AK9,-0.026,9.86E-01
AKAP1,-0.009,7.50E-01
AKAP10,0.014,6.17E-01
AKAP11,-0.054,9.76E-01
AKAP12,0.413,7.25E-02
AKAP13,0.079,4.09E-01
AKAP17A,-0.120,1.09E-01
AKAP2,-0.063,8.36E-01
AKAP5,0.157,2.62E-01
AKAP6,-0.048,7.50E-01
AKAP7,0.025,7.68E-01
AKAP8,-0.024,3.49E-01
AKAP8L,0.023,8.87E-01
AKAP9,-0.033,6.67E-01
AKIP1,-0.022,8.77E-01
AKIRIN1,-0.113,4.00E-01
AKIRIN2,-0.003,5.28E-01
AKNA,-0.047,4.39E-01
AKR1A1,-0.080,2.93E-01
AKR1B1,0.029,5.34E-01
AKR1B15,0.026,3.95E-01
AKR1B1P6,-0.053,4.03E-01
AKR1C1,0.068,7.03E-01
AKR1C2,0.161,3.48E-01
