Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
DAP3P1,-0.001,9.28E-01
DAPK1,0.240,1.48E-01
DAPK2,-0.283,9.67E-02
DAPK3,0.086,8.30E-01
DARS,-0.083,3.73E-01
DARS2,0.020,4.32E-01
DAW1,0.061,2.67E-01
DAXX,0.013,8.01E-01
DAZAP1,-0.085,3.41E-01
DAZAP2,-0.154,1.57E-01
DBF4,0.042,6.20E-01
DBF4B,-0.045,3.73E-01
DBI,-0.052,5.50E-01
DBIP1,0.127,1.85E-01
DBN1,0.490,6.03E-02
DBNDD1,0.464,5.58E-02
DBNDD2,-0.594,6.71E-02
DBNL,0.007,6.96E-01
DBP,0.120,2.50E-01
DBR1,-0.044,3.19E-01
DBT,-0.097,2.52E-01
DBX2,-0.101,1.90E-01
DCAF10,-0.013,9.17E-01
DCAF11,-0.005,9.10E-01
DCAF12,-0.033,8.80E-01
DCAF13,-0.045,4.90E-01
DCAF13P2,0.152,1.89E-01
DCAF15,-0.005,4.68E-01
DCAF16,-0.154,7.16E-02
DCAF17,-0.093,2.92E-01
DCAF4,0.003,8.61E-01
DCAF5,0.009,9.67E-01
DCAF6,0.070,3.83E-01
DCAF7,-0.074,7.16E-02
DCAF8,-0.100,7.91E-02
DCAKD,-0.040,4.21E-01
DCBLD1,0.038,5.01E-01
DCBLD2,0.068,2.31E-01
DCC,0.220,1.23E-01
DCDC5,-0.019,8.64E-01
DCHS1,0.042,8.73E-01
DCHS2,0.012,6.42E-01
DCK,-0.066,8.44E-01
DCLK1,-0.043,7.16E-01
DCLK2,0.108,1.69E-01
DCLK3,0.134,1.83E-01
DCLRE1A,0.022,6.09E-01
DCLRE1B,-0.008,3.93E-01
DCLRE1C,-0.034,5.02E-01
DCN,0.120,5.29E-01
DCP1A,0.000,8.03E-01
DCP1B,0.018,6.11E-01
DCP2,0.012,4.71E-01
DCPS,0.085,4.87E-01
DCTD,0.029,4.32E-01
DCTN1,-0.025,5.18E-01
DCTN1-AS1,-0.126,3.57E-01
DCTN2,-0.015,7.18E-01
DCTN3,0.065,4.26E-01
DCTN4,-0.095,2.15E-01
DCTN5,0.070,2.02E-01
DCTN6,-0.084,1.83E-01
DCTPP1,-0.009,8.92E-01
DCUN1D1,-0.128,1.65E-01
DCUN1D2,0.030,6.82E-01
DCUN1D3,-0.054,2.37E-01
DCUN1D4,-0.080,1.88E-01
DCUN1D5,0.011,8.56E-01
DCX,0.097,2.49E-01
DCXR,0.056,4.25E-01
DDA1,0.007,8.69E-01
DDAH1,0.022,2.63E-01
DDAH2,0.020,9.33E-01
DDB1,-0.057,4.43E-01
DDB2,-0.080,4.09E-01
DDHD1,-0.026,8.14E-01
DDHD2,-0.101,1.94E-01
DDI2,-0.029,5.11E-01
DDIT3,-0.065,8.85E-01
DDIT4,-0.136,9.49E-01
DDIT4L,0.153,1.12E-01
DDN,0.773,7.77E-02
DDO,-0.101,4.19E-01
DDOST,-0.071,2.96E-01
DDR1,-0.200,2.33E-01
DDR2,-0.006,8.89E-01
DDRGK1,0.044,7.61E-01
DDT,-0.141,7.84E-02
DDTL,-0.087,5.30E-01
DDX1,0.023,7.24E-01
DDX10,0.013,9.85E-01
DDX11,-0.042,7.06E-01
DDX11L2,0.024,6.86E-01
DDX17,-0.127,1.58E-01
DDX18,-0.053,2.56E-01
DDX18P5,-0.017,7.12E-01
DDX19A,0.031,5.98E-01
DDX19B,0.046,8.32E-01
DDX20,0.101,2.32E-01
DDX20P1,-0.044,4.19E-01
DDX21,-0.066,3.87E-01
DDX23,-0.025,5.48E-01
DDX24,0.067,4.33E-01
DDX25,0.095,5.57E-01
DDX26B,-0.042,5.24E-01
DDX27,0.060,5.94E-01
DDX28,-0.027,5.76E-01
DDX31,-0.045,2.32E-01
DDX39A,-0.036,6.01E-01
DDX39B,-0.030,8.07E-01
DDX3P1,0.126,2.33E-01
DDX3X,0.022,7.17E-01
DDX3Y,-0.208,7.13E-01
DDX41,0.073,3.91E-01
DDX42,-0.084,9.93E-02
DDX46,-0.058,4.38E-01
DDX47,-0.015,4.91E-01
DDX49,-0.035,4.66E-01
DDX5,-0.097,1.55E-01
DDX50,-0.021,5.78E-01
DDX50P1,-0.005,6.86E-01
DDX51,0.042,5.84E-01
DDX52,-0.025,3.74E-01
DDX54,-0.017,6.42E-01
DDX55,-0.089,7.00E-02
DDX55P1,0.229,1.46E-01
DDX56,0.024,6.33E-01
DDX58,0.061,6.14E-01
DDX59,-0.155,6.98E-02
DDX6,-0.074,4.56E-01
DDX60,-0.064,4.59E-01
DDX60L,-0.026,6.95E-01
DEAF1,0.184,2.01E-01
DEAR,0.062,5.87E-01
DECR1,-0.088,7.01E-01
DECR2,-0.004,6.66E-01
DEDD,0.007,8.92E-01
DEDD2,0.122,5.13E-01
DEF6,-0.037,7.12E-01
DEF8,0.109,1.00E-01
DEFB109P1,-0.056,8.64E-01
DEFB109P1B,-0.042,8.92E-01
DEFB109P2,0.042,8.76E-01
DEFB109P3,-0.077,5.23E-01
DEGS1,-0.099,3.06E-01
DEK,-0.104,3.41E-01
DENND1A,0.062,3.94E-01
DENND1B,0.048,3.71E-01
DENND2A,-0.067,3.64E-01
DENND2D,-0.082,6.83E-01
DENND3,-0.011,9.79E-01
DENND4A,0.020,5.45E-01
DENND4B,0.209,4.79E-02
DENND4C,0.013,6.71E-01
DENND5A,-0.124,2.12E-01
DENND5B,0.152,1.21E-01
DENND6A,-0.093,8.60E-02
DENND6B,0.368,8.74E-02
DENR,-0.018,7.99E-01
DEPDC1P1,-0.111,5.94E-01
DEPDC4,-0.067,2.47E-01
DEPDC5,0.070,2.92E-01
DEPDC7,-0.288,5.92E-02
DEPTOR,-0.205,1.22E-01
DERA,-0.150,2.51E-01
DERL1,-0.033,8.65E-01
DERL2,-0.113,2.71E-01
DES,0.024,9.91E-01
DESI1,-0.011,9.22E-01
DESI2,-0.029,8.21E-01
DET1,-0.030,6.76E-01
DEXI,0.071,1.63E-01
DFFA,-0.054,4.41E-01
DFFB,-0.031,7.04E-01
DFNA5,0.066,8.25E-01
DFNB31,-0.195,3.06E-01
DFNB59,-0.076,2.20E-01
DGAT1,0.184,6.98E-02
DGAT2,-0.038,8.39E-01
DGCR10,0.246,1.94E-01
DGCR11,-0.025,6.77E-01
DGCR14,0.056,8.07E-01
DGCR2,0.076,3.05E-01
DGCR5,0.591,7.22E-02
DGCR6,-0.040,9.61E-01
DGCR6L,0.098,6.38E-01
DGCR8,-0.020,4.95E-01
DGCR9,0.455,1.39E-01
DGKA,0.191,1.22E-01
DGKB,0.099,3.77E-01
DGKD,-0.104,1.92E-01
DGKE,0.013,6.92E-01
DGKG,0.088,2.88E-01
DGKH,0.104,3.21E-01
DGKI,0.099,4.30E-01
DGKQ,0.159,2.12E-01
DGKZ,0.491,7.16E-02
DGUOK,-0.002,9.17E-01
DHCR24,-0.041,9.05E-01
DHCR7,-0.189,3.69E-01
DHDDS,0.011,9.08E-01
DHFR,0.104,7.86E-01
DHFRL1,-0.179,1.32E-01
DHFRP1,-0.056,3.91E-01
DHODH,-0.060,3.12E-01
DHPS,-0.048,4.30E-01
DHRS1,-0.075,9.92E-02
DHRS11,-0.090,8.50E-01
DHRS12,-0.096,8.23E-02
DHRS13,-0.008,9.47E-01
DHRS3,-0.100,8.80E-01
DHRS4,-0.067,3.45E-01
DHRS4-AS1,-0.111,1.90E-01
DHRS4L2,-0.020,8.38E-01
DHRS7,-0.040,9.49E-01
DHRS7B,-0.088,2.58E-01
DHRS9,-0.189,2.28E-01
DHRSX,0.081,3.30E-01
DHTKD1,-0.083,3.09E-01
DHX15,-0.059,1.32E-01
DHX16,-0.050,1.26E-01
DHX29,-0.073,1.00E-01
DHX30,0.065,4.38E-01
DHX32,-0.032,9.88E-01
DHX33,0.026,6.28E-01
DHX34,0.130,2.62E-01
DHX35,-0.026,8.01E-01
DHX36,-0.093,1.61E-01
DHX37,0.027,7.45E-01
DHX38,-0.066,9.19E-02
DHX40,-0.026,4.45E-01
DHX57,-0.058,5.05E-01
DHX58,-0.091,8.99E-02
DHX8,-0.052,1.33E-01
DHX9,-0.029,7.05E-01
DIABLO,-0.059,1.41E-01
DIAPH1,0.326,5.89E-02
DIAPH2,0.039,4.35E-01
DICER1,-0.278,7.16E-02
DICER1-AS1,-0.202,1.21E-01
DIDO1,-0.021,3.18E-01
DIEXF,0.013,9.34E-01
DIMT1,-0.140,8.78E-02
DIO2,0.267,1.57E-01
DIP2A,-0.109,1.52E-01
DIP2B,-0.445,5.92E-02
DIP2C,-0.080,2.39E-01
DIRAS1,0.273,2.35E-01
DIRAS2,0.106,5.58E-01
DIRAS3,-0.058,7.84E-01
DIRC2,-0.044,8.83E-01
DIRC3,0.074,2.92E-01
DIS3,-0.050,3.20E-01
DIS3L,-0.076,2.05E-01
DIS3L2,0.012,9.21E-01
DISC1,-0.148,1.46E-01
DISC1-IT1,0.005,9.99E-01
DISP1,0.036,9.78E-01
DISP2,0.486,5.89E-02
DIXDC1,-0.179,9.05E-02
DKC1,-0.019,5.21E-01
DKFZP434H168,-0.001,7.42E-01
DKFZP434I0714,-0.083,1.09E-01
DKFZP434K028,-0.074,5.45E-01
DKFZp451B082,-0.176,1.22E-01
DKFZP586I1420,-0.125,1.93E-01
DKK3,0.119,2.05E-01
DLAT,-0.045,8.60E-01
DLC1,-0.066,4.88E-01
DLD,0.002,8.42E-01
DLEU1,-0.118,3.81E-01
DLEU2,-0.078,2.55E-01
DLEU2L,-0.066,4.82E-01
DLEU7,0.011,8.38E-01
DLG1,-0.205,8.49E-02
DLG2,-0.103,5.08E-01
DLG3,0.038,6.31E-01
DLG4,0.540,7.16E-02
DLG5,-0.013,6.87E-01
DLGAP1,0.410,1.35E-01
DLGAP1-AS1,0.143,8.61E-02
DLGAP1-AS2,0.066,5.15E-01
DLGAP1-AS4,0.088,4.87E-01
DLGAP1-AS5,0.289,7.16E-02
DLGAP2,0.476,9.31E-02
DLGAP3,0.713,7.00E-02
DLGAP4,0.544,4.88E-02
DLK2,0.037,8.87E-01
DLL1,-0.059,4.43E-01
DLL4,0.237,1.22E-01
DLST,0.011,8.12E-01
DLSTP1,0.064,6.01E-01
DLX1,0.097,3.61E-01
DLX6-AS1,0.153,1.78E-01
DMAP1,0.093,6.07E-01
DMC1,-0.037,4.16E-01
DMD,0.029,7.19E-01
DMKN,0.091,5.30E-01
DMPK,0.067,7.79E-01
DMRT2,-0.251,1.30E-01
DMRTC1,0.260,8.79E-02
DMRTC1B,0.251,1.00E-01
DMTF1,-0.130,9.59E-02
DMTN,0.713,9.45E-02
DMWD,0.099,3.47E-01
DMXL1,-0.082,2.10E-01
DMXL2,-0.035,8.13E-01
DNA2,0.068,3.87E-01
DNAAF1,0.076,5.74E-01
DNAAF2,-0.003,6.58E-01
DNAAF5,0.056,4.20E-01
DNAH1,-0.040,4.08E-01
DNAH10,-0.016,8.55E-01
DNAH11,0.111,2.33E-01
DNAH12,-0.051,3.88E-01
DNAH14,0.157,2.23E-01
DNAH17,-0.355,1.09E-01
DNAH2,0.119,1.48E-01
DNAH5,0.029,5.11E-01
DNAH6,0.219,1.22E-01
DNAH7,0.278,1.15E-01
DNAH9,0.064,2.99E-01
DNAJA1,0.111,3.73E-01
DNAJA1P5,0.202,1.22E-01
DNAJA2,0.030,5.41E-01
DNAJA3,-0.006,9.20E-01
DNAJA4,0.156,3.94E-01
DNAJB1,0.150,5.33E-01
DNAJB11,-0.085,5.85E-01
DNAJB12,-0.018,4.23E-01
DNAJB14,-0.023,9.20E-01
DNAJB2,-0.056,5.03E-01
DNAJB4,-0.065,8.56E-01
DNAJB5,-0.025,6.16E-01
DNAJB6,0.029,7.09E-01
DNAJB9,-0.112,7.22E-01
DNAJC1,-0.033,4.46E-01
DNAJC10,-0.099,1.61E-01
DNAJC11,0.052,4.75E-01
DNAJC12,-0.170,5.92E-01
DNAJC13,-0.035,3.93E-01
DNAJC14,-0.043,2.01E-01
DNAJC15,-0.056,9.72E-01
DNAJC16,-0.026,8.15E-01
DNAJC17,-0.044,5.15E-01
DNAJC18,-0.037,6.19E-01
DNAJC19,-0.051,5.83E-01
DNAJC19P5,-0.058,7.24E-01
DNAJC19P7,0.065,9.43E-01
DNAJC19P8,0.041,7.06E-01
DNAJC2,0.037,5.12E-01
DNAJC21,-0.043,3.88E-01
DNAJC22,-0.046,4.30E-01
DNAJC24,-0.123,6.67E-02
DNAJC25,-0.030,6.12E-01
DNAJC27,-0.062,6.03E-01
DNAJC27-AS1,-0.049,4.27E-01
DNAJC28,0.059,2.79E-01
DNAJC3,-0.107,3.90E-01
DNAJC3-AS1,-0.032,8.37E-01
DNAJC30,-0.007,7.00E-01
DNAJC4,-0.061,5.43E-01
DNAJC5,0.212,1.26E-01
DNAJC5G,0.170,2.93E-01
DNAJC6,-0.114,1.37E-01
DNAJC7,-0.188,7.00E-02
DNAJC8,-0.030,4.20E-01
DNAJC9,0.049,2.14E-01
DNAL1,0.072,2.31E-01
DNAL4,0.066,6.56E-01
DNALI1,0.095,1.92E-01
DNASE1,0.017,8.46E-01
DNASE1L1,0.044,8.67E-01
DNASE1L2,0.074,4.87E-01
DNASE2,-0.048,5.87E-01
DND1,0.036,8.46E-01
DND1P1,-0.054,8.70E-01
DND1P2,-0.014,8.40E-01
DNER,-0.255,1.26E-01
DNHD1,-0.130,1.34E-01
DNLZ,0.006,5.92E-01
DNM1,0.358,3.56E-01
DNM1L,-0.006,9.75E-01
DNM1P28,-0.057,5.78E-01
DNM1P41,0.262,6.37E-02
DNM2,-0.147,2.46E-01
DNM3,-0.268,5.61E-02
DNM3-IT1,-0.014,9.46E-01
DNM3OS,-0.234,9.77E-02
DNMBP,0.121,1.31E-01
DNMBP-AS1,-0.039,9.51E-01
DNMT1,0.000,9.31E-01
DNMT3A,0.027,9.47E-01
DNPEP,0.026,8.97E-01
DNPH1,0.010,7.87E-01
DNTTIP1,-0.020,6.83E-01
DNTTIP2,0.036,8.77E-01
DOC2A,0.529,8.54E-02
DOC2B,0.345,8.13E-02
DOCK1,-0.138,2.12E-01
DOCK10,-0.388,9.71E-02
DOCK11,-0.036,9.79E-01
DOCK2,-0.142,4.84E-01
DOCK3,-0.031,7.81E-01
DOCK4,-0.093,2.06E-01
DOCK4-AS1,-0.103,3.81E-01
DOCK5,-0.398,9.60E-02
DOCK6,0.110,9.03E-01
DOCK7,0.049,1.79E-01
DOCK8,-0.174,5.08E-01
DOCK9,-0.169,2.03E-01
DOHH,-0.069,5.39E-01
DOK1,-0.006,9.88E-01
DOK3,0.051,4.52E-01
DOK4,0.240,1.17E-01
DOK5,0.124,1.77E-01
DOK6,0.151,3.55E-01
DOK7,0.248,5.47E-02
DOLK,-0.064,4.32E-01
DOLPP1,-0.048,5.17E-01
DONSON,-0.124,3.93E-01
DOPEY1,-0.015,7.01E-01
DOPEY2,0.099,4.21E-01
DOT1L,-0.027,4.18E-01
DPAGT1,0.112,9.46E-02
DPCD,0.078,3.72E-01
DPF1,0.368,7.61E-02
DPF2,-0.063,4.24E-01
DPF3,-0.109,1.37E-01
DPH1,0.106,2.62E-01
DPH2,-0.021,5.67E-01
DPH3,-0.042,8.41E-01
DPH3P1,-0.122,1.53E-01
DPH5,-0.094,4.30E-01
DPH6,-0.233,7.16E-02
DPH7,-0.065,2.57E-01
DPM1,-0.042,6.63E-01
DPM2,-0.012,9.43E-01
DPM3,0.106,7.00E-01
DPP10,-0.016,7.78E-01
DPP10-AS1,0.187,1.56E-01
DPP10-AS3,-0.005,7.42E-01
DPP3,0.001,9.55E-01
DPP6,0.124,3.57E-01
DPP7,0.121,5.55E-01
DPP8,-0.023,8.92E-01
DPP9,0.000,9.50E-01
DPY19L1,0.017,6.58E-01
DPY19L1P1,-0.026,7.91E-01
DPY19L2,0.115,3.05E-01
DPY19L2P1,0.303,1.45E-01
DPY19L2P2,0.124,5.83E-02
DPY19L2P3,0.015,7.28E-01
DPY19L2P4,0.178,2.71E-01
DPY19L3,-0.129,2.27E-01
DPY19L4,-0.224,8.47E-02
DPY30,-0.130,8.87E-02
DPYD,-0.381,7.00E-02
DPYD-AS2,-0.127,1.96E-01
DPYSL2,-0.091,1.79E-01
DPYSL3,-0.105,3.46E-01
DPYSL4,0.051,7.65E-01
DPYSL5,-0.115,4.01E-01
DR1,-0.139,1.22E-01
DRAM1,0.069,7.09E-01
DRAM2,-0.052,6.70E-01
DRAP1,-0.050,3.55E-01
DRC1,0.135,1.12E-01
DRD1,0.240,1.34E-01
DRG1,-0.022,7.02E-01
DRG2,0.001,9.31E-01
DRICH1,0.187,1.65E-01
DROSHA,0.006,9.21E-01
DRP2,0.367,1.09E-01
DSC2,-0.123,4.78E-01
DSCAM,0.154,2.16E-01
DSCAM-AS1,0.065,6.34E-01
DSCAM-IT1,0.072,5.47E-01
DSCAML1,-0.083,3.38E-01
DSCR3,-0.038,4.18E-01
DSE,0.051,4.66E-01
DSEL,-0.268,8.54E-02
DSG2,0.002,6.74E-01
DSN1,0.045,5.30E-01
DSP,0.045,9.38E-01
DST,-0.138,2.41E-01
DSTN,-0.032,9.11E-01
DSTNP1,0.094,9.39E-01
DSTNP2,0.121,2.40E-01
DSTYK,0.037,4.34E-01
DTD1,-0.220,1.11E-01
DTD2,-0.135,9.47E-02
DTHD1,-0.177,1.26E-01
DTNA,0.039,5.31E-01
DTNB,0.034,7.19E-01
DTNBP1,0.061,4.63E-01
DTWD1,-0.010,8.01E-01
DTWD2,-0.047,6.13E-01
DTX1,0.171,6.86E-02
DTX2,-0.006,8.15E-01
DTX2P1-UPK3BP1-PMS2P11,0.016,9.59E-01
DTX3,0.160,7.16E-02
DTX3L,-0.040,7.02E-01
DTX4,0.019,9.57E-01
DTYMK,0.002,7.26E-01
DUS1L,0.085,5.18E-01
DUS2,-0.042,3.80E-01
DUS3L,-0.068,3.94E-01
DUS4L,-0.159,9.93E-02
DUSP1,0.107,5.35E-01
DUSP10,-0.213,1.46E-01
DUSP11,-0.064,4.27E-01
DUSP12,-0.071,2.66E-01
DUSP14,0.156,1.50E-01
DUSP16,-0.140,2.08E-01
DUSP18,-0.045,6.81E-01
DUSP19,0.096,1.90E-01
DUSP2,0.188,1.72E-01
DUSP22,-0.097,1.74E-01
DUSP23,-0.092,4.23E-01
DUSP26,0.103,2.68E-01
DUSP3,0.066,3.73E-01
DUSP4,-0.064,8.09E-01
DUSP5,0.030,6.51E-01
DUSP6,-0.129,7.35E-01
DUSP7,-0.012,9.98E-01
DUSP8,0.385,4.03E-02
DUT,-0.102,1.85E-01
DUTP1,-0.123,4.90E-01
DUTP3,0.137,2.34E-01
DUTP6,-0.079,3.52E-01
DUTP7,-0.015,7.96E-01
DUX4L26,0.173,2.14E-01
DUXAP10,0.015,6.45E-01
DUXAP3,-0.059,1.76E-01
DUXAP7,-0.017,4.50E-01
DUXAP8,0.017,8.79E-01
DVL1,0.173,2.68E-01
DVL2,-0.026,4.47E-01
DVL3,-0.029,5.35E-01
DXO,0.053,5.92E-01
DYDC2,-0.037,9.74E-01
DYM,-0.056,4.96E-01
DYNAP,0.024,5.96E-01
DYNC1H1,-0.001,9.80E-01
DYNC1I1,-0.108,9.72E-01
DYNC1I2,-0.159,1.75E-01
DYNC1LI1,0.032,5.73E-01
DYNC1LI2,-0.211,1.03E-01
DYNC2H1,0.061,4.30E-01
DYNC2LI1,-0.024,7.79E-01
DYNLL1,-0.118,8.10E-01
DYNLL2,0.012,7.98E-01
DYNLRB1,0.032,6.43E-01
DYNLRB2,0.101,2.24E-01
DYNLT1,-0.056,5.10E-01
DYNLT3,-0.026,8.39E-01
DYNLT3P2,0.027,7.62E-01
DYRK1A,0.039,4.29E-01
DYRK1B,0.133,2.14E-01
DYRK2,-0.024,9.48E-01
DYRK3,0.135,2.42E-01
DYRK4,-0.045,4.27E-01
DYSF,-0.196,1.61E-01
DYX1C1,0.096,4.35E-01
DYX1C1-CCPG1,0.283,1.16E-01
DZANK1,0.008,7.03E-01
DZIP1,0.299,8.06E-02
DZIP1L,0.069,4.23E-01
DZIP3,-0.026,7.62E-01
E2F1,-0.107,1.32E-01
E2F3,0.041,5.38E-01
E2F4,0.069,4.62E-01
E2F5,0.034,6.49E-01
E2F6,-0.119,1.26E-01
E4F1,0.106,5.13E-01
EAF1,-0.054,7.02E-01
EAF2,-0.002,4.17E-01
EAPP,0.016,8.50E-01
EARS2,0.055,2.64E-01
EBAG9,-0.019,8.41E-01
EBAG9P1,-0.111,6.23E-01
EBF4,-0.051,3.86E-01
EBLN2,-0.167,1.96E-01
EBLN3,-0.099,2.24E-01
EBNA1BP2,-0.007,8.52E-01
EBP,0.082,4.53E-01
EBPL,0.023,6.26E-01
ECD,0.007,7.86E-01
ECE1,-0.042,5.27E-01
ECE2,0.135,3.71E-01
ECH1,-0.118,1.09E-01
ECHDC1,-0.195,8.18E-02
ECHDC2,-0.015,9.58E-01
ECHS1,-0.039,6.02E-01
ECI1,-0.002,6.55E-01
ECI2,-0.103,2.67E-01
ECM1,0.174,2.58E-01
ECM2,-0.030,9.70E-01
ECSCR,-0.150,1.44E-01
ECSIT,0.132,1.12E-01
ECT2,0.002,7.17E-01
EDA2R,-0.023,9.42E-01
EDC3,0.021,7.53E-01
EDC4,0.053,4.62E-01
EDDM3CP,-0.070,7.41E-01
EDEM1,-0.054,3.15E-01
EDEM2,-0.086,2.92E-01
EDEM3,-0.037,7.98E-01
EDF1,-0.049,2.66E-01
EDIL3,-0.616,5.89E-02
EDN1,-0.236,1.55E-01
EDNRB,-0.166,7.82E-01
EDRF1,0.044,8.19E-01
EEA1,-0.073,1.98E-01
EED,0.017,4.52E-01
EEF1A1,-0.178,8.79E-02
EEF1A1P18,0.009,7.27E-01
EEF1A1P25,0.011,9.52E-01
EEF1A1P3,-0.032,5.76E-01
EEF1A1P30,-0.040,8.44E-01
EEF1A1P31,0.042,1.33E-01
EEF1A1P4,0.039,9.62E-01
EEF1A1P42,0.040,3.74E-01
EEF1A1P43,-0.014,4.12E-01
EEF1A1P5,-0.157,2.40E-01
EEF1A2,0.617,9.86E-02
EEF1B2,-0.177,7.60E-02
EEF1B2P1,-0.035,9.69E-01
EEF1B2P4,-0.019,9.63E-01
EEF1B2P5,-0.056,3.10E-01
EEF1B2P7,-0.060,6.03E-01
EEF1D,-0.125,1.92E-01
EEF1DP2,0.222,5.03E-01
EEF1DP3,0.158,1.89E-01
EEF1DP4,0.165,1.56E-01
EEF1DP7,-0.056,5.99E-01
EEF1E1,-0.112,2.09E-01
EEF1E1-BLOC1S5,0.224,4.87E-01
EEF1G,-0.122,1.12E-01
EEF2,0.039,6.17E-01
EEF2K,0.051,3.52E-01
EEF2KMT,-0.004,7.47E-01
EEFSEC,0.040,7.99E-01
EEPD1,-0.059,4.25E-01
EFCAB1,0.160,7.22E-02
EFCAB11,-0.096,3.04E-01
EFCAB12,0.178,9.71E-02
EFCAB13,-0.073,4.63E-01
EFCAB14,-0.135,2.87E-01
EFCAB2,-0.199,1.22E-01
EFCAB6,0.071,5.69E-01
EFCAB7,0.155,1.98E-01
EFCC1,0.098,1.69E-01
EFEMP1,0.010,9.72E-01
EFEMP2,-0.050,3.70E-01
EFHB,0.036,9.02E-01
EFHC1,-0.014,9.68E-01
EFHC2,0.132,1.19E-01
EFHD1,-0.383,1.56E-01
EFHD2,0.363,1.49E-01
EFNA1,-0.184,4.09E-01
EFNA3,0.355,8.87E-02
EFNA5,0.361,8.54E-02
EFNB1,0.108,2.96E-01
EFNB2,0.095,2.10E-01
EFNB3,0.342,1.22E-01
EFR3A,0.048,4.17E-01
EFR3B,0.063,5.04E-01
EFS,-0.269,1.22E-01
EFTUD1,-0.022,5.15E-01
EFTUD1P1,0.263,1.40E-01
EFTUD2,0.010,9.03E-01
EGF,0.082,1.90E-01
EGFEM1P,-0.037,7.29E-01
EGFL7,0.247,3.52E-01
EGFL8,0.038,8.97E-01
EGFR,0.062,2.08E-01
EGLN1,-0.071,6.95E-01
EGLN2,0.100,3.22E-01
EGLN3,-0.107,4.70E-01
EGR1,0.249,3.43E-01
EGR3,0.549,9.25E-02
EHBP1,0.095,3.00E-01
EHBP1L1,-0.016,7.33E-01
EHD1,-0.014,6.79E-01
EHD2,0.159,4.30E-01
EHD3,0.100,4.08E-01
EHD4,-0.058,4.20E-01
EHHADH,-0.027,9.23E-01
EHMT1,-0.010,6.99E-01
EHMT2,0.034,9.94E-01
EI24,-0.039,6.98E-01
EID1,-0.120,1.49E-01
EID2,0.073,6.81E-01
EID2B,-0.021,9.57E-01
EID3,0.039,4.97E-01
EIF1,-0.125,2.02E-01
EIF1AD,0.044,7.16E-01
EIF1AX,-0.161,2.09E-01
EIF1AXP1,-0.053,7.14E-01
EIF1AY,-0.253,6.27E-01
EIF1B,-0.075,6.12E-01
EIF1P2,-0.127,2.52E-01
EIF2A,-0.054,7.89E-01
EIF2AK1,-0.044,4.01E-01
EIF2AK2,0.065,2.89E-01
EIF2AK3,-0.045,5.37E-01
EIF2AK4,0.010,5.64E-01
EIF2B1,-0.041,1.93E-01
EIF2B2,0.014,8.19E-01
EIF2B3,0.021,7.82E-01
EIF2B4,0.001,7.75E-01
EIF2B5,-0.001,8.80E-01
EIF2D,-0.108,1.17E-01
EIF2S1,-0.052,4.66E-01
EIF2S2,-0.041,4.68E-01
EIF2S2P1,0.007,7.54E-01
EIF2S2P6,0.039,4.82E-01
EIF2S3,-0.069,4.96E-01
EIF3A,-0.070,1.92E-01
EIF3B,-0.034,3.98E-01
EIF3C,0.017,7.67E-01
EIF3CL,-0.085,4.66E-01
EIF3D,-0.082,1.23E-01
EIF3E,-0.170,1.32E-01
EIF3EP1,0.083,4.76E-01
EIF3EP4,-0.173,1.18E-01
EIF3F,-0.125,1.11E-01
EIF3G,-0.020,6.05E-01
EIF3H,-0.097,2.56E-01
EIF3I,0.006,8.79E-01
EIF3J,-0.105,7.23E-02
EIF3J-AS1,-0.070,1.84E-01
EIF3K,-0.014,7.02E-01
EIF3L,-0.046,5.43E-01
EIF3M,-0.092,2.25E-01
EIF4A1,-0.121,1.97E-01
EIF4A1P11,0.036,8.57E-01
EIF4A2,-0.027,7.76E-01
EIF4A3,-0.055,5.67E-01
EIF4B,-0.161,6.53E-02
EIF4BP2,0.085,2.15E-01
EIF4E,-0.117,2.01E-01
EIF4E1B,0.250,7.16E-02
EIF4E2,0.019,5.61E-01
EIF4E3,-0.028,9.29E-01
EIF4EBP1,-0.016,7.57E-01
EIF4EBP2,-0.051,9.42E-01
EIF4EBP3,-0.084,4.46E-01
EIF4ENIF1,0.026,5.44E-01
EIF4EP2,-0.110,6.82E-01
EIF4G1,0.013,8.98E-01
EIF4G2,-0.038,9.85E-01
EIF4G3,0.067,3.44E-01
EIF4H,-0.071,1.54E-01
EIF4HP2,0.095,5.08E-01
EIF5,0.028,9.57E-01
EIF5A,0.030,7.64E-01
EIF5A2,-0.069,9.03E-01
EIF5A2P1,-0.108,4.41E-01
EIF5AP2,-0.024,7.67E-01
EIF5B,-0.104,2.10E-01
EIF6,-0.015,9.01E-01
ELAC1,-0.055,4.50E-01
ELAC2,-0.034,5.75E-01
ELAVL1,0.025,4.02E-01
ELAVL2,0.170,4.00E-01
ELAVL3,0.041,5.15E-01
ELAVL4,0.446,1.30E-01
ELF1,-0.160,3.78E-01
ELF2,-0.099,2.75E-01
ELFN2,0.314,9.78E-02
ELK1,0.520,5.92E-02
ELK2BP,0.103,5.61E-02
ELK3,-0.083,5.15E-01
ELK4,-0.087,2.87E-01
ELL,0.076,3.81E-01
ELL2,-0.188,1.89E-01
ELMO1,-0.331,9.35E-02
ELMO2,-0.048,3.76E-01
