gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ABL2|ENSG00000143322	-0.05	0.61	28	Control	AD
ABLIM1|ENSG00000099204	0.18	0.12	28	Control	AD
ABLIM2|ENSG00000163995	-0.81	2.5e-10	28	Control	AD
ABLIM3|ENSG00000173210	-0.07	0.53	28	Control	AD
ABR|ENSG00000159842	-0.42	1.2e-06	28	Control	AD
ABRACL|ENSG00000146386	-0.83	1e-07	28	Control	AD
ABT1|ENSG00000292169	0.05	0.69	28	Control	AD
ABTB1|ENSG00000114626	0.19	0.055	28	Control	AD
ABTB2|ENSG00000166016	0.4	0.038	28	Control	AD
ACAA1|ENSG00000060971	-0.21	0.02	28	Control	AD
ACAA2|ENSG00000167315	0.03	0.79	28	Control	AD
ACACA|ENSG00000278540	-0.2	0.055	28	Control	AD
ACACB|ENSG00000076555	0.38	0.0033	28	Control	AD
ACAD10|ENSG00000111271	-0.36	0.0032	28	Control	AD
ACAD8|ENSG00000151498	-0.32	0.00065	28	Control	AD
ACAD9-DT|ENSG00000287110	-0.5	5.4e-06	28	Control	AD
ACADL|ENSG00000115361	0.26	0.25	28	Control	AD
ACADM|ENSG00000117054	-0.1	0.25	28	Control	AD
ACADS|ENSG00000122971	-0.31	0.11	28	Control	AD
ACADSB|ENSG00000196177	-0.6	2.7e-06	28	Control	AD
ACADVL|ENSG00000072778	0.29	0.0081	28	Control	AD
ACAN|ENSG00000157766	2.17	4.2e-06	28	Control	AD
ACAP1|ENSG00000288169	0.33	0.039	28	Control	AD
ACAP2-IT1|ENSG00000229325	0.14	0.2	28	Control	AD
ACAP3|ENSG00000131584	-0.07	0.56	28	Control	AD
SOAT1|ENSG00000057252	-0.19	0.044	28	Control	AD
SOAT2|ENSG00000167780	-0.46	0.00012	28	Control	AD
ACBD3-AS1|ENSG00000234478	0.12	0.2	28	Control	AD
ACBD4|ENSG00000181513	-0.07	0.55	28	Control	AD
ACBD5|ENSG00000107897	0.31	0.00046	28	Control	AD
ACBD6|ENSG00000230124	-0.34	0.0039	28	Control	AD
	-1.08	1.4e-06	28	Control	AD
ACCS|ENSG00000110455	-0.31	0.17	28	Control	AD
ACD|ENSG00000102977	-0.05	0.57	28	Control	AD
ACE|ENSG00000159640	-1.09	3.2e-08	28	Control	AD
ACER2|ENSG00000177076	0.79	0.00075	28	Control	AD
ACER3|ENSG00000078124	0.45	0.00017	28	Control	AD
ACHE|ENSG00000087085	-0.8	3.8e-07	28	Control	AD
ACIN1|ENSG00000100813	0.39	1.1e-05	28	Control	AD
ACKR2|ENSG00000144648	-0.19	0.44	28	Control	AD
ACKR3|ENSG00000144476	0.35	0.033	28	Control	AD
ACLY|ENSG00000131473	-0.27	0.005	28	Control	AD
SDHAF3|ENSG00000196636	-0.1	0.47	28	Control	AD
ACO1|ENSG00000122729	-0.01	0.95	28	Control	AD
ACO2|ENSG00000100412	-0.72	1.8e-12	28	Control	AD
ACOT1|ENSG00000184227	-0.74	0.0044	28	Control	AD
ACOT11|ENSG00000162390	-0.28	0.15	28	Control	AD
ACOT13|ENSG00000112304	-0.39	4.1e-06	28	Control	AD
