gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
SLC17A8|ENSG00000179520	0.382492832	0.36065628	31	Control	AD
DRAXIN|ENSG00000162490	0.343115263	0.362932755	31	Control	AD
NELL1|ENSG00000165973	0.711530291	0.063553246	31	Control	AD
PPDPF|ENSG00000125534	0.238903165	0.350693019	31	Control	AD
PLCD1|ENSG00000187091	0.412424723	0.144598324	31	Control	AD
GBP2|ENSG00000162645	0.398510648	0.343237399	31	Control	AD
TTC38|ENSG00000075234	-0.153874176	0.542198539	31	Control	AD
TRIM37|ENSG00000108395	0.010970636	0.969968701	31	Control	AD
LOC101928251|ENSG00000264985	0.161101377	0.686138463	31	Control	AD
RXFP1|ENSG00000171509	0.648316065	0.123009463	31	Control	AD
HSDL1|ENSG00000103160	0.13693206	0.41982049	31	Control	AD
EEIG2|ENSG00000162636	0.52821922	0.13793774	31	Control	AD
MMP2|ENSG00000087245	0.118472195	0.702143722	31	Control	AD
CARTPT|ENSG00000164326	1.254472983	0.0003	31	Control	AD
VKORC1|ENSG00000167397	0.372024184	0.184030375	31	Control	AD
MVD|ENSG00000167508	0.33880227	0.086055367	31	Control	AD
ALS2CL|ENSG00000178038	-0.311544699	0.365594672	31	Control	AD
SERPINI1|ENSG00000163536	0.641959366	0.075885988	31	Control	AD
PRKN|ENSG00000185345	0.306705059	0.197650081	31	Control	AD
PRRX2|ENSG00000167157	0.308000399	0.411882904	31	Control	AD
MYCBP2|ENSG00000005810	-0.239272919	0.290387243	31	Control	AD
CASQ1|ENSG00000143318	-0.081819024	0.794377168	31	Control	AD
BMPR2|ENSG00000204217	0.682309521	0.021771738	31	Control	AD
TPRA1|ENSG00000163870	0.241715971	0.252543558	31	Control	AD
BGN|ENSG00000182492	0.534433567	0.116311978	31	Control	AD
BSG|ENSG00000172270	0.570471214	0.001269825	31	Control	AD
DDX49|ENSG00000105671	0.156749081	0.385575647	31	Control	AD
LINC01503|ENSG00000233901	0.617770521		31	Control	AD
RASGRF2|ENSG00000113319	-0.118288375	0.667086822	31	Control	AD
NEUROD6|ENSG00000164600	0.793854865	0.055647501	31	Control	AD
MT1A|ENSG00000205362	0.690387592	0.091409213	31	Control	AD
GLRB|ENSG00000109738	1.090429265	0.006935731	31	Control	AD
CBLN2|ENSG00000141668	0.608117294	0.109853159	31	Control	AD
BTG2|ENSG00000159388	0.236973968	0.341782362	31	Control	AD
KIDINS220|ENSG00000134313	-0.081622464	0.746356208	31	Control	AD
REPS2|ENSG00000169891	-0.096718993	0.730658488	31	Control	AD
WDR81|ENSG00000167716	0.043851001	0.844502063	31	Control	AD
MYBPH|ENSG00000133055	0.836862587	0.04483982	31	Control	AD
WDR47|ENSG00000085433	0.11664121	0.652817005	31	Control	AD
ERG28|ENSG00000133935	0.65236094	0.000152	31	Control	AD
RHOT1|ENSG00000126858	-0.162674363	0.421162541	31	Control	AD
LIG4|ENSG00000174405	-0.425659726	0.103306062	31	Control	AD
TACC2|ENSG00000138162	0.084216471	0.725193416	31	Control	AD
C19orf48P|ENSG00000167747	0.3901955	0.133857216	31	Control	AD
	0.720169769	0.055686646	31	Control	AD
SLC26A4-AS1|ENSG00000233705	0.374726017	0.285995309	31	Control	AD
FGF13|ENSG00000129682	0.336466052	0.356013195	31	Control	AD
AP1AR|ENSG00000138660	-0.233766066	0.275316432	31	Control	AD
PRICKLE1|ENSG00000139174	0.85940328	0.00967462	31	Control	AD
PCMT1|ENSG00000120265	0.382088497	0.170768118	31	Control	AD
CDKN1A|ENSG00000124762	0.839115531	0.04394228	31	Control	AD
RRAS|ENSG00000126458	0.055679631	0.85050432	31	Control	AD
AP1S2|ENSG00000182287	-0.012522773	0.957576908	31	Control	AD
NKIRAS1|ENSG00000197885	0.231329663	0.272153416	31	Control	AD
SLC38A3|ENSG00000188338	0.317223476	0.347501681	31	Control	AD
UNC80|ENSG00000144406	0.403342319	0.262725937	31	Control	AD
PTPN4|ENSG00000088179	-0.060993955	0.803229381	31	Control	AD
PNMA2|ENSG00000240694	0.267905278	0.408856924	31	Control	AD
SLC16A14|ENSG00000163053	0.870270009	0.024811597	31	Control	AD
SELENON|ENSG00000162430	0.39630642	0.134110515	31	Control	AD
BLTP1|ENSG00000138688	-0.17730916	0.439661768	31	Control	AD
SFTA1P|ENSG00000225383	0.858204832	0.02230314	31	Control	AD
PLCH1|ENSG00000114805	0.052878735	0.875689496	31	Control	AD
	0.410635313	0.311603205	31	Control	AD
S100A10|ENSG00000197747	0.18545014		31	Control	AD
PGAM2|ENSG00000164708	-0.064101434	0.859417816	31	Control	AD
TTC3|ENSG00000182670	-0.314167812	0.043148272	31	Control	AD
STXBP5|ENSG00000164506	0.677729741	0.049850511	31	Control	AD
MAPK9|ENSG00000050748	-0.10368912	0.649877552	31	Control	AD
GPR22|ENSG00000283812	0.569563772	0.158753436	31	Control	AD
PLEKHA2|ENSG00000169499	0.075000653	0.694809032	31	Control	AD
MCHR2|ENSG00000152034	0.778051416	0.063668106	31	Control	AD
SYNJ1|ENSG00000159082	0.413085551	0.231924832	31	Control	AD
NBEA|ENSG00000172915	0.27319974	0.367211323	31	Control	AD
CCZ1B|ENSG00000146574	-0.332046937	0.351328925	31	Control	AD
PID1|ENSG00000153823	0.117652448	0.58285113	31	Control	AD
LINC01238|ENSG00000237940	0.348094322	0.313173421	31	Control	AD
WASF1|ENSG00000112290	0.454357725	0.20314241	31	Control	AD
CLOCK|ENSG00000134852	-0.063507062	0.732899134	31	Control	AD
RNF122|ENSG00000133874	0.544207282		31	Control	AD
ZC2HC1A|ENSG00000104427	0.373231871	0.248233191	31	Control	AD
EPHA5|ENSG00000145242	0.824876271	0.049388405	31	Control	AD
ZMAT5|ENSG00000100319	0.161497804	0.42954472	31	Control	AD
C2orf80|ENSG00000188674	0.55732487	0.100169989	31	Control	AD
TIAM2|ENSG00000146426	0.789343915	0.027739088	31	Control	AD
FAM234A|ENSG00000167930	-0.229489818	0.38864127	31	Control	AD
ADAMTS3|ENSG00000156140	0.736625313	0.07391805	31	Control	AD
CACNA2D3|ENSG00000157445	0.865025686	0.017812008	31	Control	AD
PCNX3|ENSG00000197136	0.354531805	0.04755006	31	Control	AD
ANXA2|ENSG00000182718	0.059889409	0.877410667	31	Control	AD
KCND2|ENSG00000184408	0.530187252	0.140469916	31	Control	AD
G3BP2|ENSG00000138757	0.042768534	0.864601745	31	Control	AD
BEST3|ENSG00000127325	0.021307802	0.954726087	31	Control	AD
LDB2|ENSG00000169744	0.537510161	0.162126505	31	Control	AD
