gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ACAP2-IT1|ENSG00000229325	-0.097	0.275	106	Control	AD
ACAP3|ENSG00000131584	0.187	0.395	106	Control	AD
SOAT1|ENSG00000057252	-0.04	0.601	106	Control	AD
SOAT2|ENSG00000167780	0.001	0.953	106	Control	AD
ACBD3-AS1|ENSG00000234478	-0.092	0.208	106	Control	AD
ACBD4|ENSG00000181513	-0.031	0.747	106	Control	AD
ACBD5|ENSG00000107897	-0.01	0.997	106	Control	AD
ACBD6|ENSG00000230124	0.05	0.911	106	Control	AD
	-0.155	0.458	106	Control	AD
ACCS|ENSG00000110455	0.013	0.85	106	Control	AD
ACD|ENSG00000102977	0.166	0.185	106	Control	AD
ACER1|ENSG00000167769	0.015	0.812	106	Control	AD
ACER2|ENSG00000177076	0.04	0.94	106	Control	AD
ACER3|ENSG00000078124	0.029	0.706	106	Control	AD
ACHE|ENSG00000087085	0.164	0.252	106	Control	AD
ACIN1|ENSG00000100813	0.044	0.358	106	Control	AD
ACKR1|ENSG00000213088	-0.06	0.844	106	Control	AD
ACKR3|ENSG00000144476	-0.011	0.93	106	Control	AD
ACKR4|ENSG00000129048	-0.026	0.889	106	Control	AD
ACLY|ENSG00000131473	0.008	0.954	106	Control	AD
ACO1|ENSG00000122729	0.006	0.98	106	Control	AD
ACO2|ENSG00000100412	-0.014	0.991	106	Control	AD
ACOT1|ENSG00000184227	0.156	0.495	106	Control	AD
ACOT11|ENSG00000162390	0.054	0.897	106	Control	AD
ACOT13|ENSG00000112304	-0.038	0.554	106	Control	AD
ACOT2|ENSG00000119673	0.003	0.848	106	Control	AD
ACOT4|ENSG00000177465	0.022	0.897	106	Control	AD
ACOT6|ENSG00000205669	0.022	0.926	106	Control	AD
ACOT7|ENSG00000097021	0.008	0.916	106	Control	AD
ACOT8|ENSG00000101473	0.08	0.665	106	Control	AD
ACOT9|ENSG00000123130	-0.055	0.413	106	Control	AD
ACOX1|ENSG00000161533	-0.095	0.151	106	Control	AD
ACOX2|ENSG00000168306	0.101	0.412	106	Control	AD
ACOX3|ENSG00000087008	0.042	0.949	106	Control	AD
NDUFAB1|ENSG00000004779	-0.064	0.406	106	Control	AD
ACP2|ENSG00000134575	-0.1	0.403	106	Control	AD
ACP6|ENSG00000162836	-0.044	0.687	106	Control	AD
GCNA|ENSG00000147174	0.102	0.714	106	Control	AD
ACSBG1|ENSG00000103740	-0.063	0.662	106	Control	AD
