gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
A1BG	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
A1BG-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
A2M	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
A2ML1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
A2ML1-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
A2MP1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
A4GALT	missing	missing	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	4	0
AACSP1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AADACP1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AAK1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AAMP	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
AARD	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
AARSD1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AASDHPPT	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AATBC	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABCA1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ABCA11P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCA17P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ABCA2	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ABCA3	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
ABCA5	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABCA6	missing	missing	missing	missing	missing	missing	downregulated	missing	upregulated	1	1
ABCA8	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ABCB1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ABCB7	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ABCB8	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABCC12	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
ABCC2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABCC4	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ABCC6	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ABCC8	missing	missing	missing	missing	missing	downregulated	upregulated	missing	downregulated	1	2
ABCC9	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ABCD1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCD4	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ABCE1	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
ABCF2P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCG2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCG4	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
ABHD10	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ABHD11	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	1	1
ABHD14A	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ABHD15	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ABHD16A	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ABHD16B	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABHD17C	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ABHD2	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
ABHD3	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	4	0
ABHD4	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ABHD5	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABI2	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
ABI3	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ABI3BP	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABL1	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	2	0
ABLIM2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ABR	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ABRACL	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	0	2
ABTB2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABTB3	missing	missing	missing	upregulated	missing	downregulated	missing	missing	downregulated	1	2
ACAA2P1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ACACA	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
ACAD8	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACADL	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ACADSB	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
ACADVL	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ACAN	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACAP2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ACAP2-IT1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACAP3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACAT2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACBD5	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ACD	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	2
ACER2	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ACHE	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACIN1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ACKR3	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ACLY	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ACO2	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
ACOT4	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACOT6	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ACOT7	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
ACOT8	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ACOX2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ACOX3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACOXL-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACP1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACP2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACP3	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACP5	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ACRBP	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACRV1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACSBG1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ACSL1	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACSL4	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
ACSL5	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
ACSL6	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACSL6-AS1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ACSM5	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACSS3	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ACTA2	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ACTBP7	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
ACTG1	missing	missing	missing	missing	downregulated	missing	upregulated	missing	missing	1	1
ACTG1P10	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ACTG1P12	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACTG1P15	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ACTG1P17	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ACTG1P22	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTG2	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ACTL10	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTL6A	upregulated	missing	upregulated	missing	upregulated	missing	missing	missing	upregulated	4	0
ACTL6B	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ACTN2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACTR10	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
ACTR1B	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
ACTR2	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
ACTR3B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACTR8	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ACVR1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ACVR2A	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
ACVR2B-AS1	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	0	2
ACVRL1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ADA	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ADAD2	missing	missing	missing	downregulated	missing	downregulated	missing	missing	downregulated	0	3
ADAM10	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
ADAM11	downregulated	missing	downregulated	missing	missing	missing	upregulated	missing	downregulated	1	3
ADAM12	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
ADAM17	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ADAM19	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADAM21	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADAM23	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ADAM28	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	1	1
ADAM33	upregulated	missing	upregulated	upregulated	missing	upregulated	missing	upregulated	missing	5	0
ADAM3B	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADAM8	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADAM9	missing	missing	upregulated	downregulated	missing	downregulated	missing	missing	upregulated	2	2
ADAMTS1	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	upregulated	4	0
ADAMTS10	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ADAMTS13	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADAMTS15	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADAMTS2	missing	missing	missing	upregulated	upregulated	upregulated	missing	upregulated	missing	4	0
ADAMTS20	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	0	2
ADAMTS3	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
ADAMTS7	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ADAMTS7P1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADAMTS8	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADAMTS9-AS2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ADAMTSL1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ADAMTSL3	missing	missing	missing	missing	missing	missing	downregulated	missing	upregulated	1	1
ADAP2	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
ADARB1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADARB2	upregulated	upregulated	downregulated	missing	missing	missing	missing	missing	upregulated	3	1
ADARB2-AS1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
ADAT1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
ADAT2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADAT3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADCK1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADCK5	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADCY1	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
ADCY10P1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADCY2	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ADCY4	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
ADCY7	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ADCY8	missing	missing	upregulated	upregulated	missing	upregulated	missing	missing	missing	3	0
ADCYAP1	downregulated	downregulated	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	5
ADCYAP1R1	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ADD2	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ADD3	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ADGRA1	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
ADGRA1-AS1	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ADGRA3	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ADGRA3P1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ADGRB1	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	1	1
ADGRB2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ADGRB3	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ADGRB3-DT	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADGRD1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ADGRF2P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADGRF5	upregulated	missing	missing	downregulated	missing	upregulated	missing	missing	missing	2	1
ADGRG2	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	2	0
ADGRG3	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ADGRG5	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADGRG6	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ADGRL3	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ADGRL4	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	missing	3	0
ADGRV1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ADH1B	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ADI1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADIPOR2	upregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	3	0
ADIRF	missing	upregulated	missing	downregulated	missing	missing	missing	missing	missing	1	1
ADM	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADM-DT	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
ADNP-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ADORA2A	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADORA2B	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	2	0
ADORA3	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	3	0
ADPRH	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ADPRHL1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADRA1A	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
ADRA1B	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
ADRA1D	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
ADRA2B	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADRA2C	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ADRB2	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ADRB3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADSS1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ADSS2	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
ADTRP	downregulated	missing	missing	missing	missing	downregulated	missing	downregulated	downregulated	0	4
AEBP1	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	6	0
AEBP2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AEN	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	2	0
AFAP1	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
AFAP1L1	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	upregulated	4	0
AFF1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
AFF2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AFF3	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	2
AFG2A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AFG3L1P	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
AFG3L2	missing	missing	downregulated	missing	downregulated	missing	missing	downregulated	downregulated	0	4
AFMID	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
AGAP1	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
AGAP1-IT1	missing	missing	missing	downregulated	upregulated	missing	missing	missing	missing	1	1
AGAP2	missing	missing	downregulated	missing	missing	missing	missing	downregulated	downregulated	0	3
AGAP2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AGAP6	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AGBL1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AGBL2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AGBL4	downregulated	missing	downregulated	missing	missing	missing	missing	downregulated	downregulated	0	4
AGER	upregulated	missing	missing	missing	upregulated	downregulated	missing	missing	missing	2	1
AGFG2	missing	missing	upregulated	missing	upregulated	upregulated	missing	upregulated	missing	4	0
AGK	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AGL	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
AGMO	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AGO2	missing	missing	missing	downregulated	missing	missing	missing	upregulated	upregulated	2	1
AGO4	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
AGPAT1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AGTR1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
AGTRAP	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
AHCYL1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AHCYL2	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
AHI1	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
AHI1-DT	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AHNAK	upregulated	upregulated	upregulated	downregulated	missing	upregulated	downregulated	missing	upregulated	5	2
AHRR	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AHSG	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AHSP	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
AIDA	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AIDAP2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AIF1	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
AIF1L	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
AIFM3	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
AIG1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
AIM2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AIPL1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AIRN	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
AJM1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
AJUBA	missing	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	3	0
AJUBA-DT	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AK1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
AK4	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AK5	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AKAIN1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
AKAP11	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
AKAP14	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
AKAP17BP	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AKAP3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AKAP5	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
AKAP6	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
AKAP8	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
AKNAD1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AKR1B10	missing	missing	missing	missing	downregulated	upregulated	missing	missing	missing	1	1
AKR1C1	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
AKR1C2	missing	missing	upregulated	missing	upregulated	upregulated	missing	missing	missing	3	0
AKR1C3	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
AKT1S1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
AKT3	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ALAS1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ALAS2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ALDH16A1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ALDH1A3	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
ALDH1A3-AS1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ALDH1L1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ALDH1L1-AS2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ALDH5A1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ALDH6A1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
ALDOA	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ALDOC	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ALG1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ALG11	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
ALG13	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ALG14	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ALG1L1P	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ALG3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ALG5	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ALKAL2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ALKBH6	missing	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	3
ALLC	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ALMS1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ALOX12-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
ALOX12B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ALOX15B	upregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	2	0
ALOX15P1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ALOX5	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ALOX5AP	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ALOXE3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ALPK1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ALPL	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
ALS2CL	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	1	1
ALX1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ALX4	missing	missing	missing	missing	upregulated	upregulated	missing	missing	upregulated	3	0
ALYREF	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
AMBP	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
AMER2	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
AMER3	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
AMH	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
AMIGO1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AMIGO2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
AMMECR1LP1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AMN	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
AMN1	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
AMOT	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
AMPD3	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
AMPH	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
AMY2A	downregulated	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	3
AMY2B	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
ANAPC13	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
ANAPC15	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
ANAPC16	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ANG	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	0
ANGPT1	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	missing	upregulated	5	0
ANGPT2	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ANGPTL1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ANGPTL5	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ANK1	missing	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	3
ANK2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANK3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ANKAR	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANKFN1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ANKHD1-EIF4EBP3	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	2	0
ANKIB1	missing	missing	missing	downregulated	missing	missing	missing	missing	upregulated	1	1
ANKK1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
