gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
TENT5A	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
TENT5B	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
TENT5C	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TEP1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
TEPSIN	missing	missing	upregulated	upregulated	missing	missing	missing	upregulated	missing	3	0
TERB1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TERB2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TERT	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
TES	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
TESC	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TESK2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TESPA1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TET1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
TET3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TEX101	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
TEX12	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
TEX13C	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TEX14	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TEX15	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
TEX22	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TEX26	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TEX261	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TEX29	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TEX46	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TEX47	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
TEX52	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TEX9	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TFAP2C	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
TFAP2E	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
TFAP4	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TFCP2L1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TFDP1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TFDP1P2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
TFDP2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TFEB	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	missing	3	0
TFEC	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TFPI	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	2	0
TFPI2	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
TFPT	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TFR2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TGDS	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TGFA	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TGFB1	upregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	3	0
TGFB1I1	upregulated	missing	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	5	0
TGFB2	upregulated	missing	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	5	0
TGFB3	upregulated	missing	missing	missing	missing	downregulated	missing	upregulated	upregulated	3	1
TGFB3-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	2	0
TGFBI	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	missing	upregulated	5	0
TGFBR1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
TGFBR2	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	missing	missing	4	0
TGFBR3	upregulated	missing	upregulated	downregulated	missing	upregulated	missing	missing	upregulated	4	1
TGFBR3L	missing	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	3
TGIF1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TGIF2	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
TGM1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
TGM2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TH	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
THA1P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
THAP10	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
THAP12P2	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
THAP12P3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
THAP12P7	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
THBD	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
THBS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
THBS2	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
THBS3-AS1	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
THNSL1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
THOC3	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
THOC6	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
THPO	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
THRAP3	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
THRB	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
THSD1P1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
THSD4	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
THSD4-AS1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
THTPA	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
THY1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
THY1-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
THYN1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TIAM1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TICRR	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TIE1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
TIFA	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
TIFAB	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TIGD3	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TIGD5	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TIMELESS	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TIMM10	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TIMM17A	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TIMM23	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TIMM8A	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
TIMP1	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
TIMP2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TIMP3	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	missing	3	0
TIMP4	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TINAG	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TINAGL1	upregulated	missing	missing	downregulated	missing	upregulated	missing	missing	missing	2	1
TINCR	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TIPARP	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TIPRL	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TJAP1	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	0	2
TJAP1P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
TJP1	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TJP2	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
TJP3	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TKFC	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TKTL1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TLDC2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TLE2	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TLE3	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
TLK2P2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TLL2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TLN1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
TLN2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TLR1	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TLR10	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TLR2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
