gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
RPS23P6,ENSG00000241641,RPS23P6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PAQR6,ENSG00000160781,PAQR6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SPRR2G,ENSG00000159516,SPRR2G,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000277532,ENSG00000277532,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PLAC9P1,ENSG00000214100,PLAC9P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SIGLEC12,ENSG00000254521,SIGLEC12,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PNOC,ENSG00000168081,PNOC,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
OBP2A,ENSG00000122136,OBP2A,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000230828,ENSG00000230828,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTCL3,ENSG00000214338,MTCL3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000256514,ENSG00000256514,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RBBP8NL,ENSG00000130701,RBBP8NL,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HSD17B3,ENSG00000130948,HSD17B3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CICP20,ENSG00000235955,CICP20,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SLN,ENSG00000170290,SLN,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MNX1,ENSG00000130675,MNX1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
FLOT1,ENSG00000206480,FLOT1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CFAP144,ENSG00000186973,CFAP144,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LLCFC1,ENSG00000165131,LLCFC1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HBD,ENSG00000223609,HBD,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
