gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
SPON2,ENSG00000159674,SPON2,False,Frontal Lobe,Panitch_et_al,1.8
ITFG1-AS1,ENSG00000260281,ITFG1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
ABCA5,ENSG00000154265,ABCA5,False,Frontal Lobe,Panitch_et_al,1.8
KHDRBS1,ENSG00000121774,KHDRBS1,False,Frontal Lobe,Panitch_et_al,1.8
SGTB,ENSG00000197860,SGTB,False,Frontal Lobe,Panitch_et_al,1.8
DCTN1-AS1,ENSG00000237737,DCTN1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
PLEKHB2,ENSG00000115762,PLEKHB2,False,Frontal Lobe,Panitch_et_al,1.8
NIT1,ENSG00000158793,NIT1,False,Frontal Lobe,Panitch_et_al,1.8
NAP1L5,ENSG00000177432,NAP1L5,False,Frontal Lobe,Panitch_et_al,1.8
LINC02552,ENSG00000256422,LINC02552,False,Frontal Lobe,Panitch_et_al,1.8
ARK2C,ENSG00000141622,ARK2C,False,Frontal Lobe,Panitch_et_al,1.8
UBE2V2-AS1,,UBE2V2-AS1,False,Frontal Lobe,Panitch_et_al,1.8
MRPS30-DT,ENSG00000251141,MRPS30-DT,False,Frontal Lobe,Panitch_et_al,1.8
AIG1,ENSG00000146416,AIG1,False,Frontal Lobe,Panitch_et_al,1.8
SCOC-AS1,ENSG00000196951,SCOC-AS1,False,Frontal Lobe,Panitch_et_al,1.8
UCHL5,ENSG00000116750,UCHL5,False,Frontal Lobe,Panitch_et_al,1.8
ATP6V0E1,ENSG00000113732,ATP6V0E1,False,Frontal Lobe,Panitch_et_al,1.8
NDUFA5,ENSG00000128609,NDUFA5,False,Frontal Lobe,Panitch_et_al,1.8
FFAR4,ENSG00000186188,FFAR4,False,Frontal Lobe,Panitch_et_al,1.8
DCAF16,ENSG00000163257,DCAF16,False,Frontal Lobe,Panitch_et_al,1.8
OIP5-AS1,ENSG00000247556,OIP5-AS1,False,Frontal Lobe,Panitch_et_al,1.8
GDAP1,ENSG00000104381,GDAP1,False,Frontal Lobe,Panitch_et_al,1.8
GOLT1B,ENSG00000111711,GOLT1B,False,Frontal Lobe,Panitch_et_al,1.8
PRR13,ENSG00000205352,PRR13,False,Frontal Lobe,Panitch_et_al,1.8
DMAC1,ENSG00000137038,DMAC1,False,Frontal Lobe,Panitch_et_al,1.8
ZDHHC23,ENSG00000184307,ZDHHC23,False,Frontal Lobe,Panitch_et_al,1.8
RPH3A,ENSG00000089169,RPH3A,False,Frontal Lobe,Panitch_et_al,1.8
SIDT1-AS1,ENSG00000239453,SIDT1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
ACTR6,ENSG00000075089,ACTR6,False,Frontal Lobe,Panitch_et_al,1.8
MSH2,ENSG00000095002,MSH2,False,Frontal Lobe,Panitch_et_al,1.8
SEC22A,ENSG00000121542,SEC22A,False,Frontal Lobe,Panitch_et_al,1.8
TYRP1,ENSG00000107165,TYRP1,False,Frontal Lobe,Panitch_et_al,1.8
RANBP1,ENSG00000099901,RANBP1,False,Frontal Lobe,Panitch_et_al,1.8
NDFIP1,ENSG00000131507,NDFIP1,False,Frontal Lobe,Panitch_et_al,1.8
RUFY2,ENSG00000204130,RUFY2,False,Frontal Lobe,Panitch_et_al,1.8
ZRANB3,ENSG00000121988,ZRANB3,False,Frontal Lobe,Panitch_et_al,1.8
BEX2,ENSG00000133134,BEX2,False,Frontal Lobe,Panitch_et_al,1.8
GALNT11,ENSG00000178234,GALNT11,False,Frontal Lobe,Panitch_et_al,1.8
GPR158-AS1,ENSG00000233642,GPR158-AS1,False,Frontal Lobe,Panitch_et_al,1.8
TAC1,ENSG00000006128,TAC1,False,Frontal Lobe,Panitch_et_al,1.8
C8orf44,ENSG00000288596,C8orf44,False,Frontal Lobe,Panitch_et_al,1.8
COX10-DT,ENSG00000236088,COX10-DT,False,Frontal Lobe,Panitch_et_al,1.8
GAD2,ENSG00000136750,GAD2,False,Frontal Lobe,Panitch_et_al,1.8
PRNP,ENSG00000171867,PRNP,False,Frontal Lobe,Panitch_et_al,1.8
PDCD6-DT,ENSG00000248925,PDCD6-DT,False,Frontal Lobe,Panitch_et_al,1.8
THAP9-AS1,ENSG00000251022,THAP9-AS1,False,Frontal Lobe,Panitch_et_al,1.8
RNFT2,ENSG00000135119,RNFT2,False,Frontal Lobe,Panitch_et_al,1.8
SLC20A1-DT,ENSG00000237753,SLC20A1-DT,False,Frontal Lobe,Panitch_et_al,1.8
RPL15,ENSG00000174748,RPL15,False,Frontal Lobe,Panitch_et_al,1.8
PRSS16,ENSG00000112812,PRSS16,False,Frontal Lobe,Panitch_et_al,1.8
SUB1,ENSG00000113387,SUB1,False,Frontal Lobe,Panitch_et_al,1.8
LRRC8B,ENSG00000197147,LRRC8B,False,Frontal Lobe,Panitch_et_al,1.8
PIAS2,ENSG00000078043,PIAS2,False,Frontal Lobe,Panitch_et_al,1.8
BCDIN3D-AS1,ENSG00000258057,BCDIN3D-AS1,False,Frontal Lobe,Panitch_et_al,1.8
EMC1-AS1,ENSG00000230424,EMC1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
HUNK-AS1,ENSG00000237138,HUNK-AS1,False,Frontal Lobe,Panitch_et_al,1.8
GOLGA8B,ENSG00000215252,GOLGA8B,False,Frontal Lobe,Panitch_et_al,1.8
NEK10,ENSG00000163491,NEK10,False,Frontal Lobe,Panitch_et_al,1.8
KIF9-AS1,ENSG00000227398,KIF9-AS1,False,Frontal Lobe,Panitch_et_al,1.8
DUSP4,ENSG00000120875,DUSP4,False,Frontal Lobe,Panitch_et_al,1.8
PMS2,ENSG00000122512,PMS2,False,Frontal Lobe,Panitch_et_al,1.8
OGFOD1,ENSG00000087263,OGFOD1,False,Frontal Lobe,Panitch_et_al,1.8
ALOX12B,ENSG00000179477,ALOX12B,False,Frontal Lobe,Panitch_et_al,1.8
RRAGB,ENSG00000083750,RRAGB,False,Frontal Lobe,Panitch_et_al,1.8
NRN1,ENSG00000124785,NRN1,False,Frontal Lobe,Panitch_et_al,1.8
LYRM9,ENSG00000232859,LYRM9,False,Frontal Lobe,Panitch_et_al,1.8
LNCOC1,ENSG00000253741,LNCOC1,False,Frontal Lobe,Panitch_et_al,1.8
ELP2,ENSG00000134759,ELP2,False,Frontal Lobe,Panitch_et_al,1.8
C1D,ENSG00000197223,C1D,False,Frontal Lobe,Panitch_et_al,1.8
GLOD4,ENSG00000167699,GLOD4,False,Frontal Lobe,Panitch_et_al,1.8
HSPB3,ENSG00000169271,HSPB3,False,Frontal Lobe,Panitch_et_al,1.8
TRANK1,ENSG00000168016,TRANK1,False,Frontal Lobe,Panitch_et_al,1.8
SLC25A26,ENSG00000144741,SLC25A26,False,Frontal Lobe,Panitch_et_al,1.8
OGA,ENSG00000198408,OGA,False,Frontal Lobe,Panitch_et_al,1.8
SORCS3-AS1,ENSG00000226387,SORCS3-AS1,False,Frontal Lobe,Panitch_et_al,1.8
MAPK8,ENSG00000107643,MAPK8,False,Frontal Lobe,Panitch_et_al,1.8
VEZT,ENSG00000028203,VEZT,False,Frontal Lobe,Panitch_et_al,1.8
NXPH1,ENSG00000122584,NXPH1,False,Frontal Lobe,Panitch_et_al,1.8
PART1,ENSG00000152931,PART1,False,Frontal Lobe,Panitch_et_al,1.8
BEX3,ENSG00000166681,BEX3,False,Frontal Lobe,Panitch_et_al,1.8
GRIK1-AS1,ENSG00000174680,GRIK1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
LOC106677019,,LOC106677019,False,Frontal Lobe,Panitch_et_al,1.8
CENPS-CORT,ENSG00000251503,CENPS-CORT,False,Frontal Lobe,Panitch_et_al,1.8
KRBOX5,ENSG00000197302,KRBOX5,False,Frontal Lobe,Panitch_et_al,1.8
PLAGL1,ENSG00000118495,PLAGL1,False,Frontal Lobe,Panitch_et_al,1.8
ERLEC1,ENSG00000068912,ERLEC1,False,Frontal Lobe,Panitch_et_al,1.8
TARBP1,ENSG00000059588,TARBP1,False,Frontal Lobe,Panitch_et_al,1.8
RPL36A-HNRNPH2,ENSG00000257529,RPL36A-HNRNPH2,False,Frontal Lobe,Panitch_et_al,1.8
PRMT8,ENSG00000111218,PRMT8,False,Frontal Lobe,Panitch_et_al,1.8
MLIP-AS1,ENSG00000235050,MLIP-AS1,False,Frontal Lobe,Panitch_et_al,1.8
