gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MTND4P24,ENSG00000232177,MTND4P24,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MTCO3P22,ENSG00000270388,MTCO3P22,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MTCO1P12,ENSG00000237973,MTCO1P12,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GUCA1C,ENSG00000138472,GUCA1C,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000262384,ENSG00000262384,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
WEE1P1,ENSG00000250238,WEE1P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KIF2B,ENSG00000141200,KIF2B,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
NEUROD6,ENSG00000164600,NEUROD6,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
NMU,ENSG00000109255,NMU,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT5,ENSG00000186081,KRT5,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SST,ENSG00000157005,SST,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000234460,ENSG00000234460,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
DHFRP2,ENSG00000236851,DHFRP2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CRH,ENSG00000147571,CRH,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000225911,ENSG00000225911,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SUCLA2P2,ENSG00000233107,SUCLA2P2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LOC729141,ENSG00000213115,LOC729141,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT8P5,ENSG00000267573,KRT8P5,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000225384,ENSG00000225384,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
YBX1P7,ENSG00000232349,YBX1P7,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LOC100419891,ENSG00000277743,LOC100419891,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ISCA1P3,ENSG00000261965,ISCA1P3,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GAPDHP25,ENSG00000213594,GAPDHP25,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
RGS4,ENSG00000117152,RGS4,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
HSPB3,ENSG00000169271,HSPB3,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LY6D,ENSG00000167656,LY6D,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000271187,ENSG00000271187,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000226870,ENSG00000226870,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000266906,ENSG00000266906,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000282875,ENSG00000282875,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000282994,ENSG00000282994,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LOC284685,ENSG00000215835,LOC284685,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
OR2M5,ENSG00000162727,OR2M5,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT31,ENSG00000292029,KRT31,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
OR2M2,ENSG00000198601,OR2M2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CLNS1AP1,ENSG00000213335,CLNS1AP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
TAC1,ENSG00000006128,TAC1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ATP12A,ENSG00000075673,ATP12A,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LYZL4,ENSG00000157093,LYZL4,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CLPSL1,ENSG00000204140,CLPSL1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
HBBP1,ENSG00000229988,HBBP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ABCC12,ENSG00000140798,ABCC12,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT17,ENSG00000128422,KRT17,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
YWHAZP5,ENSG00000213260,YWHAZP5,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MYH4,ENSG00000264424,MYH4,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
UBE2FP2,ENSG00000261199,UBE2FP2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
PCSK1,ENSG00000175426,PCSK1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MESTP3,ENSG00000250927,MESTP3,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MTND1P35,ENSG00000255055,MTND1P35,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
RPS2P48,ENSG00000233380,RPS2P48,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SVOP,ENSG00000166111,SVOP,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LINC02218,ENSG00000249662,LINC02218,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT18P51,ENSG00000250504,KRT18P51,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
NXPH2,ENSG00000144227,NXPH2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000276490,ENSG00000276490,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GNG3,ENSG00000162188,GNG3,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SDCBPP2,ENSG00000247570,SDCBPP2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
OR4D5,ENSG00000171014,OR4D5,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ATOH7,ENSG00000179774,ATOH7,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ZNF101P1,ENSG00000237746,ZNF101P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LOC339966,ENSG00000271676,LOC339966,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
THY1,ENSG00000154096,THY1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000259963,ENSG00000259963,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
STMN2,ENSG00000104435,STMN2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
PVALB,ENSG00000274665,PVALB,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LOC100289206,ENSG00000283178,LOC100289206,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SLN,ENSG00000170290,SLN,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
PSMC1P10,ENSG00000236348,PSMC1P10,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MCHR1,ENSG00000128285,MCHR1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
PPP1R2B,ENSG00000231989,PPP1R2B,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GNL2P1,ENSG00000223893,GNL2P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
EIF4A2P1,ENSG00000267336,EIF4A2P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
HNRNPA1P57,ENSG00000237442,HNRNPA1P57,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GAP43,ENSG00000172020,GAP43,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
LOC133332,ENSG00000250547,LOC133332,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CRYM,ENSG00000103316,CRYM,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CRYM-AS1,,CRYM-AS1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KCNB2,ENSG00000182674,KCNB2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CCDC184,ENSG00000177875,CCDC184,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CARTPT,ENSG00000164326,CARTPT,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT17P6,ENSG00000231645,KRT17P6,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
HPCA,ENSG00000121905,HPCA,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
C8orf90,ENSG00000226490,C8orf90,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SYP,ENSG00000102003,SYP,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MS4A8,ENSG00000166959,MS4A8,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
DRGX,ENSG00000165606,DRGX,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GPRC6A,ENSG00000173612,GPRC6A,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
RAD52P1,ENSG00000237964,RAD52P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
SOWAHB,ENSG00000186212,SOWAHB,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
TAGLN3,ENSG00000144834,TAGLN3,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
PNOC,ENSG00000168081,PNOC,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
KRT17P1,ENSG00000131885,KRT17P1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
RXFP1,ENSG00000171509,RXFP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ATP6V1G2,ENSG00000226850,ATP6V1G2,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
MTND1P34,ENSG00000225514,MTND1P34,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
C3orf80,ENSG00000180044,C3orf80,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
CCK,ENSG00000187094,CCK,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000283381,ENSG00000283381,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
RPH3A,ENSG00000089169,RPH3A,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
GRP,ENSG00000134443,GRP,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
ENSG00000267623,ENSG00000267623,,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
RHO,ENSG00000163914,RHO,False,Temporal Lobe,Marques-Coelho_MSSB_BA36,2.3
