gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
CFAP126	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
CFAP144	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	2	2
CFAP161	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CFAP184	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
CFAP206	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
CFAP210	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
CFAP221	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
CFAP251	downregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
CFAP263	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	3
CFAP276	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
CFAP299	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
CFAP300	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	1
CFAP36	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CFAP410	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
CFAP418	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
