gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
A1BG	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
A1BG-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
A2M	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
A2ML1	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	upregulated	missing	missing	missing	missing	upregulated	5	0
A2ML1-AS1	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
A2MP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
A4GALT	upregulated	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	7	0
A4GNT	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
AACS	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AACSP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
AADACP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
AAGAB	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AAK1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
AAMP	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AARD	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
AARSD1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
AASDHPPT	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	3
AASS	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
AATBC	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	2	0
AATK	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCA1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	5	0
ABCA10	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCA11P	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ABCA12	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCA13	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCA17P	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ABCA2	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	2	1
ABCA3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	1	1
ABCA4	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
ABCA5	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ABCA6	upregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	upregulated	4	1
ABCA8	upregulated	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	4	0
ABCA9-AS1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCB1	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ABCB7	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ABCB8	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCB9	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABCC12	downregulated	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	5
ABCC2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
ABCC4	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCC6	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
ABCC8	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	downregulated	missing	upregulated	missing	missing	missing	downregulated	1	3
ABCC9	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCD1	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCD2	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ABCD4	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ABCE1	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ABCF2P1	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	2
ABCF3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
ABCG2	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABCG4	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
ABHD10	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABHD11	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	1
ABHD12	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	1	1
ABHD14A	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ABHD14A-ACY1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	1
ABHD15	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ABHD16A	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
ABHD16B	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABHD17A	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABHD17B	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABHD17C	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABHD2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	2	0
ABHD3	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	4	0
ABHD4	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	4	0
ABHD5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABI2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
ABI3	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	5	0
ABI3BP	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ABITRAM	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ABL1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	3	0
ABL2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
ABLIM2	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	3
ABR	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ABRACL	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	4
ABRAXAS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ABTB2	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ABTB3	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	1	3
ACAA2P1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACACA	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ACACB	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ACAD8	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACAD9	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
ACADL	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ACADSB	downregulated	missing	missing	downregulated	missing	missing	missing	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	5
ACADVL	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACAN	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	3	0
ACAP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	2	0
ACAP2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
ACAP2-IT1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACAP3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACAT2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ACBD5	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	0
ACBD7-DCLRE1CP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACD	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	1	2
ACE	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACER2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	2	0
ACER3	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACHE	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ACIN1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACKR1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACKR3	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ACLY	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACO2	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	missing	0	4
ACOT4	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	3
ACOT6	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACOT7	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	5
ACOT8	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	1	1
ACOX2	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACOX3	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACOXL-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ACP1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	missing	0	2
ACP2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	downregulated	0	5
ACP3	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACP5	missing	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	3	1
ACRBP	missing	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ACRV1	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACSBG1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	1	1
ACSF2	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACSL1	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ACSL3-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACSL4	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	4
ACSL5	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	3	0
ACSL6	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACSL6-AS1	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	3
ACSM5	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
ACSS3	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ACTA1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTA2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ACTA2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ACTBP7	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
ACTG1	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	downregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	1	3
ACTG1P10	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ACTG1P12	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACTG1P15	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACTG1P17	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ACTG1P22	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTG2	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	1
ACTL10	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTL6A	missing	upregulated	missing	upregulated	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	5	0
ACTL6B	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
ACTN2	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ACTN4	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACTR10	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	downregulated	missing	missing	downregulated	missing	missing	missing	downregulated	missing	0	6
ACTR1B	downregulated	missing	missing	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	3
ACTR2	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
ACTR3B	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	3
ACTR3C	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACTR6	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACTR8	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACVR1	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ACVR1B	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ACVR1C	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ACVR2A	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
ACVR2B	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
ACVR2B-AS1	missing	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ACVRL1	missing	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADA	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ADAD2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	missing	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	0	5
ADAM10	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ADAM11	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	upregulated	missing	missing	missing	downregulated	1	6
ADAM12	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	upregulated	missing	missing	missing	missing	upregulated	5	0
ADAM17	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADAM19	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADAM21	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ADAM22	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ADAM23	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	downregulated	0	5
ADAM28	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	1	1
ADAM32	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADAM33	upregulated	upregulated	missing	upregulated	missing	upregulated	missing	missing	upregulated	missing	upregulated	missing	upregulated	upregulated	missing	upregulated	missing	upregulated	missing	10	0
ADAM3B	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADAM7-AS1	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADAM8	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADAM9	missing	missing	missing	upregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	2	2
ADAMTS1	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	5	0
ADAMTS10	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	3	0
ADAMTS13	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ADAMTS15	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ADAMTS16-DT	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	2
ADAMTS2	missing	missing	missing	missing	missing	upregulated	missing	upregulated	upregulated	upregulated	missing	missing	upregulated	upregulated	missing	missing	missing	upregulated	missing	7	0
ADAMTS20	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
ADAMTS3	downregulated	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
ADAMTS7	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADAMTS7P1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADAMTS8	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ADAMTS9-AS2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ADAMTSL1	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	downregulated	downregulated	missing	missing	0	4
ADAMTSL3	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	downregulated	missing	missing	missing	upregulated	3	1
ADAMTSL5	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	1
ADAP2	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
ADARB1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
