Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
GPR183,-0.056,9.54E-01,,,
GPR19,-0.021,9.16E-01,,,
GPR21,-0.025,6.98E-01,,,
GPR22,-0.397,1.52E-01,,,
GPR26,0.008,6.63E-01,,,
GPR27,0.261,2.01E-01,,,
GPR34,0.147,3.11E-01,,,
GPR37,0.246,2.29E-01,,,
GPR37L1,0.153,2.75E-01,,,
GPR52,-0.088,8.47E-01,,,
GPR61,-0.057,4.49E-01,,,
GPR62,0.190,1.85E-01,,,
GPR63,-0.067,8.58E-01,,,
GPR65,-0.001,8.73E-01,,,
GPR68,0.179,2.01E-01,,,
GPR75,0.003,9.90E-01,,,
GPR75-ASB3,0.276,5.19E-01,,,
GPR79,0.009,5.55E-01,,,
GPR82,-0.006,9.19E-01,,,
GPR83,-0.089,8.86E-01,,,
GPR85,-0.011,9.14E-01,,,
GPR87,-0.029,7.55E-01,,,
GPR89A,-0.018,6.01E-01,,,
GPR89B,-0.033,8.81E-01,,,
GPRASP1,-0.174,2.02E-01,,,
GPRASP2,-0.145,3.65E-01,,,
GPRC5B,0.188,2.01E-01,,,
GPRC5C,-0.009,8.30E-01,,,
GPRIN1,0.009,9.93E-01,,,
GPRIN3,-0.053,8.24E-01,,,
GPS1,0.141,3.99E-01,,,
GPS2,0.059,6.87E-01,,,
GPSM1,0.185,3.58E-01,,,
GPSM2,0.064,6.88E-01,,,
GPSM3,0.075,5.19E-01,,,
GPT,0.131,5.27E-01,,,
GPT2,0.102,8.93E-01,,,
GPX1,0.225,1.98E-01,,,
GPX2,0.051,4.57E-01,,,
GPX3,-0.156,4.63E-01,,,
GPX4,0.108,4.71E-01,,,
GPX7,-0.049,8.72E-01,,,
GRAMD1A,0.130,3.13E-01,,,
GRAMD1B,-0.077,7.68E-01,,,
GRAMD1C,-0.116,5.22E-01,,,
GRAMD2,0.016,7.48E-01,,,
GRAMD3,-0.036,9.76E-01,,,
GRAMD4,0.076,5.50E-01,,,
GRAMD4P1,-0.049,8.93E-01,,,
GRAMD4P3,-0.009,8.94E-01,,,
GRAMD4P5,0.046,8.33E-01,,,
GRAMD4P6,-0.094,4.64E-01,,,
GRAMD4P7,-0.056,8.24E-01,,,
GRAMD4P8,0.015,9.31E-01,,,
GRASP,0.000,7.19E-01,,,
GRB10,-0.007,7.33E-01,,,
GRB14,-0.229,2.32E-01,,,
GRB2,-0.008,8.92E-01,,,
GREB1,-0.013,8.35E-01,,,
GREB1L,0.029,6.00E-01,,,
GREM1,0.102,6.60E-01,,,
GREM2,-0.029,9.41E-01,,,
GRHL1,-0.064,3.25E-01,,,
GRHPR,0.094,2.33E-01,,,
GRIA1,-0.162,3.35E-01,,,
GRIA2,-0.130,3.21E-01,,,
GRIA3,-0.186,2.53E-01,,,
GRIA4,-0.129,3.51E-01,,,
GRID1,0.077,3.27E-01,,,
GRID2,-0.087,2.45E-01,,,
GRIK1,-0.129,2.31E-01,,,
GRIK2,-0.124,2.70E-01,,,
GRIK3,0.078,6.01E-01,,,
GRIK4,0.084,4.60E-01,,,
GRIK5,0.165,2.39E-01,,,
GRIN1,0.150,4.75E-01,,,
GRIN2A,-0.147,5.45E-01,,,
GRIN2B,-0.135,2.67E-01,,,
GRIN2C,0.195,2.34E-01,,,
GRIN3A,-0.119,3.95E-01,,,
GRINA,0.081,3.88E-01,,,
GRIP1,-0.070,5.33E-01,,,
GRIP2,0.023,9.24E-01,,,
GRIPAP1,-0.038,3.73E-01,,,
GRK4,-0.002,8.27E-01,,,
GRK5,-0.082,2.01E-01,,,
GRK6,0.094,6.68E-01,,,
GRM1,-0.143,4.25E-01,,,
GRM2,0.124,4.23E-01,,,
GRM3,0.051,6.16E-01,,,
GRM5,-0.177,3.07E-01,,,
GRM5-AS1,-0.203,2.39E-01,,,
GRM6,0.002,9.80E-01,,,
GRM7,-0.098,2.98E-01,,,
GRM8,0.009,9.14E-01,,,
GRN,0.150,2.56E-01,,,
GRP,-0.037,6.97E-01,,,
GRPEL1,-0.034,9.28E-01,,,
GRPEL2,-0.033,5.44E-01,,,
GRSF1,-0.061,6.90E-01,,,
GRTP1,-0.046,6.27E-01,,,
GRWD1,0.060,6.98E-01,,,
GSAP,-0.087,4.03E-01,,,
GSDMA,0.014,7.67E-01,,,
GSDMB,0.006,8.09E-01,,,
GSDMC,-0.044,7.26E-01,,,
GSDMD,0.032,8.72E-01,,,
GSE1,0.121,2.26E-01,,,
GSG1,0.061,5.94E-01,,,
GSG1L,0.067,7.13E-01,,,
GSK3A,-0.015,9.41E-01,,,
GSK3B,-0.085,4.34E-01,,,
GSKIP,-0.078,4.76E-01,,,
GSN,0.188,2.73E-01,,,
GSN-AS1,0.177,1.76E-01,,,
GSPT1,-0.006,8.39E-01,,,
GSPT2,-0.001,8.97E-01,,,
GSR,-0.068,4.09E-01,,,
GSS,-0.072,4.74E-01,,,
GSTA10P,0.004,5.44E-01,,,
GSTA12P,-0.052,6.66E-01,,,
GSTA4,-0.088,2.61E-01,,,
GSTA8P,-0.023,7.74E-01,,,
GSTA9P,-0.001,9.36E-01,,,
GSTCD,-0.073,3.17E-01,,,
GSTK1,-0.001,8.13E-01,,,
GSTM1,0.329,6.42E-01,,,
GSTM2,0.017,9.10E-01,,,
GSTM3,-0.072,7.47E-01,,,
GSTM3P2,-0.092,3.76E-01,,,
GSTM4,0.006,8.36E-01,,,
GSTM5,-0.120,6.96E-01,,,
GSTO1,0.003,9.26E-01,,,
GSTO2,-0.148,1.85E-01,,,
GSTP1,0.109,6.28E-01,,,
GSTT2B,0.276,3.70E-01,,,
GSTZ1,0.009,9.28E-01,,,
GTDC1,-0.032,8.36E-01,,,
GTF2A1,-0.184,1.52E-01,,,
GTF2A2,-0.015,9.16E-01,,,
GTF2B,-0.074,3.36E-01,,,
GTF2E1,-0.011,9.54E-01,,,
GTF2E2,-0.030,6.50E-01,,,
GTF2F1,0.075,4.11E-01,,,
GTF2F2,-0.022,8.52E-01,,,
GTF2H1,-0.007,8.06E-01,,,
GTF2H2,0.128,8.46E-01,,,
GTF2H2B,-0.054,6.50E-01,,,
GTF2H2C,0.028,9.19E-01,,,
GTF2H3,-0.054,3.05E-01,,,
GTF2H4,0.038,4.31E-01,,,
GTF2H5,-0.090,2.53E-01,,,
GTF2I,-0.042,6.10E-01,,,
GTF2IP1,0.085,9.53E-01,,,
GTF2IRD1,0.109,3.09E-01,,,
GTF2IRD2,-0.091,5.61E-01,,,
GTF2IRD2B,0.033,9.89E-01,,,
GTF3A,0.057,5.72E-01,,,
GTF3C1,0.043,5.89E-01,,,
GTF3C2,0.028,5.83E-01,,,
GTF3C3,-0.025,7.53E-01,,,
GTF3C4,-0.014,9.97E-01,,,
GTF3C5,0.078,3.46E-01,,,
GTF3C6,-0.033,6.41E-01,,,
GTPBP1,-0.013,7.74E-01,,,
GTPBP10,-0.132,2.34E-01,,,
GTPBP2,-0.016,8.47E-01,,,
GTPBP3,0.034,8.99E-01,,,
GTPBP4,-0.023,4.29E-01,,,
GTPBP6,0.182,4.93E-01,,,
GTPBP8,-0.025,8.82E-01,,,
GUCA1B,0.077,7.19E-01,,,
GUCD1,0.027,7.22E-01,,,
GUCY1A2,-0.080,8.17E-01,,,
GUCY1A3,-0.036,9.47E-01,,,
GUCY1B3,-0.179,2.91E-01,,,
GUF1,-0.042,6.38E-01,,,
GUK1,0.153,5.52E-01,,,
GULP1,-0.130,3.86E-01,,,
GUSB,0.021,8.79E-01,,,
GUSBP1,0.092,9.41E-01,,,
GUSBP11,0.041,6.48E-01,,,
GUSBP2,0.098,6.48E-01,,,
GUSBP3,0.046,7.51E-01,,,
GUSBP4,-0.023,8.48E-01,,,
GUSBP9,0.406,4.95E-01,,,
GXYLT1,-0.016,8.72E-01,,,
GXYLT1P3,-0.176,3.11E-01,,,
GXYLT1P4,0.006,8.33E-01,,,
GXYLT1P5,0.102,5.70E-01,,,
GXYLT1P6,-0.094,6.75E-01,,,
GXYLT2,0.028,9.90E-01,,,
GYG1,-0.063,5.27E-01,,,
GYG2,0.067,8.86E-01,,,
GYG2P2,0.006,6.84E-01,,,
GYPC,0.123,5.27E-01,,,
GYPE,-0.199,2.69E-01,,,
GYS1,0.074,6.58E-01,,,
GYS2,-0.078,7.61E-01,,,
GZF1,-0.020,6.79E-01,,,
H1F0,0.074,5.10E-01,,,
H1FX,0.233,3.24E-01,,,
H2AFJ,0.054,4.31E-01,,,
H2AFV,-0.033,9.58E-01,,,
H2AFX,0.209,2.53E-01,,,
H2AFY,-0.001,7.98E-01,,,
H2AFY2,0.029,8.47E-01,,,
H2AFZ,-0.023,9.27E-01,,,
H2AFZP1,0.040,7.49E-01,,,
H2AFZP4,0.147,4.13E-01,,,
H3F3A,-0.020,1.00E+00,,,
H3F3AP2,0.013,8.87E-01,,,
H3F3AP4,-0.120,3.56E-01,,,
H3F3AP6,-0.022,9.78E-01,,,
H3F3B,-0.075,4.69E-01,,,
H6PD,0.065,6.56E-01,,,
HABP4,-0.057,3.85E-01,,,
HACD1,0.015,8.60E-01,,,
HACD2,-0.011,9.63E-01,,,
HACD3,-0.039,8.55E-01,,,
HACD4,0.008,9.99E-01,,,
HACE1,-0.161,2.34E-01,,,
HACL1,-0.087,2.40E-01,,,
HADH,-0.040,4.77E-01,,,
HADHA,-0.059,5.34E-01,,,
HADHAP1,0.044,7.75E-01,,,
HADHB,-0.074,7.03E-01,,,
HAGH,0.032,8.92E-01,,,
HAGHL,0.172,5.54E-01,,,
HAGLR,0.175,2.00E-01,,,
HAMP,-0.373,4.36E-01,,,
HAP1,0.211,2.01E-01,,,
HAPLN2,0.292,1.85E-01,,,
HAPLN4,0.163,2.81E-01,,,
HAR1A,-0.064,5.52E-01,,,
HARBI1,0.044,6.25E-01,,,
HARS,-0.032,5.40E-01,,,
HARS2,-0.028,3.86E-01,,,
HAT1,-0.013,7.98E-01,,,
HAUS1,0.028,9.89E-01,,,
HAUS1P3,-0.085,4.21E-01,,,
HAUS2,-0.025,3.82E-01,,,
HAUS3,-0.025,8.89E-01,,,
HAUS4,0.006,9.13E-01,,,
HAUS5,0.071,4.80E-01,,,
HAUS6,-0.036,6.07E-01,,,
HAUS7,0.040,9.81E-01,,,
HAVCR1P1,-0.112,4.31E-01,,,
HAVCR2,0.009,7.56E-01,,,
HAX1,-0.035,7.63E-01,,,
HBA1,0.116,8.73E-01,,,
HBA2,0.135,9.50E-01,,,
HBB,-0.089,6.57E-01,,,
HBEGF,0.017,9.76E-01,,,
HBP1,-0.052,8.42E-01,,,
HBS1L,-0.028,5.99E-01,,,
HCAR1,0.036,5.81E-01,,,
HCCS,-0.007,9.03E-01,,,
HCFC1,0.212,1.85E-01,,,
HCFC1R1,0.039,9.85E-01,,,
HCFC2,-0.021,8.72E-01,,,
HCG11,-0.051,6.22E-01,,,
HCG17,0.055,9.01E-01,,,
HCG18,-0.013,7.91E-01,,,
HCG8,-0.008,9.72E-01,,,
HCK,-0.003,9.52E-01,,,
HCLS1,0.064,5.30E-01,,,
HCN1,-0.158,3.61E-01,,,
HCN2,0.240,1.85E-01,,,
HCN3,0.071,6.31E-01,,,
HCP5,0.021,9.90E-01,,,
HCST,-0.004,9.81E-01,,,
HDAC1,0.080,5.26E-01,,,
HDAC10,0.136,3.68E-01,,,
HDAC11,0.133,1.98E-01,,,
HDAC1P2,-0.023,9.57E-01,,,
HDAC2,0.017,6.60E-01,,,
HDAC3,-0.021,5.26E-01,,,
HDAC4,0.102,1.94E-01,,,
HDAC5,0.052,8.08E-01,,,
HDAC6,0.047,6.02E-01,,,
HDAC7,0.110,3.76E-01,,,
HDAC8,-0.047,8.11E-01,,,
HDAC9,-0.159,1.40E-01,,,
HDDC2,-0.053,5.52E-01,,,
HDDC3,-0.022,7.90E-01,,,
HDGF,0.045,4.69E-01,,,
HDGFRP2,0.166,2.12E-01,,,
HDGFRP3,-0.046,4.10E-01,,,
HDHD1,0.010,6.58E-01,,,
HDHD1P1,-0.034,7.24E-01,,,
HDHD2,-0.038,6.05E-01,,,
HDHD3,0.078,3.79E-01,,,
HDLBP,0.019,7.61E-01,,,
HDX,0.004,8.49E-01,,,
HEATR1,-0.011,8.22E-01,,,
HEATR3,-0.063,3.83E-01,,,
HEATR4,-0.002,9.89E-01,,,
HEATR5A,0.097,3.07E-01,,,
HEATR5B,-0.033,9.03E-01,,,
HEATR6,0.030,6.15E-01,,,
HEBP1,0.030,9.16E-01,,,
HEBP2,0.018,9.34E-01,,,
HECA,-0.038,9.70E-01,,,
HECTD1,-0.012,9.29E-01,,,
HECTD2,-0.151,1.52E-01,,,
HECTD2-AS1,-0.034,9.47E-01,,,
HECTD3,0.069,1.52E-01,,,
HECTD4,0.059,4.49E-01,,,
HECW1,-0.127,4.35E-01,,,
HECW2,-0.046,5.83E-01,,,
HEG1,0.073,7.02E-01,,,
HEIH,-0.039,7.62E-01,,,
HELB,0.057,2.95E-01,,,
HELLS,-0.040,2.51E-01,,,
HELQ,-0.027,9.31E-01,,,
HELZ,-0.026,9.10E-01,,,
HEMK1,0.001,7.59E-01,,,
HENMT1,-0.063,7.44E-01,,,
HEPACAM,-0.015,8.62E-01,,,
HEPH,-0.082,6.07E-01,,,
HEPN1,0.016,9.89E-01,,,
HERC1,-0.073,2.53E-01,,,
HERC2,0.027,7.38E-01,,,
HERC2P2,0.143,5.61E-01,,,
HERC2P3,-0.046,8.94E-01,,,
HERC2P4,-0.039,9.56E-01,,,
HERC2P5,-0.061,4.74E-01,,,
HERC2P7,-0.025,6.63E-01,,,
HERC2P8,-0.030,9.57E-01,,,
HERC2P9,0.055,8.47E-01,,,
HERC3,-0.092,6.19E-01,,,
HERC4,-0.034,6.58E-01,,,
HERC5,-0.012,9.46E-01,,,
HERC6,-0.015,9.15E-01,,,
HERPUD1,-0.072,5.26E-01,,,
HERPUD2,-0.034,6.61E-01,,,
HES1,-0.036,8.42E-01,,,
HES5,0.065,9.00E-01,,,
HES6,0.219,4.66E-01,,,
HEXA,-0.026,5.98E-01,,,
HEXB,-0.052,5.89E-01,,,
HEXDC,0.205,1.94E-01,,,
HEXIM1,0.031,7.49E-01,,,
HEXIM2,0.063,6.46E-01,,,
HEY1,-0.097,2.26E-01,,,
HEY2,-0.026,6.84E-01,,,
HFE,-0.035,4.75E-01,,,
HFM1,-0.112,3.37E-01,,,
HGF,0.106,9.85E-01,,,
HGH1,0.136,4.07E-01,,,
HGS,0.129,3.52E-01,,,
HGSNAT,-0.061,6.59E-01,,,
HHAT,-0.001,7.12E-01,,,
HHATL,0.085,6.09E-01,,,
HHEX,-0.013,7.46E-01,,,
HHIP,0.093,6.23E-01,,,
HHIP-AS1,0.017,9.58E-01,,,
HHIPL1,0.044,5.37E-01,,,
HHLA2,0.012,9.14E-01,,,
HHLA3,-0.056,6.76E-01,,,
HIAT1,-0.065,4.64E-01,,,
HIATL1,-0.033,5.80E-01,,,
HIBADH,-0.051,7.99E-01,,,
HIBCH,-0.027,5.60E-01,,,
HIC2,-0.021,9.09E-01,,,
HID1,0.103,2.67E-01,,,
HIF1A,-0.070,3.67E-01,,,
HIF1A-AS2,0.005,9.48E-01,,,
HIF1AN,0.007,7.81E-01,,,
HIF3A,0.092,3.56E-01,,,
HIGD1A,-0.110,3.51E-01,,,
HIGD1AP7,0.190,3.37E-01,,,
HIGD1AP8,0.094,9.61E-01,,,
HIGD1B,0.110,5.72E-01,,,
HIGD1C,0.074,4.64E-01,,,
HIGD2A,0.111,3.42E-01,,,
HILPDA,-0.021,9.66E-01,,,
HILS1,0.046,3.72E-01,,,
HINFP,-0.010,9.23E-01,,,
HINT1,-0.020,8.37E-01,,,
HINT1P2,0.087,9.77E-01,,,
HINT2,0.014,9.42E-01,,,
HINT2P1,0.085,5.39E-01,,,
HINT3,-0.045,5.40E-01,,,
HIP1,0.105,3.19E-01,,,
HIP1R,0.158,2.99E-01,,,
HIPK1,0.003,7.26E-01,,,
HIPK1-AS1,-0.020,9.70E-01,,,
HIPK2,0.202,2.63E-01,,,
HIPK3,-0.061,3.91E-01,,,
HIPK4,0.110,8.02E-01,,,
HIRA,0.041,7.70E-01,,,
HIRIP3,0.078,4.93E-01,,,
HIST1H1A,0.065,8.58E-01,,,
HIST1H1B,-0.051,7.37E-01,,,
HIST1H1C,0.074,5.18E-01,,,
HIST1H1D,-0.044,8.56E-01,,,
HIST1H1E,0.235,2.08E-01,,,
HIST1H2AC,0.145,3.66E-01,,,
HIST1H2AD,-0.104,6.80E-01,,,
HIST1H2AE,-0.003,9.79E-01,,,
HIST1H2AG,0.015,9.30E-01,,,
HIST1H2AH,-0.039,9.89E-01,,,
HIST1H2BB,0.023,9.20E-01,,,
HIST1H2BC,0.044,8.21E-01,,,
HIST1H2BD,0.123,2.69E-01,,,
HIST1H2BE,0.118,5.84E-01,,,
HIST1H2BF,-0.003,8.13E-01,,,
HIST1H2BG,-0.050,7.64E-01,,,
HIST1H2BH,-0.009,6.48E-01,,,
HIST1H2BJ,0.137,2.38E-01,,,
HIST1H2BK,0.105,5.33E-01,,,
HIST1H2BL,0.154,2.91E-01,,,
HIST1H2BM,-0.061,9.72E-01,,,
HIST1H2BN,-0.061,7.38E-01,,,
HIST1H3A,0.134,5.69E-01,,,
HIST1H3D,0.042,7.68E-01,,,
HIST1H3H,0.162,4.79E-01,,,
HIST1H4A,-0.126,7.13E-01,,,
HIST1H4B,-0.106,8.51E-01,,,
HIST1H4C,-0.081,8.69E-01,,,
HIST1H4D,-0.072,8.33E-01,,,
HIST1H4E,-0.020,7.49E-01,,,
HIST1H4F,-0.094,8.86E-01,,,
HIST1H4H,0.044,6.67E-01,,,
HIST1H4I,0.026,9.90E-01,,,
HIST1H4J,-0.293,8.17E-01,,,
HIST1H4K,0.583,3.76E-01,,,
HIST2H2AA3,0.247,3.76E-01,,,
HIST2H2AA4,0.247,3.76E-01,,,
HIST2H2AB,-0.075,6.51E-01,,,
HIST2H2AC,0.048,9.24E-01,,,
HIST2H2BB,0.093,7.04E-01,,,
HIST2H2BD,0.378,2.00E-01,,,
HIST2H2BE,0.116,2.08E-01,,,
HIST2H2BF,0.083,4.65E-01,,,
HIST2H3A,0.262,2.04E-01,,,
HIST2H3C,0.262,2.04E-01,,,
HIST2H3D,0.226,4.22E-01,,,
HIST2H4A,0.200,3.14E-01,,,
HIST2H4B,0.200,3.14E-01,,,
HIST3H2A,0.382,2.44E-01,,,
HIST3H2BB,0.104,4.44E-01,,,
HIST4H4,0.179,3.28E-01,,,
HIVEP1,-0.008,9.90E-01,,,
HIVEP2,-0.134,3.16E-01,,,
HIVEP3,0.081,4.64E-01,,,
HK1,-0.032,8.24E-01,,,
HK2,0.063,5.11E-01,,,
HKR1,-0.035,4.75E-01,,,
HLA-A,0.115,7.94E-01,,,
HLA-B,-0.036,6.23E-01,,,
HLA-C,0.146,6.90E-01,,,
HLA-DMA,0.131,6.00E-01,,,
HLA-DMB,0.067,8.11E-01,,,
HLA-DOA,0.067,8.37E-01,,,
HLA-DPA1,0.161,5.51E-01,,,
HLA-DPB1,0.107,5.90E-01,,,
HLA-DQA1,0.201,7.10E-01,,,
HLA-DQA2,0.163,2.32E-01,,,
HLA-DQB1,0.326,3.71E-01,,,
HLA-DRA,0.132,7.78E-01,,,
HLA-DRB1,0.091,9.14E-01,,,
HLA-DRB5,0.270,5.40E-01,,,
HLA-DRB6,0.070,6.61E-01,,,
HLA-E,-0.095,4.28E-01,,,
HLA-F,0.035,7.52E-01,,,
HLA-H,-0.022,9.85E-01,,,
HLA-L,0.019,9.63E-01,,,
HLA-N,0.038,6.86E-01,,,
HLCS,-0.002,9.06E-01,,,
HLF,-0.050,8.64E-01,,,
HLTF,-0.041,6.17E-01,,,
HM13,0.041,5.87E-01,,,
HMBOX1,0.018,7.61E-01,,,
HMBS,0.122,2.68E-01,,,
HMCES,-0.031,5.74E-01,,,
HMG20A,-0.027,8.88E-01,,,
HMG20B,0.185,1.93E-01,,,
HMGA1,0.153,2.62E-01,,,
HMGA1P2,0.017,5.55E-01,,,
HMGA2,0.069,7.60E-01,,,
HMGB1,-0.068,3.15E-01,,,
HMGB1P10,0.025,7.73E-01,,,
HMGB1P14,-0.035,9.20E-01,,,
HMGB1P21,0.167,3.81E-01,,,
HMGB1P23,0.180,2.01E-01,,,
HMGB1P24,-0.027,7.48E-01,,,
HMGB1P28,0.043,7.91E-01,,,
HMGB1P29,0.015,9.69E-01,,,
HMGB1P3,-0.051,6.67E-01,,,
HMGB1P31,0.140,3.38E-01,,,
HMGB1P35,-0.042,7.85E-01,,,
HMGB1P39,0.098,5.84E-01,,,
HMGB1P41,0.063,7.08E-01,,,
HMGB1P48,0.010,9.53E-01,,,
HMGB1P5,0.054,9.54E-01,,,
HMGB1P6,-0.052,4.64E-01,,,
HMGB1P8,-0.019,9.81E-01,,,
HMGB2,-0.140,2.32E-01,,,
HMGB3,-0.133,2.34E-01,,,
HMGB3P1,-0.017,8.00E-01,,,
HMGB3P14,-0.017,6.52E-01,,,
HMGB3P22,0.039,6.42E-01,,,
HMGB3P29,-0.013,7.72E-01,,,
HMGB3P3,-0.040,9.58E-01,,,
HMGB3P4,0.049,6.64E-01,,,
HMGB3P7,-0.088,5.60E-01,,,
HMGB3P9,-0.136,3.67E-01,,,
HMGCL,-0.087,3.07E-01,,,
HMGCLL1,-0.122,2.86E-01,,,
HMGCR,-0.025,9.62E-01,,,
HMGCS1,-0.023,8.57E-01,,,
HMGN1,-0.062,4.37E-01,,,
HMGN1P1,0.041,9.06E-01,,,
HMGN1P15,0.118,9.18E-01,,,
HMGN1P24,0.026,9.93E-01,,,
HMGN1P29,0.062,8.32E-01,,,
HMGN1P3,0.091,6.74E-01,,,
HMGN1P32,-0.051,8.39E-01,,,
HMGN1P34,0.027,8.69E-01,,,
HMGN1P36,0.132,8.83E-01,,,
HMGN1P5,0.063,6.93E-01,,,
HMGN1P7,-0.004,8.89E-01,,,
HMGN1P8,0.099,8.38E-01,,,
HMGN2,-0.125,3.32E-01,,,
HMGN2P15,-0.021,9.69E-01,,,
HMGN2P18,0.011,8.34E-01,,,
HMGN2P20,-0.025,8.39E-01,,,
HMGN2P28,-0.103,6.18E-01,,,
HMGN2P3,-0.129,4.78E-01,,,
HMGN2P35,0.276,2.01E-01,,,
HMGN2P37,0.078,4.84E-01,,,
HMGN2P38,0.029,8.88E-01,,,
HMGN2P41,-0.104,4.73E-01,,,
HMGN2P45,-0.084,8.15E-01,,,
HMGN2P5,0.015,6.35E-01,,,
HMGN3,-0.100,2.40E-01,,,
HMGN4,-0.089,2.46E-01,,,
HMGN5,-0.004,8.85E-01,,,
HMGXB3,0.050,6.27E-01,,,
HMGXB4,-0.064,4.44E-01,,,
HMHA1,0.147,1.55E-01,,,
HMOX1,0.063,8.61E-01,,,
HMOX2,0.064,4.75E-01,,,
HMP19,-0.191,2.78E-01,,,
HMSD,0.141,3.02E-01,,,
HN1,-0.030,5.55E-01,,,
HN1L,0.172,2.05E-01,,,
HNF1A-AS1,-0.024,7.92E-01,,,
HNMT,-0.062,5.73E-01,,,
HNRNPA0,-0.044,4.11E-01,,,
HNRNPA1,-0.021,9.31E-01,,,
HNRNPA1L2,-0.031,6.48E-01,,,
HNRNPA1P11,-0.184,5.51E-01,,,
HNRNPA1P14,0.036,5.15E-01,,,
HNRNPA1P17,-0.060,5.02E-01,,,
HNRNPA1P18,-0.054,6.81E-01,,,
HNRNPA1P32,-0.060,6.97E-01,,,
HNRNPA1P35,0.045,3.14E-01,,,
HNRNPA1P4,-0.021,7.17E-01,,,
HNRNPA1P42,-0.059,9.99E-01,,,
HNRNPA1P61,-0.030,7.61E-01,,,
HNRNPA1P7,-0.087,8.46E-01,,,
HNRNPA2B1,0.031,9.28E-01,,,
HNRNPA3,-0.055,5.38E-01,,,
HNRNPA3P16,-0.064,7.25E-01,,,
HNRNPA3P2,-0.018,7.25E-01,,,
HNRNPAB,0.071,5.91E-01,,,
HNRNPC,-0.042,8.04E-01,,,
HNRNPCP1,-0.025,9.42E-01,,,
HNRNPCP3,-0.085,8.40E-01,,,
HNRNPCP6,-0.011,9.88E-01,,,
HNRNPCP7,-0.002,5.43E-01,,,
HNRNPCP8,-0.030,7.09E-01,,,
HNRNPD,-0.014,7.16E-01,,,
HNRNPDL,-0.006,9.31E-01,,,
HNRNPDLP4,-0.108,6.20E-01,,,
HNRNPF,0.056,8.27E-01,,,
HNRNPH1,0.064,4.88E-01,,,
HNRNPH2,-0.101,3.54E-01,,,
HNRNPH3,0.008,9.15E-01,,,
HNRNPK,-0.042,4.33E-01,,,
HNRNPL,-0.044,3.36E-01,,,
HNRNPLL,-0.051,5.32E-01,,,
HNRNPM,0.062,5.33E-01,,,
HNRNPR,-0.012,8.24E-01,,,
HNRNPRP1,0.008,4.64E-01,,,
HNRNPRP3,-0.042,9.12E-01,,,
HNRNPU,-0.014,5.73E-01,,,
HNRNPU-AS1,-0.080,3.94E-01,,,
HNRNPUL1,0.032,7.61E-01,,,
HNRNPUL2,-0.081,3.89E-01,,,
HNRNPUL2-BSCL2,0.099,5.72E-01,,,
HOGA1,-0.002,8.50E-01,,,
HOMER1,-0.127,2.52E-01,,,
HOMER2,-0.039,2.61E-01,,,
HOMER3,0.237,1.85E-01,,,
HOMEZ,0.093,1.82E-01,,,
HOOK1,-0.140,2.31E-01,,,
HOOK2,0.092,3.91E-01,,,
HOOK3,-0.080,2.09E-01,,,
HOPX,-0.164,4.33E-01,,,
HOXD1,0.074,3.61E-01,,,
HP09025,0.043,4.30E-01,,,
HP1BP3,0.040,4.32E-01,,,
HPCA,-0.165,3.60E-01,,,
HPCAL1,-0.018,9.13E-01,,,
HPCAL4,-0.138,4.51E-01,,,
HPGDS,0.081,6.62E-01,,,
HPN,0.144,1.85E-01,,,
HPN-AS1,0.035,5.19E-01,,,
HPR,-0.125,6.53E-01,,,
HPRT1,-0.176,2.61E-01,,,
HPS1,0.113,2.34E-01,,,
HPS3,-0.035,9.24E-01,,,
HPS4,0.006,7.91E-01,,,
HPS5,-0.001,9.81E-01,,,
HPS6,0.023,7.68E-01,,,
HPSE,-0.013,7.25E-01,,,
HPSE2,0.054,8.19E-01,,,
HR,0.122,6.84E-01,,,
HRAS,0.117,6.69E-01,,,
HRASLS,-0.054,7.70E-01,,,
HRASLS5,-0.084,3.18E-01,,,
HRH1,-0.024,4.75E-01,,,
HRH2,0.035,8.77E-01,,,
HRH3,0.157,2.26E-01,,,
HRK,0.000,9.28E-01,,,
HRNR,0.053,7.57E-01,,,
HRSP12,-0.250,1.85E-01,,,
HS1BP3,0.078,4.94E-01,,,
HS2ST1,-0.088,2.50E-01,,,
HS3ST1,0.052,7.80E-01,,,
HS3ST2,0.137,7.25E-01,,,
HS3ST4,0.036,7.75E-01,,,
HS3ST5,0.089,4.84E-01,,,
HS6ST1,0.121,3.09E-01,,,
HS6ST2,-0.028,8.72E-01,,,
HS6ST3,-0.135,5.96E-01,,,
HSBP1,-0.056,5.79E-01,,,
HSBP1L1,-0.001,7.63E-01,,,
HSCB,0.031,9.79E-01,,,
HSD11B1,0.177,3.23E-01,,,
HSD11B1L,0.005,8.00E-01,,,
HSD17B1,0.021,8.17E-01,,,
HSD17B10,0.021,9.56E-01,,,
HSD17B11,-0.083,6.50E-01,,,
HSD17B12,-0.145,1.85E-01,,,
HSD17B13,-0.004,9.30E-01,,,
HSD17B14,0.047,8.91E-01,,,
HSD17B1P1,0.052,2.77E-01,,,
HSD17B3,0.019,9.16E-01,,,
HSD17B4,-0.045,8.38E-01,,,
HSD17B6,-0.169,2.99E-01,,,
HSD17B7,0.084,3.87E-01,,,
HSD17B7P2,0.020,9.90E-01,,,
