Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
ACTBP3,0.017,7.83E-01,,,
ACTBP4,0.032,5.58E-01,,,
ACTBP7,0.061,6.35E-01,,,
ACTG1,-0.029,5.49E-01,,,
ACTG1P12,-0.035,5.06E-01,,,
ACTG1P17,-0.086,4.64E-01,,,
ACTG1P18,-0.074,8.80E-01,,,
ACTG1P20,-0.075,3.15E-01,,,
ACTG1P3,0.070,5.46E-01,,,
ACTG1P4,-0.065,6.57E-01,,,
ACTL6A,0.046,7.44E-01,,,
ACTL6B,-0.093,6.54E-01,,,
ACTN1,0.025,8.47E-01,,,
ACTN2,-0.030,4.74E-01,,,
ACTN4,0.124,2.82E-01,,,
ACTR10,-0.101,2.39E-01,,,
ACTR1A,-0.006,9.31E-01,,,
ACTR1B,-0.050,5.40E-01,,,
ACTR2,-0.202,2.07E-01,,,
ACTR3,-0.049,4.77E-01,,,
ACTR3B,-0.040,5.84E-01,,,
ACTR3C,-0.009,8.05E-01,,,
ACTR5,0.044,6.10E-01,,,
ACTR6,-0.103,4.41E-01,,,
ACTR8,-0.014,8.21E-01,,,
ACVR1,-0.035,8.56E-01,,,
ACVR1B,-0.033,8.52E-01,,,
ACVR1C,-0.063,8.75E-01,,,
ACVR2A,-0.068,3.82E-01,,,
ACVR2B,-0.033,8.82E-01,,,
ACVRL1,0.114,6.88E-01,,,
ACY1,-0.059,9.93E-01,,,
ACY3,0.178,2.53E-01,,,
ACYP1,-0.302,2.35E-01,,,
ACYP2,-0.016,8.11E-01,,,
ADA,0.138,6.34E-01,,,
ADAL,-0.116,2.05E-01,,,
ADAM10,0.014,8.40E-01,,,
ADAM11,0.041,9.90E-01,,,
ADAM15,0.080,6.97E-01,,,
ADAM17,-0.041,4.03E-01,,,
ADAM19,0.031,8.39E-01,,,
ADAM1A,-0.036,8.54E-01,,,
ADAM20,-0.102,5.77E-01,,,
ADAM20P1,-0.131,2.53E-01,,,
ADAM21,-0.090,8.06E-01,,,
ADAM22,-0.109,7.05E-01,,,
ADAM23,-0.155,4.26E-01,,,
ADAM28,-0.028,8.79E-01,,,
ADAM32,-0.066,2.77E-01,,,
ADAM33,0.071,5.45E-01,,,
ADAM9,-0.057,4.07E-01,,,
ADAMTS1,-0.074,6.34E-01,,,
ADAMTS10,0.157,2.71E-01,,,
ADAMTS13,0.093,5.21E-01,,,
ADAMTS14,0.065,8.20E-01,,,
ADAMTS16,0.055,9.52E-01,,,
ADAMTS18,-0.078,9.51E-01,,,
ADAMTS19,0.050,5.42E-01,,,
ADAMTS2,0.132,1.85E-01,,,
ADAMTS3,-0.167,1.75E-01,,,
ADAMTS4,0.094,6.01E-01,,,
ADAMTS6,-0.076,2.34E-01,,,
ADAMTS8,0.045,8.94E-01,,,
ADAMTS9,-0.128,7.61E-01,,,
ADAMTS9-AS2,-0.026,9.70E-01,,,
ADAMTSL2,0.153,2.70E-01,,,
ADAMTSL3,0.119,1.98E-01,,,
ADAP1,0.198,2.52E-01,,,
ADAP2,0.066,6.80E-01,,,
ADAR,-0.017,9.32E-01,,,
ADARB1,-0.052,7.94E-01,,,
ADARB2,-0.016,8.38E-01,,,
ADARB2-AS1,0.089,2.77E-01,,,
ADAT1,-0.004,8.03E-01,,,
ADAT2,-0.036,2.79E-01,,,
ADCK1,-0.034,7.75E-01,,,
ADCK2,0.064,6.37E-01,,,
ADCK3,0.064,4.37E-01,,,
ADCK4,0.160,2.53E-01,,,
ADCK5,0.154,2.94E-01,,,
ADCY1,-0.003,9.90E-01,,,
ADCY10P1,-0.006,9.83E-01,,,
ADCY2,-0.076,4.25E-01,,,
ADCY3,0.070,4.95E-01,,,
ADCY5,0.114,2.01E-01,,,
ADCY6,0.048,6.08E-01,,,
ADCY7,0.058,7.39E-01,,,
ADCY8,-0.019,4.59E-01,,,
ADCY9,0.089,2.91E-01,,,
ADCYAP1,-0.282,1.55E-01,,,
ADCYAP1R1,0.064,5.04E-01,,,
ADD1,-0.020,9.46E-01,,,
ADD2,-0.196,2.59E-01,,,
ADD3,-0.022,9.72E-01,,,
ADGRA1,0.099,6.58E-01,,,
ADGRA2,0.106,3.05E-01,,,
ADGRA3,-0.014,9.64E-01,,,
ADGRB1,0.192,4.49E-01,,,
ADGRB2,0.167,4.45E-01,,,
ADGRB3,-0.096,1.40E-01,,,
ADGRD1,0.070,7.26E-01,,,
ADGRE2,-0.015,9.93E-01,,,
ADGRE5,0.104,4.85E-01,,,
ADGRF5,-0.022,7.59E-01,,,
ADGRF5P1,-0.217,9.26E-01,,,
ADGRG1,0.156,2.93E-01,,,
ADGRL1,0.246,1.93E-01,,,
ADGRL2,-0.099,4.60E-01,,,
ADGRL3,-0.046,4.19E-01,,,
ADGRL4,-0.040,8.88E-01,,,
ADGRV1,-0.023,8.66E-01,,,
ADH1B,-0.126,7.23E-01,,,
ADH5,-0.109,2.19E-01,,,
ADH5P3,0.001,6.97E-01,,,
ADHFE1,-0.064,7.21E-01,,,
ADI1,-0.048,8.42E-01,,,
ADIPOR1,-0.017,9.00E-01,,,
ADIPOR2,0.037,5.90E-01,,,
ADIRF,-0.061,7.78E-01,,,
ADK,-0.060,4.74E-01,,,
ADM,0.097,8.04E-01,,,
ADNP,-0.037,6.48E-01,,,
ADNP-AS1,-0.016,7.67E-01,,,
ADNP2,-0.030,4.63E-01,,,
ADO,-0.018,7.89E-01,,,
ADORA1,0.156,2.01E-01,,,
ADORA2B,-0.041,8.18E-01,,,
ADORA3,0.186,2.01E-01,,,
ADPGK,-0.019,8.13E-01,,,
ADPRHL1,0.069,3.97E-01,,,
ADPRHL2,0.076,6.11E-01,,,
ADPRM,-0.137,2.34E-01,,,
ADRA1A,0.008,6.01E-01,,,
ADRA1B,-0.011,8.35E-01,,,
ADRA1D,-0.056,5.00E-01,,,
ADRB1,0.075,5.05E-01,,,
ADRB2,0.089,4.41E-01,,,
ADRBK1,0.057,5.26E-01,,,
ADRBK2,-0.037,9.21E-01,,,
ADRM1,0.172,2.98E-01,,,
ADSL,0.039,9.50E-01,,,
ADSS,-0.003,9.27E-01,,,
ADSSL1,0.045,8.61E-01,,,
ADTRP,-0.144,1.55E-01,,,
AEBP1,0.124,5.36E-01,,,
AEBP2,-0.093,3.43E-01,,,
AEN,0.135,3.55E-01,,,
AES,0.059,5.90E-01,,,
AFAP1,-0.014,5.71E-01,,,
AFAP1L1,0.006,8.75E-01,,,
AFAP1L2,0.027,9.09E-01,,,
AFF1,0.011,7.48E-01,,,
AFF2,-0.133,4.25E-01,,,
AFF3,-0.036,9.44E-01,,,
AFF4,-0.063,5.08E-01,,,
AFG3L1P,0.091,5.44E-01,,,
AFG3L2,-0.012,9.04E-01,,,
AFG3L2P1,-0.019,9.31E-01,,,
AFMID,0.009,7.91E-01,,,
AFTPH,-0.030,9.48E-01,,,
AGA,0.044,9.33E-01,,,
AGAP1,0.052,2.31E-01,,,
AGAP1-IT1,0.074,4.19E-01,,,
AGAP2,0.092,6.39E-01,,,
AGAP3,0.156,2.33E-01,,,
AGAP4,0.072,6.81E-01,,,
AGAP5,0.070,4.32E-01,,,
AGAP6,0.019,9.12E-01,,,
AGAP7P,-0.085,6.57E-01,,,
AGAP9,-0.043,9.67E-01,,,
AGBL3,-0.106,3.82E-01,,,
AGBL4,-0.205,1.55E-01,,,
AGBL5,0.007,5.72E-01,,,
AGFG1,-0.056,6.00E-01,,,
AGFG2,0.120,2.34E-01,,,
AGGF1,-0.092,1.64E-01,,,
AGK,-0.078,3.62E-01,,,
AGKP1,-0.170,8.21E-01,,,
AGL,-0.126,2.56E-01,,,
AGMAT,0.033,5.91E-01,,,
AGMO,0.026,9.65E-01,,,
AGO1,0.023,6.01E-01,,,
AGO2,0.054,5.11E-01,,,
AGO3,-0.013,8.59E-01,,,
AGO4,-0.042,6.97E-01,,,
AGPAT1,0.002,9.77E-01,,,
AGPAT2,0.122,6.97E-01,,,
AGPAT3,0.048,4.79E-01,,,
AGPAT4,0.034,8.59E-01,,,
AGPAT4-IT1,0.069,6.95E-01,,,
AGPAT5,-0.058,3.94E-01,,,
AGPAT6,0.011,8.00E-01,,,
AGPAT9,0.016,9.59E-01,,,
AGPS,-0.014,9.57E-01,,,
AGRN,0.265,2.91E-01,,,
AGT,-0.113,5.79E-01,,,
AGTPBP1,0.007,9.97E-01,,,
AGTRAP,0.029,8.61E-01,,,
AHCTF1,-0.007,9.06E-01,,,
AHCY,0.067,3.07E-01,,,
AHCYL1,-0.200,1.98E-01,,,
AHCYL2,-0.031,9.30E-01,,,
AHDC1,0.192,3.11E-01,,,
AHI1,-0.095,3.99E-01,,,
AHNAK,-0.002,8.85E-01,,,
AHNAK2,0.070,8.84E-01,,,
AHR,-0.005,8.34E-01,,,
AHSA1,0.096,4.78E-01,,,
AHSA2,0.045,8.22E-01,,,
AIDA,-0.069,8.47E-01,,,
AIF1,-0.021,9.56E-01,,,
AIF1L,0.227,2.53E-01,,,
AIFM1,0.013,9.06E-01,,,
AIFM2,-0.040,7.71E-01,,,
AIFM3,0.193,2.70E-01,,,
AIG1,-0.102,3.14E-01,,,
AIMP1,-0.065,3.53E-01,,,
AIMP1P1,-0.067,4.88E-01,,,
AIMP2,0.047,9.80E-01,,,
AIP,0.128,2.01E-01,,,
AIPL1,0.035,9.84E-01,,,
AJAP1,0.034,7.35E-01,,,
AK1,0.009,9.31E-01,,,
AK2,0.056,4.69E-01,,,
AK3,-0.138,2.00E-01,,,
AK3P2,0.029,8.88E-01,,,
AK3P3,-0.015,8.18E-01,,,
AK3P5,0.010,4.14E-01,,,
AK3P6,-0.035,7.76E-01,,,
AK4,0.044,6.28E-01,,,
AK4P1,0.095,8.58E-01,,,
AK5,-0.030,7.82E-01,,,
AK6,-0.005,9.79E-01,,,
AK7,-0.021,6.35E-01,,,
AK9,0.016,5.79E-01,,,
AKAP1,0.006,6.92E-01,,,
AKAP10,-0.030,8.05E-01,,,
AKAP11,-0.067,6.07E-01,,,
AKAP12,0.009,7.02E-01,,,
AKAP13,-0.004,9.31E-01,,,
AKAP17A,0.048,9.61E-01,,,
AKAP2,-0.109,5.40E-01,,,
AKAP5,-0.120,3.43E-01,,,
AKAP6,-0.021,8.11E-01,,,
AKAP7,-0.045,5.78E-01,,,
AKAP8,0.009,8.13E-01,,,
AKAP8L,0.015,8.87E-01,,,
AKAP9,-0.047,6.58E-01,,,
AKIP1,-0.008,8.46E-01,,,
AKIRIN1,0.000,8.05E-01,,,
AKIRIN2,-0.013,9.66E-01,,,
AKNA,0.082,2.59E-01,,,
AKR1A1,-0.024,7.42E-01,,,
AKR1B1,0.034,5.02E-01,,,
AKR1B15,0.003,7.26E-01,,,
AKR1B1P6,-0.001,7.47E-01,,,
AKR1C1,-0.033,9.88E-01,,,
AKR1C2,0.044,7.68E-01,,,
AKR1C3,-0.053,8.65E-01,,,
AKR1E2,-0.094,7.42E-01,,,
AKR7A2,0.012,9.70E-01,,,
AKR7A2P1,-0.013,8.81E-01,,,
AKR7A3,0.113,4.60E-01,,,
AKT1,0.071,5.61E-01,,,
AKT1S1,0.151,2.02E-01,,,
AKT2,0.063,2.91E-01,,,
AKT3,-0.065,4.83E-01,,,
AKTIP,-0.045,6.99E-01,,,
ALAD,0.090,1.98E-01,,,
ALAS1,0.013,9.79E-01,,,
ALCAM,-0.035,9.98E-01,,,
ALDH18A1,0.000,9.31E-01,,,
ALDH1A1,-0.190,2.45E-01,,,
ALDH1A2,-0.002,8.13E-01,,,
ALDH1A3,-0.051,7.59E-01,,,
ALDH1B1,0.056,3.38E-01,,,
ALDH1L1,-0.090,6.83E-01,,,
ALDH1L2,-0.065,5.79E-01,,,
ALDH2,-0.120,3.63E-01,,,
ALDH3A2,-0.003,7.73E-01,,,
ALDH3B1,0.015,9.94E-01,,,
ALDH4A1,-0.030,9.60E-01,,,
ALDH5A1,-0.118,1.85E-01,,,
ALDH6A1,-0.097,5.42E-01,,,
ALDH7A1,-0.172,3.05E-01,,,
ALDH7A1P1,0.003,8.06E-01,,,
ALDH8A1,-0.066,7.96E-01,,,
ALDH9A1,-0.111,2.59E-01,,,
ALDOA,-0.048,7.24E-01,,,
ALDOB,0.057,6.20E-01,,,
ALDOC,-0.074,5.53E-01,,,
ALG1,-0.014,8.89E-01,,,
ALG10,-0.089,4.34E-01,,,
ALG10B,-0.109,2.55E-01,,,
ALG11,-0.002,8.65E-01,,,
ALG12,0.136,2.01E-01,,,
ALG13,-0.076,2.98E-01,,,
ALG14,-0.023,5.33E-01,,,
ALG1L12P,-0.014,7.51E-01,,,
ALG1L6P,0.033,7.17E-01,,,
ALG1L7P,-0.036,8.34E-01,,,
ALG1L8P,0.025,6.71E-01,,,
ALG1L9P,-0.047,5.90E-01,,,
ALG2,-0.056,5.24E-01,,,
ALG3,0.104,2.83E-01,,,
ALG5,0.044,9.52E-01,,,
ALG6,-0.066,2.51E-01,,,
ALG8,-0.022,8.54E-01,,,
ALG9,-0.023,7.49E-01,,,
ALKBH1,0.032,6.08E-01,,,
ALKBH2,0.059,6.55E-01,,,
ALKBH3,0.065,7.69E-01,,,
ALKBH4,0.085,3.04E-01,,,
ALKBH5,0.069,2.81E-01,,,
ALKBH6,0.089,8.06E-01,,,
ALKBH7,0.161,4.59E-01,,,
ALKBH8,-0.038,7.04E-01,,,
ALMS1,0.003,9.89E-01,,,
ALMS1-IT1,-0.059,4.85E-01,,,
ALMS1P,-0.010,8.67E-01,,,
ALOX12-AS1,0.082,4.87E-01,,,
ALOX12P1,-0.030,9.14E-01,,,
ALOX12P2,0.047,3.54E-01,,,
ALOX5,0.062,4.97E-01,,,
ALOX5AP,0.134,4.71E-01,,,
ALPK1,-0.016,7.44E-01,,,
ALPL,-0.008,9.07E-01,,,
ALS2,-0.086,4.77E-01,,,
ALS2CL,0.006,9.24E-01,,,
ALS2CR11,-0.071,4.97E-01,,,
ALS2CR12,-0.006,8.91E-01,,,
ALYREF,0.078,8.67E-01,,,
AMACR,-0.181,5.33E-01,,,
AMBRA1,0.017,8.93E-01,,,
AMD1,0.009,7.80E-01,,,
AMDHD2,0.164,6.57E-01,,,
AMER1,0.014,6.58E-01,,,
AMER2,0.018,7.02E-01,,,
AMER3,0.036,7.49E-01,,,
AMFR,-0.011,8.42E-01,,,
AMIGO1,-0.050,6.94E-01,,,
AMIGO2,-0.116,1.83E-01,,,
AMIGO3,0.171,2.33E-01,,,
AMMECR1,-0.040,5.10E-01,,,
AMMECR1L,0.016,7.31E-01,,,
AMMECR1LP1,-0.035,9.77E-01,,,
AMN1,-0.067,5.66E-01,,,
AMOT,0.036,6.63E-01,,,
AMOTL1,-0.026,3.18E-01,,,
AMOTL2,0.151,2.46E-01,,,
AMPD2,0.080,3.62E-01,,,
AMPD3,0.017,5.51E-01,,,
AMPH,-0.089,8.39E-01,,,
AMT,0.021,7.82E-01,,,
AMY2B,-0.105,3.64E-01,,,
AMZ1,0.108,4.95E-01,,,
AMZ2,-0.058,3.97E-01,,,
AMZ2P1,-0.044,3.76E-01,,,
ANAPC1,-0.026,6.36E-01,,,
ANAPC10,-0.071,4.22E-01,,,
ANAPC11,0.092,7.47E-01,,,
ANAPC13,-0.037,5.26E-01,,,
ANAPC15,-0.021,6.92E-01,,,
ANAPC16,-0.009,9.90E-01,,,
ANAPC2,0.125,3.63E-01,,,
ANAPC4,-0.066,3.74E-01,,,
ANAPC5,0.002,8.86E-01,,,
ANAPC7,0.007,9.20E-01,,,
ANGEL1,0.001,8.60E-01,,,
ANGEL2,-0.055,7.71E-01,,,
ANGPT1,0.016,8.16E-01,,,
ANGPT2,0.027,9.67E-01,,,
ANGPTL1,-0.049,7.68E-01,,,
ANGPTL2,0.093,2.31E-01,,,
ANGPTL4,-0.116,7.61E-01,,,
ANK1,0.063,7.60E-01,,,
ANK2,-0.143,3.69E-01,,,
ANK3,-0.081,6.24E-01,,,
ANKAR,-0.007,6.74E-01,,,
ANKDD1A,-0.071,4.64E-01,,,
ANKFN1,0.006,9.89E-01,,,
ANKFY1,0.037,5.06E-01,,,
ANKH,0.053,2.91E-01,,,
ANKHD1,-0.009,5.90E-01,,,
ANKHD1-EIF4EBP3,-0.013,9.00E-01,,,
ANKIB1,-0.005,9.33E-01,,,
ANKLE1,0.007,7.68E-01,,,
ANKLE2,0.020,9.91E-01,,,
ANKMY1,-0.027,6.52E-01,,,
ANKMY2,-0.044,6.24E-01,,,
ANKRA2,-0.062,4.64E-01,,,
ANKRD10,-0.026,7.14E-01,,,
ANKRD11,0.133,2.19E-01,,,
ANKRD12,0.006,9.41E-01,,,
ANKRD13A,-0.012,9.30E-01,,,
ANKRD13B,0.173,1.83E-01,,,
ANKRD13C,-0.076,4.35E-01,,,
ANKRD13D,0.163,1.85E-01,,,
ANKRD16,-0.004,9.79E-01,,,
ANKRD17,-0.044,8.67E-01,,,
ANKRD18A,0.154,4.85E-01,,,
ANKRD18B,-0.055,9.08E-01,,,
ANKRD19P,-0.072,2.79E-01,,,
ANKRD20A1,-0.054,8.69E-01,,,
ANKRD20A16P,-0.184,3.22E-01,,,
ANKRD20A17P,-0.180,3.35E-01,,,
ANKRD20A18P,-0.100,5.79E-01,,,
ANKRD20A19P,-0.054,4.17E-01,,,
ANKRD20A2,-0.123,4.35E-01,,,
ANKRD20A20P,-0.097,5.70E-01,,,
ANKRD20A3,0.021,9.97E-01,,,
ANKRD20A4,0.307,4.09E-01,,,
ANKRD20A5P,-0.026,9.48E-01,,,
ANKRD20A6P,0.095,8.49E-01,,,
ANKRD20A7P,0.018,8.19E-01,,,
ANKRD20A8P,-0.032,8.01E-01,,,
ANKRD20A9P,-0.094,4.37E-01,,,
ANKRD23,0.114,2.46E-01,,,
ANKRD24,0.052,9.97E-01,,,
ANKRD26,-0.053,5.70E-01,,,
ANKRD26P3,0.044,9.82E-01,,,
