gene,hugo,logFC,AveExpr,t,P.Value,adj.P.Val,B,se,chr,N
ENSG00000284610,AC107918.4,-0.548127022,1.753172535,-2.061849034,0.048166347,0.149731308,-4.354647157,0.265842461,8,39
ENSG00000135540,NHSL1,0.208119117,5.291399117,2.061611472,0.04819048,0.149779346,-4.765511582,0.100949728,6,39
ENSG00000131781,FMO5,-0.265242097,2.619222786,-2.060853307,0.048260635,0.149958488,-4.481647794,0.128704986,1,39
ENSG00000120690,ELF1,0.536594699,4.32590306,2.060873663,0.048265499,0.149958488,-4.731848111,0.260372438,13,39
ENSG00000171992,SYNPO,-0.340656068,7.854694352,-2.060517093,0.048301791,0.15001723,-4.731525853,0.165325524,5,39
ENSG00000104290,FZD3,-0.294596544,7.008101882,-2.060517078,0.048301792,0.15001723,-4.744075077,0.142972144,8,39
ENSG00000118096,IFT46,0.137488308,4.189916864,2.059725295,0.048356075,0.150158797,-4.724291734,0.066750799,11,39
ENSG00000145555,MYO10,0.348524889,7.61704935,2.059631007,0.048392082,0.15024357,-4.759513868,0.16921715,5,39
ENSG00000198963,RORB,-0.323131459,6.866855526,-2.059378707,0.048417818,0.15028389,-4.744963431,0.156907254,9,39
ENSG00000102119,EMD,-0.217820746,3.220252232,-2.059140566,0.048422486,0.15028389,-4.589926592,0.105782359,X,39
ENSG00000125355,TMEM255A,0.308675491,2.646864706,2.059212461,0.048434783,0.150295022,-4.479142657,0.149899778,X,39
ENSG00000138606,SHF,-0.20369803,3.961223314,-2.058636298,0.048476208,0.150396519,-4.677352263,0.098948042,15,39
ENSG00000184939,ZFP90,-0.116828427,5.425287207,-2.058321086,0.048499419,0.15041687,-4.770372705,0.056759088,16,39
ENSG00000278175,GLIDR,-0.36164575,1.926964428,-2.058571886,0.048500201,0.15041687,-4.358263203,0.17567798,9,39
ENSG00000134308,YWHAQ,-0.150201732,7.602110494,-2.057956029,0.048536746,0.150503162,-4.72819115,0.07298588,2,39
ENSG00000105617,LENG1,0.28436788,2.112548672,2.05785052,0.048555696,0.150534871,-4.375478329,0.13818685,19,39
ENSG00000116604,MEF2D,-0.257871583,6.271907078,-2.05754721,0.048605006,0.150660676,-4.797881205,0.125329607,1,39
ENSG00000217555,CKLF,0.289066809,1.722063042,2.057187881,0.048617653,0.150672812,-4.318711379,0.140515512,16,39
ENSG00000102606,ARHGEF7,-0.217510098,6.895886715,-2.056731986,0.048688531,0.150858539,-4.778377269,0.105755198,13,39
ENSG00000113845,TIMMDC1,0.162817082,4.885343268,2.056410417,0.048695066,0.150858539,-4.768490975,0.079175383,3,39
ENSG00000277161,PIGW,-0.396678349,1.38606416,-2.056156959,0.048747523,0.150993942,-4.258954623,0.192922212,17,39
ENSG00000162430,SELENON,0.283649126,5.576049022,2.055972066,0.048766504,0.151025627,-4.804512181,0.137963512,1,39
ENSG00000279722,AC007342.7,-0.252223671,2.000022835,-2.055562017,0.048782163,0.151047013,-4.324560126,0.122703022,16,39
ENSG00000156218,ADAMTSL3,0.407231422,3.286752903,2.05560402,0.048804308,0.151056723,-4.612226296,0.198107913,15,39
ENSG00000042980,ADAM28,0.301190417,2.497589665,2.055428206,0.048816035,0.151056723,-4.386724931,0.146534146,8,39
ENSG00000130368,MAS1,-0.734023273,2.971634337,-2.055355446,0.048829855,0.151056723,-4.607514697,0.35712717,6,39
ENSG00000170571,EMB,-0.344307376,3.154812908,-2.055270198,0.048838618,0.151056723,-4.590206327,0.167524142,5,39
ENSG00000279129,AC046158.3,0.539466464,0.859972858,2.055231942,0.048842552,0.151056723,-4.191756305,0.262484468,16,39
ENSG00000261286,ATP2C2-AS1,-0.531370111,0.006969641,-2.05519565,0.048846283,0.151056723,-4.036046364,0.258549648,16,39
ENSG00000226419,SLC16A1-AS1,-0.287004534,3.137771595,-2.055192804,0.048846576,0.151056723,-4.516503745,0.139648472,1,39
ENSG00000262001,DLGAP1-AS2,-0.465213446,2.68389258,-2.054748266,0.048892306,0.151145622,-4.508728498,0.226408974,18,39
ENSG00000213719,CLIC1,0.61604071,4.003255268,2.054743068,0.048892841,0.151145622,-4.670440077,0.299813986,6,39
ENSG00000161791,FMNL3,0.31084962,5.883078669,2.054614222,0.048906103,0.151159539,-4.805832473,0.151293424,12,39
ENSG00000022277,RTF2,0.142020868,6.054917119,2.054137069,0.048928757,0.151180712,-4.800422254,0.069138944,20,39
ENSG00000188818,ZDHHC11,0.533255101,3.045155233,2.054349464,0.048933363,0.151180712,-4.528985838,0.259573705,5,39
ENSG00000235823,OLMALINC,0.256795082,4.393218929,2.054208028,0.048947931,0.151180712,-4.668714854,0.125009287,10,39
ENSG00000164638,SLC29A4,0.302591231,4.389869722,2.054207391,0.048947997,0.151180712,-4.728263534,0.147303156,7,39
ENSG00000279019,AC009090.4,-0.535153212,1.311692581,-2.054071091,0.04896204,0.151197022,-4.259092391,0.260532956,16,39
ENSG00000135414,GDF11,0.41412834,5.643859791,2.05372217,0.048998005,0.151281013,-4.819811147,0.201647694,12,39
ENSG00000184271,POU6F1,-0.243184841,5.408497383,-2.053448085,0.049026273,0.151341211,-4.794013078,0.118427557,12,39
ENSG00000240291,AL450384.2,-0.363054052,0.745981164,-2.053035111,0.049053364,0.151356218,-4.196143402,0.176837722,10,39
ENSG00000183401,CCDC159,-0.232369049,2.714192789,-2.052898599,0.049056483,0.151356218,-4.478604236,0.11319071,19,39
ENSG00000183230,CTNNA3,-0.648831145,6.172459711,-2.053096689,0.049062536,0.151356218,-4.804289093,0.316025615,10,39
ENSG00000146592,CREB5,-0.413196076,4.688183897,-2.053016288,0.049070836,0.151356218,-4.737343533,0.201262931,7,39
ENSG00000175573,C11orf68,-0.208367516,4.18449707,-2.052818528,0.049074991,0.151356218,-4.667894035,0.101503135,11,39
ENSG00000223768,LINC00205,-0.526040497,1.922975103,-2.052741303,0.049099234,0.151403928,-4.409632715,0.256262441,21,39
ENSG00000174460,ZCCHC12,-0.552247751,4.254156293,-2.052505959,0.04912355,0.151451844,-4.722158968,0.269060242,X,39
ENSG00000243156,MICAL3,-0.140008061,7.185148264,-2.051161127,0.049236168,0.15173872,-4.757002656,0.068257953,22,39
ENSG00000182580,EPHB3,0.237111379,2.921489441,2.050977442,0.04926391,0.15173872,-4.546665954,0.115608965,3,39
ENSG00000086570,FAT2,-0.47406739,2.133414759,-2.051127555,0.04926618,0.15173872,-4.416423557,0.23112526,5,39
ENSG00000111647,UHRF1BP1L,-0.200497809,6.034898424,-2.05108385,0.049270708,0.15173872,-4.798690143,0.097752127,12,39
ENSG00000118976,OTUD4P1,-0.389266566,0.062030236,-2.050808161,0.049272742,0.15173872,-4.074396221,0.189811302,12,39
ENSG00000182774,RPS17,0.14422983,6.497001694,2.050772816,0.049276405,0.15173872,-4.802964125,0.070329502,15,39
ENSG00000266904,LINC00663,0.291519018,2.295180601,2.05091665,0.049278152,0.15173872,-4.397096949,0.142140841,19,39
ENSG00000160410,SHKBP1,0.359241625,2.816206074,2.050691694,0.049311356,0.151813874,-4.51949665,0.175180709,19,39
ENSG00000133884,DPF2,0.189789843,4.878562156,2.050386881,0.049329999,0.151844179,-4.772470896,0.092562943,11,39
ENSG00000117597,UTP25,-0.143129287,4.433467942,-2.049773872,0.049380051,0.15194021,-4.691599379,0.069826867,1,39
ENSG00000255717,SNHG1,0.320460359,3.032299919,2.049933315,0.049390049,0.15194021,-4.544198952,0.156327212,11,39
ENSG00000171132,PRKCE,-0.421449713,6.580830805,-2.049899026,0.049393609,0.15194021,-4.803772321,0.205595353,2,39
ENSG00000154783,FGD5,0.363288963,3.504433474,2.049871984,0.049396417,0.15194021,-4.608767541,0.177225196,3,39
ENSG00000280106,AC008555.8,0.283576248,0.186906243,2.049216365,0.049437979,0.152040948,-4.116444038,0.138382776,19,39
ENSG00000129480,DTD2,-0.126934847,3.983808612,-2.048923157,0.049468468,0.152085937,-4.626820971,0.06195198,14,39
ENSG00000262919,CCNQ,-0.21563117,3.921430045,-2.049154134,0.049470234,0.152085937,-4.728635596,0.105229356,X,39
ENSG00000231187,AL356056.2,-0.414822227,2.467649052,-2.048953554,0.049491876,0.152093859,-4.472822428,0.202455652,10,39
ENSG00000111843,TMEM14C,0.216342501,4.72442235,2.048916461,0.049495735,0.152093859,-4.78938159,0.105588737,6,39
ENSG00000128242,GAL3ST1,-0.495473592,2.129857996,-2.048882644,0.049499253,0.152093859,-4.419225648,0.241826243,22,39
ENSG00000232928,DDX3P1,-0.564513084,1.203896391,-2.048640106,0.049524492,0.152144319,-4.281813928,0.275555029,X,39
ENSG00000163702,IL17RC,-0.194466852,4.066390102,-2.048295342,0.049535302,0.15215044,-4.667201631,0.094940826,3,39
ENSG00000010318,PHF7,-0.400545892,1.903873115,-2.048428682,0.049546503,0.152157761,-4.323540289,0.195538119,3,39
ENSG00000180747,SMG1P3,-0.339729193,6.892898217,-2.047770522,0.049615077,0.152338609,-4.722011144,0.165901984,16,39
ENSG00000167670,CHAF1A,-0.379185511,2.712295392,-2.047662551,0.049626334,0.152338609,-4.508861049,0.185179687,19,39
ENSG00000109158,GABRA4,-0.490632887,6.612373385,-2.047584727,0.04963445,0.152338609,-4.801609058,0.239615426,4,39
ENSG00000166479,TMX3,-0.172793051,5.631373123,-2.04730725,0.049640705,0.152338609,-4.799791745,0.084400156,18,39
ENSG00000151276,MAGI1,-0.226193036,6.180906373,-2.047205598,0.049674003,0.152413692,-4.800830069,0.110488676,3,39
ENSG00000075336,TIMM21,0.222240946,4.0878964,2.04679477,0.049716895,0.152515605,-4.739541832,0.108579985,18,39
ENSG00000153902,LGI4,0.362748638,5.699468947,2.046718175,0.049724895,0.152515605,-4.829251709,0.177234288,19,39
ENSG00000177156,TALDO1,-0.208587299,5.321004964,-2.046582666,0.049739052,0.152531914,-4.77379159,0.101919802,11,39
ENSG00000093010,COMT,0.226099832,5.438251524,2.046428463,0.049755166,0.152554219,-4.810064429,0.11048509,22,39
ENSG00000154813,DPH3,0.234803721,4.648048521,2.04610804,0.049788664,0.152581367,-4.783232641,0.114756267,3,39
ENSG00000099341,PSMD8,-0.222054771,5.49408585,-2.046094594,0.049790071,0.152581367,-4.820121783,0.108526151,19,39
ENSG00000164707,SLC13A4,1.092892248,2.201935282,2.045963152,0.049803818,0.152581367,-4.434582116,0.534170054,7,39
ENSG00000240038,AMY2B,-0.198432222,5.135621947,-2.045847604,0.04980702,0.152581367,-4.754511898,0.09699267,1,39
ENSG00000184785,SMIM10,0.322760359,1.687397764,2.045605313,0.049817047,0.152581367,-4.251412089,0.157782323,X,39
ENSG00000107874,CUEDC2,-0.163498354,4.598742131,-2.045582038,0.049817073,0.152581367,-4.768909246,0.079927547,10,39
ENSG00000198523,PLN,0.48636235,1.049626048,2.045576286,0.0498443,0.152634583,-4.205424871,0.237762998,6,39
ENSG00000180008,SOCS4,0.17323424,6.020920444,2.045312279,0.049852139,0.152634583,-4.818142328,0.084698186,14,39
ENSG00000267632,AC067852.3,-0.493594948,1.705949543,-2.04513605,0.049890402,0.152724638,-4.343376209,0.241350666,17,39
ENSG00000177301,KCNA2,-0.432093967,7.628347841,-2.044739316,0.049931981,0.152824808,-4.78741344,0.211319831,1,39
ENSG00000196639,HRH1,0.426210531,3.987883221,2.044544772,0.049952381,0.152834243,-4.724674949,0.208462313,3,39
ENSG00000273344,PAXIP1-AS1,-0.285867291,2.756110081,-2.04454099,0.049952778,0.152834243,-4.546604995,0.13981979,7,39
ENSG00000241404,EGFL8,0.430226763,2.31933872,2.044240035,0.04998435,0.152884141,-4.425913238,0.210458046,6,39
ENSG00000139620,KANSL2,0.153647474,3.658398243,2.043962734,0.049986806,0.152884141,-4.661971497,0.075171367,12,39
ENSG00000164898,FMC1,-0.298160026,1.832255152,-2.043923163,0.05001064,0.152918201,-4.404382527,0.145876338,7,39
ENSG00000234911,TEX21P,-0.444793597,0.153100365,-2.0439417,0.050015666,0.152918201,-4.132362858,0.217615599,14,39
ENSG00000122515,ZMIZ2,-0.240909515,6.314779413,-2.043802017,0.050030334,0.15293595,-4.812325332,0.117873215,7,39
ENSG00000235641,LINC00484,0.511191259,0.088135509,2.043661729,0.050045069,0.152952488,-4.08534371,0.250134967,9,39
ENSG00000130881,LRP3,-0.175520371,7.301904818,-2.043276955,0.05006034,0.152952488,-4.769376334,0.08590141,19,39
ENSG00000177076,ACER2,0.328700607,2.541536598,2.043497394,0.050062335,0.152952488,-4.479298463,0.160851983,9,39
ENSG00000120885,CLU,0.315048085,10.98322675,2.042887533,0.050126457,0.153121284,-4.626894456,0.154217048,8,39
ENSG00000112276,BVES,0.442115572,3.096323406,2.042345347,0.050183524,0.153268475,-4.575048479,0.216474443,6,39
ENSG00000282988,AL031777.3,-0.440567265,2.579044265,-2.042121953,0.050207053,0.153313203,-4.53128095,0.215739939,6,39
ENSG00000108055,SMC3,0.197444686,5.395920942,2.041960676,0.050224046,0.153318199,-4.821965684,0.096693677,10,39
ENSG00000095303,PTGS1,0.419437313,2.226912888,2.041937779,0.050226459,0.153318199,-4.421308461,0.205411408,9,39
ENSG00000170458,CD14,0.818237916,3.719990141,2.041741378,0.050247161,0.153340288,-4.664346207,0.400754927,5,39
ENSG00000181856,SLC2A4,0.588848728,1.963220156,2.041643438,0.050257487,0.153340288,-4.403289959,0.288418985,17,39
ENSG00000159199,ATP5MC1,-0.216126851,3.729332165,-2.041474894,0.050260354,0.153340288,-4.653694552,0.105867994,17,39
ENSG00000279407,AC007191.1,0.492991627,0.766944802,2.041341294,0.050289355,0.153401646,-4.206864459,0.241503774,19,39
ENSG00000263528,IKBKE,0.49600943,1.351171666,2.040201273,0.050409756,0.153741738,-4.316051924,0.243117891,1,39
ENSG00000127463,EMC1,-0.128073097,6.271382016,-2.039693239,0.050436772,0.153780827,-4.790530824,0.062790372,1,39
ENSG00000100075,SLC25A1,0.322204122,4.172464922,2.039911539,0.050440396,0.153780827,-4.751947944,0.157950046,22,39
ENSG00000183715,OPCML,-0.356678599,6.569869921,-2.039627056,0.050470497,0.153845416,-4.766778717,0.17487442,11,39
ENSG00000204311,PJVK,-0.368935825,0.120853098,-2.039208735,0.05048806,0.153871769,-4.11360097,0.180921069,2,39
ENSG00000139289,PHLDA1,-0.217708289,5.449439948,-2.039246509,0.050510787,0.153913852,-4.813478687,0.106759182,12,39
ENSG00000188785,ZNF548,-0.142382066,4.092985526,-2.038722628,0.050539563,0.153947869,-4.714310119,0.069838861,19,39
ENSG00000119900,OGFRL1,0.297947845,8.529365993,2.038972703,0.050539794,0.153947869,-4.740498872,0.146126451,6,39
ENSG00000176454,LPCAT4,-0.300513559,4.278948622,-2.038805196,0.050557546,0.153974764,-4.757282342,0.147396897,15,39
ENSG00000275052,PPP4R3B,0.131751754,6.62761118,2.03825658,0.050588984,0.154043321,-4.781819691,0.064639435,2,39
ENSG00000198883,PNMA5,-0.465129177,2.923207855,-2.038114537,0.050630801,0.154143455,-4.54292971,0.228215426,X,39
ENSG00000125449,ARMC7,0.151725494,2.173947937,2.037716659,0.050646292,0.154163417,-4.33652849,0.074458583,17,39
ENSG00000107104,KANK1,0.288292308,6.633612435,2.037383793,0.050708409,0.154325275,-4.826337409,0.141501228,9,39
ENSG00000179933,C14orf119,0.199978108,3.39981421,2.036883963,0.050736291,0.154382903,-4.657622347,0.098178449,14,39
ENSG00000262155,LINC02175,-0.311248265,1.956182768,-2.036801243,0.050759753,0.154427064,-4.360575142,0.152812291,16,39
ENSG00000034693,PEX3,-0.232348056,3.408068321,-2.036625449,0.050787018,0.154482776,-4.671719364,0.114084824,6,39
ENSG00000160445,ZER1,-0.215680797,6.985510201,-2.036331221,0.050820381,0.154557014,-4.819822576,0.105916363,9,39
ENSG00000138621,PPCDC,-0.249310136,1.839587149,-2.035556002,0.0508762,0.154655712,-4.261057578,0.12247766,15,39
ENSG00000174130,TLR6,0.518369828,2.189440811,2.035793441,0.050877674,0.154655712,-4.457254921,0.254627909,4,39
ENSG00000172375,C2CD2L,-0.196201676,5.008164395,-2.035714503,0.050879722,0.154655712,-4.798543642,0.09637976,11,39
ENSG00000196872,KIAA1211L,-0.344986896,6.525866703,-2.035604833,0.050897781,0.154683357,-4.830457653,0.169476359,2,39
ENSG00000111783,RFX4,0.545173359,5.367786227,2.035261601,0.050934389,0.154741917,-4.842075972,0.267864022,12,39
ENSG00000015676,NUDCD3,-0.155089144,7.446034715,-2.035004933,0.050934984,0.154741917,-4.787650593,0.076210697,7,39
ENSG00000122912,SLC25A16,-0.247179069,5.564653772,-2.034404557,0.051025902,0.1549765,-4.82819349,0.121499467,10,39
ENSG00000117174,ZNHIT6,0.244204395,4.891611398,2.034364698,0.051030162,0.1549765,-4.802239345,0.120039635,1,39
ENSG00000186354,C9orf47,0.429452088,0.897601638,2.034247088,0.051042732,0.154987399,-4.188160399,0.211111074,9,39
ENSG00000163704,PRRT3,-0.256655662,4.735329862,-2.033891879,0.051080714,0.15507544,-4.818846908,0.126189433,3,39
ENSG00000127337,YEATS4,-0.330921916,2.443068871,-2.033573837,0.051114743,0.155151451,-4.513841204,0.162729236,12,39
ENSG00000171016,PYGO1,0.360537606,4.780164204,2.032946538,0.051181919,0.155328031,-4.818905574,0.177347313,15,39
ENSG00000161638,ITGA5,0.589340781,3.60178786,2.032845299,0.051192767,0.155333637,-4.610070097,0.289909312,12,39
ENSG00000169567,HINT1,-0.32136383,5.638576222,-2.032314228,0.05124971,0.155435218,-4.838211704,0.158127039,5,39
ENSG00000223569,USP17L15,-0.900831976,-0.237826734,-2.032296276,0.051251635,0.155435218,-4.147683108,0.443258193,4,39
ENSG00000050030,NEXMIF,-0.32482806,5.406259406,-2.032281058,0.051253268,0.155435218,-4.825318724,0.159834221,X,39
ENSG00000279021,AC092139.2,0.595211349,0.035707302,2.032126668,0.051269833,0.155458135,-4.126038543,0.292900713,16,39
ENSG00000205302,SNX2,0.151441098,4.841344141,2.031652089,0.051293933,0.155503885,-4.721567676,0.074540862,5,39
ENSG00000182551,ADI1,0.255806979,5.074918941,2.031807884,0.051304053,0.155507243,-4.837369453,0.125901165,2,39
ENSG00000116584,ARHGEF2,-0.272169666,6.445833738,-2.031345158,0.051353759,0.155630569,-4.845336739,0.133984943,1,39
ENSG00000157890,MEGF11,-0.420356031,4.264762236,-2.031174713,0.051372079,0.155658751,-4.795432006,0.206952178,15,39
ENSG00000115257,PCSK4,-0.37786775,1.483364835,-2.030959223,0.051395248,0.155662292,-4.278992324,0.186053834,19,39
ENSG00000143155,TIPRL,-0.244402982,4.627929434,-2.030949403,0.051396304,0.155662292,-4.806961336,0.120339277,1,39
ENSG00000114547,ROPN1B,-0.527942087,0.63022934,-2.030912165,0.051400309,0.155662292,-4.189621469,0.259953185,3,39
ENSG00000160323,ADAMTS13,-0.379097463,2.831782485,-2.03073983,0.051418847,0.155691109,-4.557628538,0.186679484,9,39
ENSG00000161395,PGAP3,-0.284560017,3.576590402,-2.030042897,0.051493875,0.155890932,-4.722498874,0.140174386,17,39
ENSG00000279675,AC080100.1,-0.354094217,3.358081593,-2.02933807,0.051569851,0.156093555,-4.662835612,0.174487545,11,39
ENSG00000132688,NES,0.427840271,5.485562705,2.02905967,0.051599888,0.156157081,-4.844903373,0.210856427,1,39
ENSG00000154217,PITPNC1,0.249975272,6.828086387,2.028868277,0.051620547,0.156192207,-4.839880592,0.123209217,17,39
ENSG00000039523,RIPOR1,-0.143010037,6.040003678,-2.028161427,0.05167,0.156312817,-4.84247271,0.070512157,16,39
ENSG00000153310,FAM49B,-0.273109554,5.678378237,-2.028259504,0.051686305,0.156312817,-4.853197428,0.134652175,8,39
ENSG00000006116,CACNG3,-0.463147173,4.118287244,-2.028160404,0.051697017,0.156312817,-4.784613707,0.228358256,16,39
ENSG00000135048,CEMIP2,0.217156805,5.89268172,2.028142188,0.051698986,0.156312817,-4.821405219,0.107071785,9,39
ENSG00000137504,CREBZF,-0.206454692,5.738510885,-2.028080082,0.0517057,0.156312817,-4.867825049,0.101798097,11,39
ENSG00000187244,BCAM,0.487408079,4.33968245,2.027966777,0.051717951,0.156322467,-4.789949037,0.240343227,19,39
ENSG00000006704,GTF2IRD1,0.17778521,3.786772057,2.027522116,0.051739139,0.15635912,-4.71963767,0.087685953,7,39
ENSG00000144843,ADPRH,0.469191753,1.797990987,2.02764932,0.05175229,0.156371478,-4.376448977,0.231396893,3,39
ENSG00000164100,NDST3,-0.329986316,4.601752608,-2.02751719,0.051766588,0.156387297,-4.783384918,0.162753893,4,39
ENSG00000197530,MIB2,-0.20575321,5.870576041,-2.027355995,0.051784036,0.156404727,-4.835447761,0.101488446,1,39
ENSG00000065609,SNAP91,-0.477806103,7.120858204,-2.027195151,0.051801451,0.156404727,-4.795481622,0.235698129,6,39
ENSG00000163634,THOC7,-0.275531144,4.224351289,-2.02717047,0.051804124,0.156404727,-4.782331634,0.135919079,3,39
ENSG00000091640,SPAG7,-0.236733675,3.700999245,-2.027129022,0.051808613,0.156404727,-4.735163533,0.116782737,17,39
ENSG00000134532,SOX5,0.181365915,5.787252823,2.026266559,0.05188168,0.156597913,-4.79580382,0.089507432,12,39
ENSG00000173918,C1QTNF1,0.588661234,2.492288272,2.025580565,0.051976554,0.156856842,-4.508358255,0.290613587,17,39
ENSG00000145675,PIK3R1,-0.211063431,8.293022151,-2.025300655,0.052006964,0.156896055,-4.786153056,0.104213382,5,39
ENSG00000177374,HIC1,0.302826331,3.076892399,2.025293578,0.052007733,0.156896055,-4.566854808,0.14952219,17,39
ENSG00000235194,PPP1R3E,-0.245393139,4.551703502,-2.024710082,0.052071175,0.157059988,-4.816800638,0.121199149,14,39
ENSG00000198546,ZNF511,0.131840049,3.144617521,2.024004489,0.052121011,0.157165255,-4.642890307,0.06513822,10,39
ENSG00000139679,LPAR6,0.289694321,3.331614471,2.024222041,0.05212429,0.157165255,-4.664238788,0.143113905,13,39
ENSG00000169783,LINGO1,-0.346757245,6.136338171,-2.023563606,0.052196026,0.157342289,-4.857789687,0.171359696,15,39
ENSG00000179455,MKRN3,-0.391649238,2.069516326,-2.023515779,0.05220124,0.157342289,-4.469039114,0.193548893,15,39
ENSG00000275880,AL139385.1,0.409050328,0.397764871,2.023059308,0.052229132,0.157354852,-4.117009244,0.202193938,13,39
ENSG00000143418,CERS2,0.45747762,5.765650428,2.02319191,0.05223656,0.157354852,-4.862042519,0.22611677,1,39
ENSG00000278616,BEND3P3,0.289291716,3.358656707,2.02313868,0.052242367,0.157354852,-4.685243667,0.14299154,10,39
ENSG00000048740,CELF2,-0.276680541,7.839916038,-2.023089742,0.052247707,0.157354852,-4.806194129,0.136761378,10,39
ENSG00000148358,GPR107,0.163900548,6.513959608,2.022826127,0.052251003,0.157354852,-4.861772193,0.081025524,9,39
ENSG00000175193,PARL,-0.299414228,3.634070102,-2.02259659,0.052301539,0.15745992,-4.711558764,0.148034576,3,39
ENSG00000091129,NRCAM,-0.193956935,8.651002936,-2.022402674,0.052304141,0.15745992,-4.765690083,0.095904212,7,39
ENSG00000165730,STOX1,0.262319364,5.820443116,2.022306087,0.052333273,0.157520139,-4.864775131,0.129712988,10,39
ENSG00000105143,SLC1A6,-0.409268017,2.755948496,-2.022220875,0.052342585,0.157520691,-4.60428919,0.202385418,19,39
ENSG00000168439,STIP1,0.442158355,6.425927683,2.022054367,0.052360784,0.157547984,-4.809621491,0.218667887,11,39
ENSG00000136698,CFC1,-0.723946912,0.143216113,-2.021689282,0.052400708,0.157640622,-4.200064975,0.358090098,2,39
ENSG00000157637,SLC38A10,0.242809617,5.4106722,2.02085433,0.052492114,0.15788808,-4.837967098,0.120151964,17,39
ENSG00000164054,SHISA5,0.158583389,5.770557042,2.020419862,0.052512704,0.157922484,-4.871320008,0.078490314,3,39
ENSG00000125691,RPL23,0.160041652,6.571463059,2.020009458,0.052558912,0.158009911,-4.86854228,0.07922817,17,39
ENSG00000135446,CDK4,0.254936982,4.109962292,2.020170228,0.05256711,0.158009911,-4.790510115,0.126195792,12,39
ENSG00000253251,SHLD3,-0.315860427,0.891697442,-2.019904354,0.052569245,0.158009911,-4.235831967,0.156373952,5,39
ENSG00000173805,HAP1,0.535322836,4.180130293,2.019149831,0.052679148,0.158312675,-4.794131678,0.265122889,17,39
ENSG00000249695,AC026369.1,0.465347789,0.718568732,2.018954154,0.052700657,0.158349737,-4.179070681,0.230489527,12,39
ENSG00000173409,ARV1,-0.233478313,2.938297929,-2.018469024,0.052744414,0.158428482,-4.639877921,0.115670991,1,39
ENSG00000134278,SPIRE1,0.165897554,7.021525582,2.018302999,0.052745226,0.158428482,-4.799395624,0.082196555,18,39
ENSG00000140264,SERF2,0.15708728,6.613068453,2.01811676,0.052765727,0.158436571,-4.848168355,0.077838549,15,39
ENSG00000255082,GRM5-AS1,2.36290909,0.01776587,2.018207722,0.052782777,0.158436571,-4.240852405,1.170795783,11,39
ENSG00000182095,TNRC18,-0.190286835,7.107317548,-2.018137342,0.052783446,0.158436571,-4.844655582,0.094288348,7,39
ENSG00000197568,HHLA3,-0.470499423,0.519930969,-2.018140705,0.052790155,0.158436571,-4.22281606,0.233135094,1,39
ENSG00000187260,WDR86,-0.496276563,2.543658755,-2.018107355,0.052793827,0.158436571,-4.510630252,0.245911875,7,39
ENSG00000054116,TRAPPC3,0.185781882,4.128060093,2.01750278,0.0528403,0.158548463,-4.791608904,0.092085069,1,39
ENSG00000087076,HSD17B14,0.332231318,2.649921804,2.017161152,0.052898106,0.158694317,-4.499898897,0.164702417,19,39
ENSG00000055130,CUL1,-0.128865845,5.639852823,-2.0168089,0.052909887,0.158702071,-4.815901157,0.063895913,7,39
ENSG00000111752,PHC1,0.189896667,5.146892142,2.016668898,0.052949234,0.158792489,-4.876546042,0.094163532,12,39
ENSG00000273045,C2orf15,-0.426965837,0.532439445,-2.016403761,0.052981706,0.158862262,-4.205722759,0.211746201,2,39
ENSG00000162687,KCNT2,-0.316953609,4.531434688,-2.016255157,0.052998122,0.158883878,-4.798916245,0.157199156,1,39
ENSG00000256060,TRAPPC2B,-0.271673256,1.361093926,-2.015597452,0.053043729,0.15899298,-4.350502357,0.134785473,19,39
ENSG00000278948,AL031587.5,0.495141879,2.256071994,2.015722975,0.05305695,0.159004989,-4.494157646,0.245639845,22,39
ENSG00000122705,CLTA,-0.217643714,5.716751261,-2.015593625,0.053071257,0.159020248,-4.845521146,0.107979958,9,39
ENSG00000173221,GLRX,0.337737,3.605967649,2.015397076,0.053093003,0.159057788,-4.720053811,0.167578391,5,39
ENSG00000234906,APOC2,0.485615535,1.4490189,2.014834701,0.053155267,0.15921668,-4.333833065,0.241020037,19,39
ENSG00000254986,DPP3,0.219863486,3.326878879,2.014425344,0.053181365,0.159267205,-4.650218168,0.109144519,11,39
ENSG00000112414,ADGRG6,0.384955166,2.586590059,2.01449502,0.053192907,0.159274128,-4.533471955,0.191092637,6,39
ENSG00000276203,ANKRD20A3,-0.477557913,2.414678287,-2.014360393,0.053207831,0.159291174,-4.529580107,0.237076699,9,39
ENSG00000102181,CD99L2,-0.202722003,7.000706766,-2.014117596,0.053234756,0.159333255,-4.863282736,0.10065053,X,39
ENSG00000114686,MRPL3,-0.164890904,4.454128028,-2.013822593,0.053240354,0.159333255,-4.803181592,0.081879558,3,39
ENSG00000171084,FAM86JP,-0.654159852,0.104542611,-2.013859784,0.053263359,0.159352303,-4.164621372,0.324828897,3,39
ENSG00000065923,SLC9A7,-0.230214268,6.352850086,-2.0138433,0.053265188,0.159352303,-4.769018767,0.114315879,X,39
ENSG00000167985,SDHAF2,0.179720701,3.623794041,2.013411044,0.053286038,0.159382359,-4.722446658,0.089261804,11,39
ENSG00000186765,FSCN2,-0.5450486,0.133505815,-2.013440148,0.053309944,0.159382359,-4.15242882,0.270705142,17,39
