gene,hugo,logFC,AveExpr,t,P.Value,adj.P.Val,B,se,chr,N
ENSG00000189410,SH2D5,-0.779857793,4.958097534,-5.062041128,2.06E-05,0.001369916,2.6107326,0.154059948,1,39
ENSG00000111058,ACSS3,0.474051841,5.656233943,5.056420716,2.08E-05,0.001369916,2.641885399,0.093752452,12,39
ENSG00000213722,DDAH2,0.706111905,4.435803755,5.058782112,2.08E-05,0.001369916,2.58567509,0.139581403,6,39
ENSG00000165097,KDM1B,0.416377378,4.760406859,5.055448192,2.09E-05,0.001369916,2.564169473,0.08236211,6,39
ENSG00000138834,MAPK8IP3,-0.515400302,8.250230832,-5.054204194,2.11E-05,0.00137768,2.585991522,0.101974571,16,39
ENSG00000099814,CEP170B,-0.516906717,7.572476415,-5.050415699,2.13E-05,0.001387237,2.577549966,0.102349341,14,39
ENSG00000163683,SMIM14,-0.401002632,6.203338903,-5.042560748,2.16E-05,0.001398946,2.528921397,0.07952361,4,39
ENSG00000138413,IDH1,0.411464145,4.528396892,5.04241985,2.16E-05,0.001398946,2.556367074,0.081600532,2,39
ENSG00000139921,TMX1,0.437290116,4.65462119,5.037367519,2.20E-05,0.00140746,2.556940778,0.086809254,14,39
ENSG00000152977,ZIC1,1.322038605,3.465584352,5.039624189,2.20E-05,0.00140746,2.62978768,0.262328808,3,39
ENSG00000140382,HMG20A,-0.328664201,5.380129525,-5.036263369,2.20E-05,0.00140746,2.507615032,0.065259534,15,39
ENSG00000263013,NA,0.736323328,0.227085725,5.028202672,2.25E-05,0.001431598,2.669232812,0.146438673,NA,39
ENSG00000197956,S100A6,0.759204934,4.920462033,5.03020065,2.26E-05,0.001431598,2.479861989,0.150929354,1,39
ENSG00000151208,DLG5,0.387589722,5.893258163,5.025092575,2.27E-05,0.001432149,2.498795376,0.077130862,10,39
ENSG00000272269,AL138724.1,-0.922280389,1.451783099,-5.027443586,2.27E-05,0.001432149,2.706342958,0.183449177,6,39
ENSG00000140543,DET1,-0.365099464,2.753131367,-5.019990506,2.30E-05,0.001446032,2.641959928,0.072729114,15,39
ENSG00000242419,PCDHGC4,-0.563250171,4.471508638,-5.019875643,2.32E-05,0.001446032,2.483348096,0.112204009,5,39
