Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
CD37,0.53,4.3,8.0E-03,1.9E-02,1,0.03
CD38,-0.57,3.6,7.5E-03,1.8E-02,0,0.03
CD3E,0.83,0.6,8.2E-03,2.0E-02,1,0.05
CD3EAP,-0.09,1.8,6.5E-01,7.3E-01,0,0.00
CD4,-0.27,5.5,1.4E-01,2.1E-01,0,0.01
CD40,0.46,3.4,1.2E-03,3.8E-03,1,0.04
CD44,1.24,7.5,1.7E-09,2.6E-08,1,0.31
CD46,0.73,6.6,1.1E-10,2.3E-09,1,0.21
CD47,-0.33,6.9,1.2E-04,5.0E-04,0,0.04
CD48,0.97,1.0,4.9E-04,1.7E-03,1,0.09
CD5,-1.08,0.0,4.1E-03,1.1E-02,0,0.07
CD52,0.29,1.4,3.4E-01,4.4E-01,1,0.00
CD53,0.42,5.3,2.1E-02,4.5E-02,1,0.02
CD55,0.58,5.7,1.3E-04,5.5E-04,1,0.06
CD58,0.98,2.6,4.1E-07,3.4E-06,1,0.18
CD59,0.34,8.8,1.1E-04,4.6E-04,1,0.04
CD6,-0.20,1.0,4.7E-01,5.7E-01,0,0.00
CD63,0.22,8.5,2.1E-02,4.5E-02,1,0.01
CD69,0.90,0.7,2.4E-03,6.8E-03,1,0.06
CD7,0.53,0.4,4.9E-02,9.1E-02,1,0.02
CD72,0.04,0.7,9.4E-01,9.6E-01,1,0.00
CD74,0.10,9.3,5.6E-01,6.5E-01,1,0.00
CD79B,0.00,0.5,9.9E-01,1.0E+00,0,0.00
CD81,0.08,9.7,3.8E-01,4.8E-01,1,0.00
CD82,-0.07,6.3,6.2E-01,7.1E-01,0,0.00
CD83,-0.73,4.1,1.2E-05,6.8E-05,0,0.10
CD84,0.28,3.7,2.3E-01,3.2E-01,1,0.00
CD86,0.16,3.6,3.9E-01,4.9E-01,1,0.00
CD8A,-0.36,1.7,1.4E-01,2.1E-01,0,0.01
CD8B,0.67,-0.2,2.9E-02,5.8E-02,1,0.03
CD9,0.28,8.0,1.3E-02,3.0E-02,1,0.01
CD93,0.80,5.2,4.1E-04,1.5E-03,1,0.08
CD96,1.28,-0.5,4.1E-04,1.5E-03,1,0.12
CD97,0.03,4.7,9.1E-01,9.4E-01,1,0.00
CDA,1.20,3.3,2.0E-06,1.4E-05,1,0.19
CDADC1,-0.03,4.0,7.7E-01,8.3E-01,0,0.00
CDAN1,0.16,4.3,1.6E-01,2.4E-01,1,0.00
CDC123,-0.40,5.5,4.8E-07,3.9E-06,0,0.07
CDC14A,0.63,3.3,5.2E-04,1.8E-03,1,0.06
CDC14B,0.35,5.6,2.5E-04,9.6E-04,1,0.04
CDC16,-0.12,5.7,2.0E-01,2.9E-01,0,0.00
CDC20,-0.02,1.1,9.3E-01,9.5E-01,0,0.00
CDC23,-0.22,4.5,1.7E-02,3.8E-02,0,0.01
CDC25A,-0.03,0.9,9.2E-01,9.4E-01,0,0.00
CDC25B,0.43,5.9,1.1E-05,6.4E-05,1,0.06
CDC26,0.78,3.0,2.1E-08,2.4E-07,1,0.17
CDC27,-0.22,5.4,1.1E-02,2.6E-02,0,0.01
CDC34,-0.07,6.1,4.8E-01,5.8E-01,0,0.00
CDC37,-0.20,7.2,4.6E-02,8.5E-02,0,0.01
CDC37L1,-0.06,4.8,6.3E-01,7.1E-01,0,0.00
CDC40,-0.63,4.2,5.1E-06,3.2E-05,0,0.09
CDC42,-0.23,7.2,1.1E-03,3.4E-03,0,0.02
CDC42BPA,0.26,7.5,8.6E-03,2.1E-02,1,0.01
CDC42BPB,-0.02,8.0,8.4E-01,8.8E-01,0,0.00
CDC42BPG,1.61,0.6,3.0E-05,1.5E-04,1,0.21
CDC42EP1,0.14,7.1,2.0E-01,2.9E-01,1,0.00
CDC42EP2,0.19,5.1,2.1E-01,3.0E-01,1,0.00
CDC42EP3,0.55,4.2,5.0E-03,1.3E-02,1,0.03
CDC42EP4,0.38,8.0,4.4E-04,1.6E-03,1,0.04
CDC42EP5,0.41,0.9,1.5E-01,2.3E-01,1,0.01
CDC42SE1,0.46,6.5,4.8E-08,5.0E-07,1,0.10
CDC42SE2,-0.20,6.7,7.9E-03,1.9E-02,0,0.01
CDC45,0.87,0.3,7.8E-05,3.5E-04,1,0.10
CDC5L,-0.14,5.9,6.0E-02,1.1E-01,0,0.00
CDC6,-0.03,0.8,9.1E-01,9.4E-01,0,0.00
CDC7,-0.03,2.6,8.6E-01,9.0E-01,0,0.00
CDC73,0.39,5.1,1.1E-03,3.4E-03,1,0.03
CDCA3,0.27,1.3,1.4E-01,2.1E-01,1,0.01
CDCA4,0.33,2.1,9.8E-02,1.6E-01,1,0.01
CDCA5,-0.44,1.3,4.2E-02,7.9E-02,0,0.02
CDCA7,0.75,1.4,7.0E-03,1.7E-02,1,0.04
CDCA7L,0.33,3.0,2.8E-02,5.7E-02,1,0.01
CDCA8,0.36,0.8,3.7E-02,7.1E-02,1,0.01
CDCP1,0.01,1.4,9.4E-01,9.6E-01,1,0.00
CDH1,-0.24,2.0,4.0E-01,5.0E-01,0,0.00
CDH10,-0.99,4.3,5.8E-08,5.9E-07,0,0.21
CDH11,0.19,5.7,1.4E-01,2.1E-01,1,0.00
CDH12,-1.94,1.0,6.1E-08,6.2E-07,0,0.40
CDH13,-1.15,4.8,2.8E-07,2.4E-06,0,0.22
CDH18,-1.83,2.9,4.1E-11,1.0E-09,0,0.55
CDH19,0.71,4.7,1.9E-04,7.4E-04,1,0.07
CDH2,0.00,6.3,9.8E-01,9.9E-01,0,0.00
CDH20,0.36,6.5,1.8E-02,3.9E-02,1,0.02
CDH22,-1.19,3.7,2.3E-07,2.1E-06,0,0.22
CDH23,0.69,4.6,9.9E-04,3.2E-03,1,0.06
CDH24,-0.06,3.8,6.5E-01,7.3E-01,0,0.00
CDH26,1.23,1.1,3.2E-06,2.1E-05,1,0.19
CDH3,-0.68,1.8,4.7E-03,1.2E-02,0,0.04
CDH4,-0.28,5.6,3.1E-02,6.1E-02,0,0.01
CDH5,0.38,6.3,1.7E-02,3.8E-02,1,0.02
CDH6,0.30,4.3,9.3E-02,1.6E-01,1,0.01
CDH8,-1.49,4.7,8.0E-12,2.5E-10,0,0.48
CDH9,-2.34,1.7,1.6E-11,4.5E-10,0,0.73
CDHR1,-0.79,4.3,3.5E-05,1.7E-04,0,0.10
CDHR2,-0.93,1.8,2.5E-04,9.5E-04,0,0.09
CDHR3,-0.11,3.2,5.4E-01,6.4E-01,0,0.00
CDHR4,0.88,-0.6,1.4E-01,2.2E-01,1,0.02
CDHR5,-0.13,-0.3,7.4E-01,8.1E-01,0,0.00
CDIP1,-0.27,8.0,5.7E-03,1.4E-02,0,0.02
CDIPT,-0.34,6.7,1.5E-05,8.2E-05,0,0.05
CDK1,0.65,0.2,2.2E-02,4.7E-02,1,0.03
CDK10,0.17,5.5,1.8E-01,2.7E-01,1,0.00
CDK11A,0.88,1.8,1.3E-05,7.0E-05,1,0.12
CDK11B,0.20,5.1,8.4E-02,1.4E-01,1,0.01
CDK12,0.39,5.1,1.9E-04,7.4E-04,1,0.04
CDK13,0.32,5.5,1.9E-04,7.5E-04,1,0.03
CDK14,-1.18,5.9,5.4E-15,5.2E-13,0,0.39
CDK17,-0.26,6.2,9.3E-03,2.2E-02,0,0.01
CDK18,0.46,8.1,2.4E-03,6.8E-03,1,0.03
CDK19,0.46,7.1,8.1E-04,2.7E-03,1,0.04
CDK2,0.89,3.4,8.5E-07,6.5E-06,1,0.15
CDK20,-0.70,4.0,3.9E-07,3.2E-06,0,0.13
CDK2AP1,0.55,7.5,1.2E-07,1.1E-06,1,0.11
CDK2AP2,0.54,6.4,1.6E-04,6.6E-04,1,0.06
CDK4,0.19,4.9,2.4E-02,4.9E-02,1,0.01
CDK5,-0.95,5.5,1.4E-09,2.3E-08,0,0.24
CDK5R1,-1.38,6.8,9.2E-11,2.0E-09,0,0.40
CDK5R2,-1.55,5.2,1.4E-09,2.3E-08,0,0.40
CDK5RAP1,-0.43,4.3,2.2E-04,8.7E-04,0,0.04
CDK5RAP2,0.33,6.0,4.0E-04,1.4E-03,1,0.03
CDK5RAP3,0.05,6.3,6.1E-01,7.0E-01,1,0.00
CDK6,0.48,5.0,2.6E-03,7.4E-03,1,0.03
CDK7,-0.40,3.7,7.0E-05,3.2E-04,0,0.05
CDK8,-0.15,3.7,1.9E-01,2.8E-01,0,0.00
CDK9,0.17,6.4,5.6E-02,1.0E-01,1,0.01
CDKAL1,0.26,3.3,2.2E-02,4.7E-02,1,0.01
CDKL1,-0.10,3.0,5.0E-01,6.0E-01,0,0.00
CDKL2,-0.61,3.1,1.1E-03,3.6E-03,0,0.05
CDKL3,0.38,1.1,1.1E-01,1.8E-01,1,0.01
CDKN1A,0.72,6.6,1.7E-03,5.0E-03,1,0.06
CDKN1B,0.55,7.1,4.9E-06,3.0E-05,1,0.08
CDKN1C,0.46,6.0,6.4E-03,1.6E-02,1,0.03
CDKN2A,0.34,0.8,4.1E-01,5.1E-01,1,0.00
CDKN2AIP,0.36,4.6,4.8E-03,1.2E-02,1,0.02
CDKN2AIPNL,-0.46,4.3,4.3E-05,2.0E-04,0,0.06
CDKN2B,0.38,2.6,1.1E-01,1.7E-01,1,0.01
CDKN2C,0.85,4.5,2.2E-11,5.7E-10,1,0.26
CDKN2D,-0.56,6.1,4.4E-05,2.1E-04,0,0.07
CDKN3,-0.84,0.7,4.4E-03,1.2E-02,0,0.05
CDNF,-0.39,0.5,2.3E-01,3.2E-01,0,0.01
CDO1,-0.55,5.2,9.8E-05,4.3E-04,0,0.06
CDON,0.11,2.2,5.1E-01,6.0E-01,1,0.00
CDPF1,-0.32,3.3,3.9E-02,7.5E-02,0,0.01
CDR2,-0.16,4.3,3.4E-01,4.4E-01,0,0.00
CDR2L,0.29,6.0,2.7E-02,5.5E-02,1,0.01
CDRT15L2,-0.59,-0.1,1.8E-01,2.6E-01,0,0.01
CDS1,-1.30,4.3,3.5E-22,8.7E-19,0,0.43
CDS2,-0.39,7.8,1.8E-05,9.5E-05,0,0.05
CDT1,-0.67,1.0,6.4E-04,2.2E-03,0,0.06
CDV3,0.36,6.8,9.2E-06,5.4E-05,1,0.05
CDYL,0.29,4.7,6.3E-03,1.6E-02,1,0.02
CDYL2,0.05,5.0,6.9E-01,7.7E-01,1,0.00
CEACAM1,1.03,0.7,1.3E-02,2.9E-02,1,0.05
CEACAM19,0.78,2.6,6.7E-06,4.1E-05,1,0.11
CEACAM21,-0.28,1.0,2.8E-01,3.7E-01,0,0.00
CEBPB,0.60,5.0,2.0E-05,1.0E-04,1,0.08
CEBPD,0.96,5.1,4.3E-06,2.7E-05,1,0.15
CEBPG,0.68,5.9,1.2E-07,1.1E-06,1,0.14
CEBPZ,0.15,5.1,1.0E-01,1.7E-01,1,0.00
CECR1,-0.20,5.0,1.7E-01,2.5E-01,0,0.00
CECR2,0.29,3.9,4.3E-02,8.2E-02,1,0.01
CECR5,0.09,5.0,3.3E-01,4.3E-01,1,0.00
CECR6,-1.13,4.0,6.6E-10,1.1E-08,0,0.30
CEL,0.77,0.1,6.2E-02,1.1E-01,1,0.02
CELF1,-0.05,6.7,5.7E-01,6.6E-01,0,0.00
CELF2,-0.70,6.9,1.8E-07,1.6E-06,0,0.13
CELF3,-1.17,6.5,1.6E-08,1.9E-07,0,0.26
CELF4,-1.25,6.3,8.8E-17,1.9E-14,0,0.42
CELF5,-1.13,5.9,8.9E-08,8.6E-07,0,0.23
CELF6,-0.47,0.0,8.5E-02,1.4E-01,0,0.01
CELSR1,0.81,2.3,3.5E-04,1.3E-03,1,0.08
CELSR2,-0.29,8.6,4.2E-02,7.9E-02,0,0.01
CELSR3,-0.68,5.1,5.6E-07,4.5E-06,0,0.12
CEND1,-1.06,7.2,1.4E-09,2.3E-08,0,0.27
CENPB,0.50,8.1,2.2E-04,8.5E-04,1,0.05
CENPBD1,-0.28,2.4,1.3E-01,2.1E-01,0,0.01
CENPC,0.09,3.8,3.4E-01,4.4E-01,1,0.00
CENPE,-0.56,0.6,1.5E-02,3.4E-02,0,0.03
CENPF,-0.23,1.2,3.9E-01,4.9E-01,0,0.00
CENPH,-0.56,0.7,4.5E-02,8.5E-02,0,0.02
CENPJ,0.54,3.0,5.7E-06,3.5E-05,1,0.08
CENPL,0.18,1.8,2.5E-01,3.5E-01,1,0.00
CENPM,-0.26,-0.1,3.6E-01,4.6E-01,0,0.00
CENPN,0.34,2.5,7.0E-03,1.7E-02,1,0.02
CENPO,-0.06,3.5,5.9E-01,6.8E-01,0,0.00
CENPP,-0.12,1.8,5.3E-01,6.2E-01,0,0.00
CENPQ,0.29,3.0,1.1E-01,1.8E-01,1,0.01
CENPT,0.25,5.3,1.6E-02,3.6E-02,1,0.01
CENPV,0.13,5.0,4.6E-01,5.6E-01,1,0.00
CENPW,-1.35,0.8,3.7E-05,1.8E-04,0,0.17
CEP104,0.38,5.9,1.9E-04,7.4E-04,1,0.04
CEP112,0.80,4.1,8.7E-08,8.5E-07,1,0.16
CEP120,0.37,4.7,1.5E-03,4.6E-03,1,0.03
CEP128,0.26,1.9,1.1E-01,1.7E-01,1,0.01
CEP135,0.69,2.3,1.1E-05,6.3E-05,1,0.10
CEP152,0.82,1.6,2.7E-05,1.4E-04,1,0.11
CEP164,0.25,4.8,1.0E-02,2.4E-02,1,0.01
CEP170,0.12,6.0,2.9E-01,3.9E-01,1,0.00
CEP170B,-0.83,6.6,8.9E-10,1.5E-08,0,0.22
CEP19,0.09,3.5,5.0E-01,6.0E-01,1,0.00
CEP192,-0.08,4.5,5.4E-01,6.3E-01,0,0.00
CEP250,0.04,5.8,6.7E-01,7.5E-01,1,0.00
CEP290,-0.23,4.2,3.2E-02,6.4E-02,0,0.01
CEP350,0.37,6.3,2.7E-04,1.0E-03,1,0.04
CEP41,-0.69,4.3,2.9E-11,7.5E-10,0,0.21
CEP44,0.17,3.6,2.1E-01,3.0E-01,1,0.00
CEP57,0.03,4.5,7.4E-01,8.1E-01,1,0.00
CEP57L1,0.35,2.6,3.7E-02,7.1E-02,1,0.01
CEP63,0.31,4.9,2.1E-03,6.0E-03,1,0.02
CEP68,-0.50,5.5,6.6E-08,6.6E-07,0,0.10
CEP70,0.10,4.2,3.1E-01,4.1E-01,1,0.00
CEP72,-0.34,2.7,3.9E-02,7.4E-02,0,0.01
CEP76,0.08,2.3,5.6E-01,6.5E-01,1,0.00
CEP78,0.31,4.8,4.7E-03,1.2E-02,1,0.02
CEP85,0.10,5.0,3.0E-01,4.0E-01,1,0.00
CEP85L,0.27,3.3,4.9E-02,9.1E-02,1,0.01
CEP89,-0.16,3.8,2.1E-01,3.0E-01,0,0.00
CEP95,0.35,4.1,9.9E-05,4.3E-04,1,0.04
CEP97,0.57,5.2,3.9E-07,3.2E-06,1,0.10
CEPT1,0.54,4.4,7.9E-06,4.7E-05,1,0.08
CERCAM,0.06,8.5,7.8E-01,8.4E-01,1,0.00
CERK,0.24,6.6,1.4E-03,4.3E-03,1,0.02
CERKL,-0.34,2.0,2.4E-01,3.4E-01,0,0.01
CERS1,0.33,6.8,4.7E-03,1.2E-02,1,0.02
CERS2,0.38,7.4,1.9E-03,5.5E-03,1,0.03
CERS4,0.36,6.4,1.4E-03,4.2E-03,1,0.03
CERS5,-0.05,5.4,5.6E-01,6.6E-01,0,0.00
CERS6,-0.19,4.7,2.6E-01,3.5E-01,0,0.00
CES1,1.74,2.2,6.8E-05,3.1E-04,1,0.20
CES2,-0.61,5.7,1.2E-07,1.1E-06,0,0.12
CES3,-0.93,1.6,9.9E-06,5.7E-05,0,0.13
CES4A,-0.19,4.9,2.8E-01,3.8E-01,0,0.00
CETN3,-0.02,4.2,8.5E-01,8.9E-01,0,0.00
CETP,-0.43,0.1,1.9E-01,2.8E-01,0,0.01
CFB,0.95,4.8,7.4E-07,5.7E-06,1,0.17
CFD,0.55,1.4,1.2E-01,1.9E-01,1,0.01
CFDP1,-0.08,6.0,3.9E-01,4.9E-01,0,0.00
CFH,0.96,6.3,9.7E-08,9.3E-07,1,0.19
CFI,1.18,4.5,2.9E-14,2.1E-12,1,0.39
CFL1,-0.48,9.4,3.7E-09,5.3E-08,0,0.12
CFL2,0.11,7.0,2.9E-01,3.8E-01,1,0.00
CFLAR,0.68,6.7,2.2E-09,3.3E-08,1,0.17
CFTR,-0.67,0.4,2.3E-02,4.8E-02,0,0.03
CGGBP1,0.53,6.4,4.1E-06,2.6E-05,1,0.08
CGN,0.29,3.4,1.3E-01,2.0E-01,1,0.01
CGNL1,0.70,6.9,1.5E-06,1.1E-05,1,0.12
CGREF1,-1.20,4.8,2.0E-10,3.9E-09,0,0.34
CGRRF1,0.04,4.1,8.0E-01,8.5E-01,1,0.00
CH25H,0.64,2.4,3.8E-02,7.3E-02,1,0.02
CHAC1,-0.50,3.0,6.5E-02,1.1E-01,0,0.02
CHAC2,0.11,0.8,7.5E-01,8.2E-01,1,0.00
CHAD,-0.45,2.8,9.8E-02,1.6E-01,0,0.01
CHADL,-0.07,5.5,6.7E-01,7.5E-01,0,0.00
CHAF1A,-0.21,3.4,3.2E-01,4.2E-01,0,0.00
CHAF1B,-0.86,1.9,1.0E-04,4.4E-04,0,0.10
CHAMP1,-0.18,4.1,6.4E-02,1.1E-01,0,0.01
CHCHD1,-0.10,4.6,2.7E-01,3.7E-01,0,0.00
CHCHD10,-0.55,5.7,6.1E-09,8.2E-08,0,0.13
CHCHD2,-0.46,7.3,2.0E-06,1.4E-05,0,0.07
CHCHD3,-0.01,5.0,8.8E-01,9.2E-01,0,0.00
CHCHD4,0.20,4.1,6.4E-02,1.1E-01,1,0.01
CHCHD5,-0.27,3.7,7.5E-02,1.3E-01,0,0.01
CHCHD6,-0.92,5.2,3.1E-09,4.5E-08,0,0.22
CHCHD7,-0.41,4.6,1.7E-04,6.7E-04,0,0.04
CHD1,0.54,4.6,2.5E-07,2.1E-06,1,0.10
CHD1L,0.14,5.6,1.5E-01,2.3E-01,1,0.00
CHD2,0.31,7.0,2.8E-04,1.0E-03,1,0.03
CHD3,-0.25,7.6,5.2E-02,9.4E-02,0,0.01
CHD4,0.24,7.8,3.0E-03,8.3E-03,1,0.02
CHD5,-1.44,6.6,6.0E-18,2.2E-15,0,0.48
CHD6,0.05,6.2,6.3E-01,7.1E-01,1,0.00
CHD7,0.38,5.6,3.3E-03,9.0E-03,1,0.03
CHD8,-0.06,6.4,4.7E-01,5.7E-01,0,0.00
CHD9,0.31,5.6,1.5E-02,3.4E-02,1,0.02
CHDH,0.07,6.0,6.5E-01,7.3E-01,1,0.00
CHEK1,-0.02,2.1,9.0E-01,9.3E-01,0,0.00
CHEK2,0.62,1.6,2.8E-03,7.9E-03,1,0.04
CHERP,-0.10,5.3,2.2E-01,3.1E-01,0,0.00
CHFR,0.12,4.6,1.9E-01,2.7E-01,1,0.00
CHGA,-1.57,6.0,2.7E-06,1.8E-05,0,0.25
CHGB,-2.51,7.1,6.7E-13,3.0E-11,0,0.84
CHI3L1,-0.13,6.8,6.9E-01,7.7E-01,0,0.00
CHI3L2,-0.14,4.4,6.4E-01,7.3E-01,0,0.00
CHIC2,0.49,3.0,6.8E-04,2.3E-03,1,0.04
CHID1,-0.39,5.8,6.5E-05,3.0E-04,0,0.05
CHIT1,1.31,1.6,2.1E-02,4.4E-02,1,0.06
CHKA,0.32,5.6,2.5E-02,5.1E-02,1,0.01
CHKB,0.78,1.6,3.0E-05,1.5E-04,1,0.10
CHL1,-0.99,6.7,1.0E-11,3.0E-10,0,0.31
CHML,-0.34,2.9,1.1E-01,1.8E-01,0,0.01
CHMP1A,-0.29,6.9,9.6E-04,3.1E-03,0,0.02
CHMP1B,-0.13,5.7,6.6E-02,1.2E-01,0,0.00
CHMP2A,-0.37,6.5,5.9E-05,2.8E-04,0,0.04
CHMP2B,0.06,5.2,5.6E-01,6.6E-01,1,0.00
CHMP3,-0.04,6.1,6.8E-01,7.6E-01,0,0.00
CHMP4A,0.67,0.8,1.4E-03,4.3E-03,1,0.05
CHMP4B,-0.29,7.2,7.5E-04,2.5E-03,0,0.02
CHMP4C,1.26,1.0,1.3E-03,4.0E-03,1,0.10
CHMP5,-0.07,6.5,3.9E-01,4.9E-01,0,0.00
CHMP6,-0.57,4.0,2.1E-03,6.1E-03,0,0.04
CHMP7,-0.05,5.8,4.5E-01,5.5E-01,0,0.00
CHN1,-1.46,9.0,3.7E-15,3.9E-13,0,0.49
CHN2,0.62,6.1,8.3E-05,3.7E-04,1,0.07
CHODL,-0.51,1.6,1.2E-01,1.9E-01,0,0.01
CHORDC1,1.38,6.3,2.0E-05,1.0E-04,1,0.18
CHP1,-0.50,6.5,1.1E-09,1.7E-08,0,0.13
CHP2,0.32,-0.3,5.1E-01,6.1E-01,1,0.00
CHPF,-0.38,6.6,7.0E-04,2.4E-03,0,0.03
CHPF2,-0.05,4.9,6.7E-01,7.5E-01,0,0.00
CHPT1,0.34,6.2,8.4E-03,2.0E-02,1,0.02
CHRAC1,0.52,4.4,6.5E-04,2.2E-03,1,0.05
CHRD,-0.47,4.7,4.3E-04,1.5E-03,0,0.04
CHRM1,-1.80,5.5,2.1E-10,4.2E-09,0,0.50
CHRM2,-2.16,0.5,1.1E-08,1.3E-07,0,0.49
CHRM3,-1.88,4.0,3.0E-11,7.7E-10,0,0.57
CHRM4,-1.54,1.0,8.9E-05,3.9E-04,0,0.18
CHRM5,0.63,2.4,5.1E-01,6.0E-01,1,0.00
CHRNA1,-1.17,2.3,2.0E-02,4.3E-02,0,0.05
CHRNA10,0.60,0.4,4.1E-02,7.8E-02,1,0.02
CHRNA2,-1.72,1.1,2.1E-05,1.1E-04,0,0.23
CHRNA3,0.07,-0.6,9.0E-01,9.3E-01,1,0.00
CHRNA4,-0.68,4.8,2.9E-04,1.1E-03,0,0.07
CHRNA5,0.21,-0.4,6.5E-01,7.3E-01,1,0.00
CHRNB1,0.01,4.3,9.4E-01,9.6E-01,1,0.00
CHRNB2,-1.88,5.0,1.1E-14,9.8E-13,0,0.63
CHRNE,0.52,-0.2,2.6E-01,3.5E-01,1,0.01
CHST1,-0.92,6.4,1.3E-12,5.4E-11,0,0.31
CHST10,-0.34,5.7,4.2E-05,2.0E-04,0,0.04
CHST11,0.03,5.8,8.1E-01,8.6E-01,1,0.00
CHST12,-0.09,4.2,4.3E-01,5.3E-01,0,0.00
CHST14,0.32,3.9,8.2E-03,2.0E-02,1,0.02
CHST15,-0.06,5.4,6.2E-01,7.0E-01,0,0.00
CHST2,-0.18,5.4,7.0E-02,1.2E-01,0,0.01
CHST3,0.63,6.3,3.9E-05,1.9E-04,1,0.08
CHST5,-0.51,-0.2,1.7E-01,2.6E-01,0,0.01
CHST6,0.57,4.6,1.7E-04,6.7E-04,1,0.06
CHST8,-0.79,4.1,1.2E-03,3.7E-03,0,0.06
CHST9,0.07,2.1,8.4E-01,8.9E-01,1,0.00
CHSY1,0.61,5.6,4.8E-05,2.3E-04,1,0.07
CHSY3,-0.73,2.3,1.1E-03,3.6E-03,0,0.06
CHTF18,-0.07,2.7,6.6E-01,7.4E-01,0,0.00
CHTF8,0.02,5.8,8.5E-01,8.9E-01,1,0.00
CHTOP,0.10,6.4,1.8E-01,2.6E-01,1,0.00
CHUK,0.45,4.8,2.1E-04,8.2E-04,1,0.05
CHURC1,0.01,5.8,9.5E-01,9.6E-01,1,0.00
CIAO1,-0.30,6.3,1.5E-05,8.1E-05,0,0.04
CIAPIN1,-0.39,5.1,1.9E-06,1.3E-05,0,0.06
CIB1,-0.01,5.9,9.0E-01,9.3E-01,0,0.00
CIB2,-0.26,3.5,1.2E-01,1.9E-01,0,0.01
CIC,0.20,7.5,2.9E-02,5.8E-02,1,0.01
CIDEA,-1.31,-0.1,3.2E-03,8.8E-03,0,0.09
CIITA,0.42,3.8,3.7E-02,7.1E-02,1,0.02
CILP2,-1.39,-0.3,2.6E-04,1.0E-03,0,0.14
CINP,-0.46,5.3,8.7E-07,6.6E-06,0,0.08
CIR1,-0.24,5.4,6.1E-03,1.5E-02,0,0.01
CIRBP,-0.91,7.6,2.1E-06,1.4E-05,0,0.15
CIRH1A,-0.26,4.7,9.0E-03,2.1E-02,0,0.01
CISD1,-1.04,4.7,3.7E-19,2.9E-16,0,0.35
CISD2,0.06,5.0,5.4E-01,6.3E-01,1,0.00
CISD3,-0.07,4.9,5.3E-01,6.3E-01,0,0.00
CISH,0.11,1.7,7.4E-01,8.1E-01,1,0.00
CIT,-0.66,6.1,2.3E-06,1.6E-05,0,0.11
CITED2,0.03,3.8,8.3E-01,8.8E-01,1,0.00
CITED4,-0.05,2.7,7.5E-01,8.2E-01,0,0.00
CIZ1,0.31,7.0,1.4E-04,5.7E-04,1,0.03
CKAP2,0.10,3.3,4.4E-01,5.4E-01,1,0.00
CKAP4,-0.03,5.2,7.6E-01,8.2E-01,0,0.00
CKAP5,-0.33,7.4,1.2E-05,6.6E-05,0,0.05
CKB,-0.61,9.8,9.1E-07,6.9E-06,0,0.11
CKLF,0.39,2.8,1.2E-02,2.8E-02,1,0.02
CKM,1.94,-0.2,1.9E-03,5.7E-03,1,0.15
CKMT1A,-1.61,3.1,2.5E-09,3.7E-08,0,0.40
CKMT1B,-1.70,3.2,1.4E-10,2.9E-09,0,0.48
CKMT2,-0.30,3.5,1.1E-01,1.7E-01,0,0.01
CKS1B,0.70,3.0,1.1E-06,8.2E-06,1,0.12
CKS2,0.64,2.3,4.6E-02,8.5E-02,1,0.02
CLASP1,-0.42,6.6,3.6E-07,3.0E-06,0,0.08
CLASP2,-0.04,8.1,7.0E-01,7.8E-01,0,0.00
CLASRP,0.29,5.4,7.8E-03,1.9E-02,1,0.02
CLCA2,-0.52,0.2,5.4E-02,9.9E-02,0,0.02
CLCA4,0.71,4.3,1.3E-04,5.3E-04,1,0.08
CLCC1,-0.13,4.9,1.5E-01,2.3E-01,0,0.00
CLCF1,1.04,0.6,1.4E-03,4.3E-03,1,0.08
CLCN2,-0.11,4.1,3.7E-01,4.7E-01,0,0.00
CLCN3,-0.20,7.4,2.7E-02,5.5E-02,0,0.01
CLCN6,0.00,6.8,9.8E-01,9.9E-01,0,0.00
CLCN7,0.08,6.2,3.0E-01,4.0E-01,1,0.00
CLDN1,-0.23,1.6,4.3E-01,5.3E-01,0,0.00
CLDN10,-0.65,5.2,1.4E-04,5.7E-04,0,0.07
CLDN11,0.20,8.3,2.3E-01,3.2E-01,1,0.00
CLDN12,0.32,4.6,1.6E-02,3.4E-02,1,0.02
CLDN15,1.40,4.2,2.6E-12,9.4E-11,1,0.47
CLDN4,-0.04,0.0,9.0E-01,9.3E-01,0,0.00
CLDN5,1.09,7.7,7.6E-10,1.3E-08,1,0.29
CLDN7,0.72,-0.4,1.1E-01,1.8E-01,1,0.02
CLDN9,0.46,1.9,2.1E-01,3.0E-01,1,0.01
CLDND1,0.42,9.8,1.5E-03,4.5E-03,1,0.03
CLDND2,-0.09,1.3,6.3E-01,7.2E-01,0,0.00
CLEC10A,0.96,-0.5,4.0E-02,7.6E-02,1,0.04
CLEC11A,-0.13,2.6,3.8E-01,4.8E-01,0,0.00
CLEC14A,0.80,5.0,2.1E-05,1.1E-04,1,0.11
CLEC16A,-0.08,5.8,3.1E-01,4.1E-01,0,0.00
CLEC17A,-0.08,0.1,8.2E-01,8.7E-01,0,0.00
CLEC18B,0.36,0.7,1.7E-01,2.6E-01,1,0.01
CLEC1A,1.24,2.2,1.3E-11,3.6E-10,1,0.39
CLEC2B,1.41,3.4,7.7E-12,2.4E-10,1,0.45
CLEC2D,0.89,0.7,5.5E-04,1.9E-03,1,0.08
CLEC2L,-1.49,4.1,1.0E-11,3.1E-10,0,0.47
CLEC3B,0.00,4.1,9.8E-01,9.9E-01,0,0.00
