gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000004059|ARF5	-0.252960036	1.28389e-06	AD	Control	227
ENSG00000003056|M6PR	-0.101403678	5.81962e-06	AD	Control	227
ENSG00000173153|ESRRA	0.004526638	2.93319e-05	AD	Control	227
ENSG00000004478|FKBP4	0.040479763	2.22891e-05	AD	Control	227
ENSG00000003137|CYP26B1	-0.327173964	3.0408e-07	AD	Control	227
ENSG00000003509|NDUFAF7	-0.096210951	2.62841e-06	AD	Control	227
ENSG00000001036|FUCA2	0.021647329	2.36246e-05	AD	Control	227
ENSG00000003249|DBNDD1	-0.094771121	5.23234e-06	AD	Control	227
ENSG00000002587|HS3ST1	-0.129734517	8.67684e-06	AD	Control	227
ENSG00000001617|SEMA3F	0.462746244	5.19315e-07	AD	Control	227
ENSG00000001626|CFTR	0.262287326	1.13046e-06	AD	Control	227
ENSG00000001630|CYP51A1	-0.109967183	9.84664e-06	AD	Control	227
ENSG00000048028|USP28	0.065138305	7.83655e-06	AD	Control	227
ENSG00000001460|STPG1	-0.029985991	1.79778e-05	AD	Control	227
ENSG00000001461|NIPAL3	-0.031260933	1.94368e-05	AD	Control	227
ENSG00000002933|TMEM176A	0.082594384	1.37678e-05	AD	Control	227
ENSG00000003989|SLC7A2	0.321609912	9.01738e-07	AD	Control	227
ENSG00000004776|HSPB6	0.262951945	4.5114e-06	AD	Control	227
ENSG00000005801|ZNF195	-0.030507092	1.60667e-05	AD	Control	227
ENSG00000004799|PDK4	0.22420561	4.86558e-06	AD	Control	227
ENSG00000006606|CCL26	-0.044573428	3.06673e-05	AD	Control	227
ENSG00000006611|USH1C	-0.007699744	2.9731e-05	AD	Control	227
ENSG00000006451|RALA	-0.03590024	1.51747e-05	AD	Control	227
ENSG00000075790|BCAP29	-0.134565493	3.19445e-06	AD	Control	227
ENSG00000006453|BAIAP2L1	0.14259284	1.12927e-05	AD	Control	227
ENSG00000006116|CACNG3	-0.366873651	3.77355e-07	AD	Control	227
ENSG00000006118|TMEM132A	-0.05810171	1.52822e-05	AD	Control	227
ENSG00000004975|DVL2	0.108298039	4.0538e-06	AD	Control	227
ENSG00000006625|GGCT	-0.31220629	7.32061e-07	AD	Control	227
ENSG00000005175|RPAP3	-0.088185972	1.11746e-06	AD	Control	227
ENSG00000006652|IFRD1	0.100710717	6.50078e-06	AD	Control	227
ENSG00000007001|UPP2	0.060411097	1.69297e-05	AD	Control	227
ENSG00000007038|PRSS21	0.246942775	3.06673e-05	AD	Control	227
ENSG00000006210|CX3CL1	-0.158500837	2.21309e-06	AD	Control	227
