gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000013583|HEBP1	0.112800196	1.90624e-06	AD	Control	233
ENSG00000013563|DNASE1L1	-0.020027035	2.58307e-05	AD	Control	233
ENSG00000014919|COX15	-0.026300497	1.88406e-05	AD	Control	233
ENSG00000071203|MS4A12	-0.307516543	3.06673e-05	AD	Control	233
ENSG00000015568|RGPD5	-0.078837421	1.10434e-05	AD	Control	233
ENSG00000015532|XYLT2	0.172360767	2.00197e-06	AD	Control	233
ENSG00000068438|FTSJ1	-0.03178578	2.07175e-05	AD	Control	233
ENSG00000080293|SCTR	-0.078797893	2.02834e-05	AD	Control	233
ENSG00000017797|RALBP1	0.01854906	1.99851e-05	AD	Control	233
ENSG00000059915|PSD	-0.099596976	5.46708e-06	AD	Control	233
ENSG00000019505|SYT13	-0.18872608	3.64547e-06	AD	Control	233
ENSG00000019549|SNAI2	0.027834649	2.54653e-05	AD	Control	233
ENSG00000078668|VDAC3	-0.295634694	1.07386e-06	AD	Control	233
ENSG00000021488|SLC7A9	0.083935628	1.67218e-05	AD	Control	233
ENSG00000022355|GABRA1	-0.286105152	2.28681e-06	AD	Control	233
ENSG00000022277|RTF2	-0.056745645	1.32258e-05	AD	Control	233
ENSG00000022567|SLC45A4	-0.140717911	2.6322e-06	AD	Control	233
ENSG00000023287|RB1CC1	-0.139789016	9.34934e-07	AD	Control	233
ENSG00000023516|AKAP11	-0.093189319	7.06569e-06	AD	Control	233
ENSG00000023734|STRAP	-0.212027711	1.66518e-06	AD	Control	233
ENSG00000007541|PIGQ	0.166405036	2.40304e-06	AD	Control	233
ENSG00000079112|CDH17	0.110352217	8.59294e-06	AD	Control	233
ENSG00000026297|RNASET2	0.112423781	4.14052e-06	AD	Control	233
ENSG00000027847|B4GALT7	-0.02145689	2.39185e-05	AD	Control	233
ENSG00000029364|SLC39A9	-0.161824305	1.16726e-06	AD	Control	233
ENSG00000031003|FAM13B	-0.003109374	2.95256e-05	AD	Control	233
ENSG00000031823|RANBP3	0.196814617	1.95468e-07	AD	Control	233
ENSG00000033100|CHPF2	0.053090542	1.16248e-05	AD	Control	233
ENSG00000033122|LRRC7	-0.113313999	2.7243e-06	AD	Control	233
ENSG00000034713|GABARAPL2	-0.044843272	1.87084e-05	AD	Control	233
ENSG00000034971|MYOC	-0.276470604	3.06673e-05	AD	Control	233
ENSG00000035141|FAM136A	-0.083147886	6.27329e-06	AD	Control	233
ENSG00000035681|NSMAF	-0.070246054	1.14298e-05	AD	Control	233
ENSG00000036473|OTC	-0.156672332	3.06673e-05	AD	Control	233
ENSG00000052841|TTC17	-0.003079375	2.97571e-05	AD	Control	233
ENSG00000037965|HOXC8	-0.59678287	3.06673e-05	AD	Control	233
ENSG00000037757|MRI1	-0.028150715	2.02706e-05	AD	Control	233
ENSG00000038219|BOD1L1	0.012941119	2.57839e-05	AD	Control	233
ENSG00000059588|TARBP1	-0.244077005	1.01623e-06	AD	Control	233
ENSG00000039523|RIPOR1	0.157313331	2.17914e-06	AD	Control	233
ENSG00000039987|BEST2	0.033376144	2.30922e-05	AD	Control	233
ENSG00000040608|RTN4R	-0.029099093	2.52833e-05	AD	Control	233
ENSG00000041357|PSMA4	-0.172547452	3.49434e-06	AD	Control	233
ENSG00000042062|RIPOR3	0.174882314	6.36633e-06	AD	Control	233
ENSG00000042317|SPATA7	-0.103423106	1.86864e-06	AD	Control	233
ENSG00000042813|ZPBP	-0.056633364	3.06673e-05	AD	Control	233
ENSG00000040531|CTNS	0.15022491	3.01057e-06	AD	Control	233
ENSG00000043462|LCP2	0.208433536	1.56255e-06	AD	Control	233
ENSG00000047932|GOPC	-0.102087577	5.97791e-06	AD	Control	233
ENSG00000011465|DCN	0.143477647	6.31526e-06	AD	Control	233
ENSG00000048462|TNFRSF17	-0.038033748	3.06673e-05	AD	Control	233
ENSG00000048544|MRPS10	-0.150172082	1.3191e-06	AD	Control	233
ENSG00000048545|GUCA1A	-0.13941452	3.06673e-05	AD	Control	233
ENSG00000030582|GRN	0.256547014	4.03746e-07	AD	Control	233
ENSG00000041988|THAP3	-0.088614728	4.04319e-06	AD	Control	233
ENSG00000049245|VAMP3	0.112380555	2.49517e-06	AD	Control	233
ENSG00000049247|UTS2	-0.194283702	3.06673e-05	AD	Control	233
ENSG00000049449|RCN1	-0.141209859	3.42796e-06	AD	Control	233
ENSG00000049541|RFC2	-0.010421672	2.76103e-05	AD	Control	233
ENSG00000049769|PPP1R3F	-0.014559427	2.59594e-05	AD	Control	233
ENSG00000050030|NEXMIF	-0.040220389	2.01063e-05	AD	Control	233
ENSG00000050327|ARHGEF5	0.077172482	2.36212e-05	AD	Control	233
ENSG00000050344|NFE2L3	-0.014368676	2.8239e-05	AD	Control	233
