ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000244187,False,Frontal Lobe,Fisher_et_al
ENSG00000121753,False,Frontal Lobe,Fisher_et_al
ENSG00000172803,False,Frontal Lobe,Fisher_et_al
ENSG00000146090,False,Frontal Lobe,Fisher_et_al
ENSG00000138028,False,Frontal Lobe,Fisher_et_al
ENSG00000130822,False,Frontal Lobe,Fisher_et_al
ENSG00000104866,False,Frontal Lobe,Fisher_et_al
ENSG00000105696,False,Frontal Lobe,Fisher_et_al
ENSG00000165752,False,Frontal Lobe,Fisher_et_al
ENSG00000126500,False,Frontal Lobe,Fisher_et_al
ENSG00000169783,False,Frontal Lobe,Fisher_et_al
ENSG00000116254,False,Frontal Lobe,Fisher_et_al
ENSG00000037897,False,Frontal Lobe,Fisher_et_al
ENSG00000175711,False,Frontal Lobe,Fisher_et_al
ENSG00000128298,False,Frontal Lobe,Fisher_et_al
ENSG00000151376,False,Frontal Lobe,Fisher_et_al
ENSG00000159685,False,Frontal Lobe,Fisher_et_al
ENSG00000198931,False,Frontal Lobe,Fisher_et_al
ENSG00000189306,False,Frontal Lobe,Fisher_et_al
ENSG00000121905,False,Frontal Lobe,Fisher_et_al
ENSG00000154079,False,Frontal Lobe,Fisher_et_al
ENSG00000160963,False,Frontal Lobe,Fisher_et_al
ENSG00000183208,False,Frontal Lobe,Fisher_et_al
ENSG00000133134,False,Frontal Lobe,Fisher_et_al
ENSG00000189159,False,Frontal Lobe,Fisher_et_al
ENSG00000184220,False,Frontal Lobe,Fisher_et_al
ENSG00000204065,False,Frontal Lobe,Fisher_et_al
ENSG00000119599,False,Frontal Lobe,Fisher_et_al
ENSG00000100908,False,Frontal Lobe,Fisher_et_al
ENSG00000121769,False,Frontal Lobe,Fisher_et_al
ENSG00000129535,False,Frontal Lobe,Fisher_et_al
ENSG00000145494,False,Frontal Lobe,Fisher_et_al
ENSG00000125877,False,Frontal Lobe,Fisher_et_al
ENSG00000141522,False,Frontal Lobe,Fisher_et_al
ENSG00000113108,False,Frontal Lobe,Fisher_et_al
ENSG00000104863,False,Frontal Lobe,Fisher_et_al
ENSG00000130770,False,Frontal Lobe,Fisher_et_al
ENSG00000183828,False,Frontal Lobe,Fisher_et_al
ENSG00000130005,False,Frontal Lobe,Fisher_et_al
ENSG00000028310,False,Frontal Lobe,Fisher_et_al
ENSG00000188981,False,Frontal Lobe,Fisher_et_al
ENSG00000178057,False,Frontal Lobe,Fisher_et_al
ENSG00000177556,False,Frontal Lobe,Fisher_et_al
ENSG00000177830,False,Frontal Lobe,Fisher_et_al
ENSG00000163703,False,Frontal Lobe,Fisher_et_al
ENSG00000008283,False,Frontal Lobe,Fisher_et_al
ENSG00000111652,False,Frontal Lobe,Fisher_et_al
ENSG00000184117,False,Frontal Lobe,Fisher_et_al
ENSG00000169093,False,Frontal Lobe,Fisher_et_al
ENSG00000205138,False,Frontal Lobe,Fisher_et_al
ENSG00000142920,False,Frontal Lobe,Fisher_et_al
ENSG00000073670,False,Frontal Lobe,Fisher_et_al
ENSG00000027847,False,Frontal Lobe,Fisher_et_al
ENSG00000115041,False,Frontal Lobe,Fisher_et_al
ENSG00000067836,False,Frontal Lobe,Fisher_et_al
ENSG00000137726,False,Frontal Lobe,Fisher_et_al
ENSG00000089847,False,Frontal Lobe,Fisher_et_al
ENSG00000071889,False,Frontal Lobe,Fisher_et_al
ENSG00000104522,False,Frontal Lobe,Fisher_et_al
ENSG00000116120,False,Frontal Lobe,Fisher_et_al
ENSG00000167114,False,Frontal Lobe,Fisher_et_al
ENSG00000101220,False,Frontal Lobe,Fisher_et_al
ENSG00000182134,False,Frontal Lobe,Fisher_et_al
ENSG00000205352,False,Frontal Lobe,Fisher_et_al
ENSG00000169020,False,Frontal Lobe,Fisher_et_al
ENSG00000004059,False,Frontal Lobe,Fisher_et_al
ENSG00000247596,False,Frontal Lobe,Fisher_et_al
ENSG00000178078,False,Frontal Lobe,Fisher_et_al
ENSG00000037042,False,Frontal Lobe,Fisher_et_al
ENSG00000170791,False,Frontal Lobe,Fisher_et_al
ENSG00000160055,False,Frontal Lobe,Fisher_et_al
ENSG00000135119,False,Frontal Lobe,Fisher_et_al
ENSG00000134575,False,Frontal Lobe,Fisher_et_al
ENSG00000180155,False,Frontal Lobe,Fisher_et_al
ENSG00000205643,False,Frontal Lobe,Fisher_et_al
ENSG00000125841,False,Frontal Lobe,Fisher_et_al
ENSG00000159363,False,Frontal Lobe,Fisher_et_al
ENSG00000214087,False,Frontal Lobe,Fisher_et_al
ENSG00000101473,False,Frontal Lobe,Fisher_et_al
ENSG00000159199,False,Frontal Lobe,Fisher_et_al
ENSG00000088727,False,Frontal Lobe,Fisher_et_al
ENSG00000114631,False,Frontal Lobe,Fisher_et_al
ENSG00000121766,False,Frontal Lobe,Fisher_et_al
ENSG00000100097,False,Frontal Lobe,Fisher_et_al
ENSG00000174917,False,Frontal Lobe,Fisher_et_al
