ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000225606,True,Temporal Lobe,Cho_et_al
ENSG00000187037,True,Temporal Lobe,Cho_et_al
ENSG00000213152,True,Temporal Lobe,Cho_et_al
ENSG00000225924,True,Temporal Lobe,Cho_et_al
ENSG00000258730,True,Temporal Lobe,Cho_et_al
ENSG00000243836,True,Temporal Lobe,Cho_et_al
ENSG00000248971,True,Temporal Lobe,Cho_et_al
ENSG00000176692,True,Temporal Lobe,Cho_et_al
ENSG00000176034,True,Temporal Lobe,Cho_et_al
ENSG00000106809,True,Temporal Lobe,Cho_et_al
ENSG00000264868,True,Temporal Lobe,Cho_et_al
ENSG00000200488,True,Temporal Lobe,Cho_et_al
ENSG00000108950,True,Temporal Lobe,Cho_et_al
ENSG00000215644,True,Temporal Lobe,Cho_et_al
ENSG00000180638,True,Temporal Lobe,Cho_et_al
ENSG00000266903,True,Temporal Lobe,Cho_et_al
ENSG00000231713,True,Temporal Lobe,Cho_et_al
ENSG00000227512,True,Temporal Lobe,Cho_et_al
ENSG00000241211,True,Temporal Lobe,Cho_et_al
ENSG00000260305,True,Temporal Lobe,Cho_et_al
ENSG00000234937,True,Temporal Lobe,Cho_et_al
ENSG00000171551,True,Temporal Lobe,Cho_et_al
ENSG00000229336,True,Temporal Lobe,Cho_et_al
ENSG00000259104,True,Temporal Lobe,Cho_et_al
ENSG00000224797,True,Temporal Lobe,Cho_et_al
ENSG00000228408,True,Temporal Lobe,Cho_et_al
ENSG00000242357,True,Temporal Lobe,Cho_et_al
ENSG00000171657,True,Temporal Lobe,Cho_et_al
ENSG00000241560,True,Temporal Lobe,Cho_et_al
ENSG00000172322,True,Temporal Lobe,Cho_et_al
ENSG00000261529,True,Temporal Lobe,Cho_et_al
ENSG00000272209,True,Temporal Lobe,Cho_et_al
ENSG00000252101,True,Temporal Lobe,Cho_et_al
ENSG00000163464,True,Temporal Lobe,Cho_et_al
ENSG00000157551,True,Temporal Lobe,Cho_et_al
ENSG00000231107,True,Temporal Lobe,Cho_et_al
ENSG00000270906,True,Temporal Lobe,Cho_et_al
ENSG00000255775,True,Temporal Lobe,Cho_et_al
ENSG00000255521,True,Temporal Lobe,Cho_et_al
ENSG00000198523,True,Temporal Lobe,Cho_et_al
ENSG00000188523,True,Temporal Lobe,Cho_et_al
ENSG00000196966,True,Temporal Lobe,Cho_et_al
ENSG00000039987,True,Temporal Lobe,Cho_et_al
ENSG00000225192,True,Temporal Lobe,Cho_et_al
ENSG00000248449,True,Temporal Lobe,Cho_et_al
ENSG00000256609,True,Temporal Lobe,Cho_et_al
ENSG00000258407,True,Temporal Lobe,Cho_et_al
ENSG00000186973,True,Temporal Lobe,Cho_et_al
ENSG00000167780,True,Temporal Lobe,Cho_et_al
ENSG00000207480,True,Temporal Lobe,Cho_et_al
ENSG00000226455,True,Temporal Lobe,Cho_et_al
ENSG00000188488,True,Temporal Lobe,Cho_et_al
ENSG00000236824,True,Temporal Lobe,Cho_et_al
ENSG00000234076,True,Temporal Lobe,Cho_et_al
ENSG00000257613,True,Temporal Lobe,Cho_et_al
ENSG00000235231,True,Temporal Lobe,Cho_et_al
ENSG00000104879,True,Temporal Lobe,Cho_et_al
ENSG00000159212,True,Temporal Lobe,Cho_et_al
ENSG00000112299,True,Temporal Lobe,Cho_et_al
ENSG00000248100,True,Temporal Lobe,Cho_et_al
ENSG00000101916,True,Temporal Lobe,Cho_et_al
