ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000102409,False,Temporal Lobe,Cho_et_al
ENSG00000167113,False,Temporal Lobe,Cho_et_al
ENSG00000243710,False,Temporal Lobe,Cho_et_al
ENSG00000136490,False,Temporal Lobe,Cho_et_al
ENSG00000072062,False,Temporal Lobe,Cho_et_al
ENSG00000140104,False,Temporal Lobe,Cho_et_al
ENSG00000160051,False,Temporal Lobe,Cho_et_al
ENSG00000131797,False,Temporal Lobe,Cho_et_al
ENSG00000165716,False,Temporal Lobe,Cho_et_al
ENSG00000061337,False,Temporal Lobe,Cho_et_al
ENSG00000111110,False,Temporal Lobe,Cho_et_al
ENSG00000174437,False,Temporal Lobe,Cho_et_al
ENSG00000126461,False,Temporal Lobe,Cho_et_al
ENSG00000133958,False,Temporal Lobe,Cho_et_al
ENSG00000101146,False,Temporal Lobe,Cho_et_al
ENSG00000161395,False,Temporal Lobe,Cho_et_al
ENSG00000068400,False,Temporal Lobe,Cho_et_al
ENSG00000104967,False,Temporal Lobe,Cho_et_al
ENSG00000182195,False,Temporal Lobe,Cho_et_al
ENSG00000177239,False,Temporal Lobe,Cho_et_al
ENSG00000143318,False,Temporal Lobe,Cho_et_al
ENSG00000188229,False,Temporal Lobe,Cho_et_al
ENSG00000175701,False,Temporal Lobe,Cho_et_al
ENSG00000125170,False,Temporal Lobe,Cho_et_al
ENSG00000168234,False,Temporal Lobe,Cho_et_al
ENSG00000105426,False,Temporal Lobe,Cho_et_al
ENSG00000169139,False,Temporal Lobe,Cho_et_al
ENSG00000169093,False,Temporal Lobe,Cho_et_al
ENSG00000184986,False,Temporal Lobe,Cho_et_al
ENSG00000261338,False,Temporal Lobe,Cho_et_al
ENSG00000134684,False,Temporal Lobe,Cho_et_al
ENSG00000132879,False,Temporal Lobe,Cho_et_al
ENSG00000144218,False,Temporal Lobe,Cho_et_al
ENSG00000142875,False,Temporal Lobe,Cho_et_al
ENSG00000180155,False,Temporal Lobe,Cho_et_al
ENSG00000159788,False,Temporal Lobe,Cho_et_al
ENSG00000138686,False,Temporal Lobe,Cho_et_al
ENSG00000230910,False,Temporal Lobe,Cho_et_al
ENSG00000132361,False,Temporal Lobe,Cho_et_al
ENSG00000088538,False,Temporal Lobe,Cho_et_al
ENSG00000218537,False,Temporal Lobe,Cho_et_al
ENSG00000111726,False,Temporal Lobe,Cho_et_al
ENSG00000101489,False,Temporal Lobe,Cho_et_al
ENSG00000130159,False,Temporal Lobe,Cho_et_al
ENSG00000257553,False,Temporal Lobe,Cho_et_al
ENSG00000177192,False,Temporal Lobe,Cho_et_al
ENSG00000179820,False,Temporal Lobe,Cho_et_al
ENSG00000272505,False,Temporal Lobe,Cho_et_al
ENSG00000258017,False,Temporal Lobe,Cho_et_al
ENSG00000099866,False,Temporal Lobe,Cho_et_al
ENSG00000005379,False,Temporal Lobe,Cho_et_al
ENSG00000067365,False,Temporal Lobe,Cho_et_al
ENSG00000102078,False,Temporal Lobe,Cho_et_al
ENSG00000176182,False,Temporal Lobe,Cho_et_al
