gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
ENSG00000272316,ENSG00000272316,,False,Temporal Lobe,Felsky_et_al,1.7
PCDHB18P,ENSG00000146001,PCDHB18P,False,Temporal Lobe,Felsky_et_al,1.7
ENDOV,ENSG00000173818,ENDOV,False,Temporal Lobe,Felsky_et_al,1.7
NEU4,ENSG00000277926,NEU4,False,Temporal Lobe,Felsky_et_al,1.7
RET,ENSG00000165731,RET,False,Temporal Lobe,Felsky_et_al,1.7
SMARCA4,ENSG00000127616,SMARCA4,False,Temporal Lobe,Felsky_et_al,1.7
SYMPK,ENSG00000125755,SYMPK,False,Temporal Lobe,Felsky_et_al,1.7
ICA1L,ENSG00000163596,ICA1L,False,Temporal Lobe,Felsky_et_al,1.7
CYGB,ENSG00000161544,CYGB,False,Temporal Lobe,Felsky_et_al,1.7
MICOS13,ENSG00000174917,MICOS13,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000274021,ENSG00000274021,,False,Temporal Lobe,Felsky_et_al,1.7
HDX,ENSG00000165259,HDX,False,Temporal Lobe,Felsky_et_al,1.7
LINC02389,ENSG00000255693,LINC02389,False,Temporal Lobe,Felsky_et_al,1.7
GAS7,ENSG00000007237,GAS7,False,Temporal Lobe,Felsky_et_al,1.7
LOC728138,ENSG00000261819,LOC728138,False,Temporal Lobe,Felsky_et_al,1.7
RNF112,ENSG00000128482,RNF112,False,Temporal Lobe,Felsky_et_al,1.7
CSPG4,ENSG00000173546,CSPG4,False,Temporal Lobe,Felsky_et_al,1.7
KCNK4,ENSG00000182450,KCNK4,False,Temporal Lobe,Felsky_et_al,1.7
STX1B,ENSG00000099365,STX1B,False,Temporal Lobe,Felsky_et_al,1.7
ATP2B1-AS1,ENSG00000271614,ATP2B1-AS1,False,Temporal Lobe,Felsky_et_al,1.7
RTKN2,ENSG00000182010,RTKN2,False,Temporal Lobe,Felsky_et_al,1.7
DDHD1,ENSG00000100523,DDHD1,False,Temporal Lobe,Felsky_et_al,1.7
HAR1A,ENSG00000225978,HAR1A,False,Temporal Lobe,Felsky_et_al,1.7
SYN3,ENSG00000185666,SYN3,False,Temporal Lobe,Felsky_et_al,1.7
MDH1,ENSG00000014641,MDH1,False,Temporal Lobe,Felsky_et_al,1.7
SMIM17,ENSG00000268182,SMIM17,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000281016,ENSG00000281016,,False,Temporal Lobe,Felsky_et_al,1.7
EID2B,ENSG00000176401,EID2B,False,Temporal Lobe,Felsky_et_al,1.7
EXOC3-AS1,ENSG00000221990,EXOC3-AS1,False,Temporal Lobe,Felsky_et_al,1.7
AARSD1,ENSG00000266967,AARSD1,False,Temporal Lobe,Felsky_et_al,1.7
MTATP6P1,ENSG00000248527,MTATP6P1,False,Temporal Lobe,Felsky_et_al,1.7
LINC01521,ENSG00000213888,LINC01521,False,Temporal Lobe,Felsky_et_al,1.7
CMPK2,ENSG00000134326,CMPK2,False,Temporal Lobe,Felsky_et_al,1.7
H4C5,ENSG00000276966,H4C5,False,Temporal Lobe,Felsky_et_al,1.7
PCCB,ENSG00000114054,PCCB,False,Temporal Lobe,Felsky_et_al,1.7
KCTD13,ENSG00000174943,KCTD13,False,Temporal Lobe,Felsky_et_al,1.7
SHD,ENSG00000105251,SHD,False,Temporal Lobe,Felsky_et_al,1.7
SH2D5,ENSG00000189410,SH2D5,False,Temporal Lobe,Felsky_et_al,1.7
MAPK8IP3,ENSG00000138834,MAPK8IP3,False,Temporal Lobe,Felsky_et_al,1.7
CEP170B,ENSG00000099814,CEP170B,False,Temporal Lobe,Felsky_et_al,1.7
SMIM14,ENSG00000163683,SMIM14,False,Temporal Lobe,Felsky_et_al,1.7
HMG20A,ENSG00000140382,HMG20A,False,Temporal Lobe,Felsky_et_al,1.7
NUP153-AS1,ENSG00000272269,NUP153-AS1,False,Temporal Lobe,Felsky_et_al,1.7
DET1,ENSG00000140543,DET1,False,Temporal Lobe,Felsky_et_al,1.7
PCDHGC4,ENSG00000242419,PCDHGC4,False,Temporal Lobe,Felsky_et_al,1.7
RAB40A,ENSG00000172476,RAB40A,False,Temporal Lobe,Felsky_et_al,1.7
PCSK1N,ENSG00000102109,PCSK1N,False,Temporal Lobe,Felsky_et_al,1.7
HOOK3,ENSG00000168172,HOOK3,False,Temporal Lobe,Felsky_et_al,1.7
SEPTIN7P13,ENSG00000185495,SEPTIN7P13,False,Temporal Lobe,Felsky_et_al,1.7
ZIM2,ENSG00000269699,ZIM2,False,Temporal Lobe,Felsky_et_al,1.7
NDRG4,ENSG00000103034,NDRG4,False,Temporal Lobe,Felsky_et_al,1.7
STMN3,ENSG00000197457,STMN3,False,Temporal Lobe,Felsky_et_al,1.7
PLAAT1,ENSG00000127252,PLAAT1,False,Temporal Lobe,Felsky_et_al,1.7
MROH1,ENSG00000179832,MROH1,False,Temporal Lobe,Felsky_et_al,1.7
CPT1C,ENSG00000169169,CPT1C,False,Temporal Lobe,Felsky_et_al,1.7
WNK2,ENSG00000165238,WNK2,False,Temporal Lobe,Felsky_et_al,1.7
FXYD7,ENSG00000221946,FXYD7,False,Temporal Lobe,Felsky_et_al,1.7
KREMEN2,ENSG00000131650,KREMEN2,False,Temporal Lobe,Felsky_et_al,1.7
COL25A1,ENSG00000188517,COL25A1,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000268750,ENSG00000268750,,False,Temporal Lobe,Felsky_et_al,1.7
MLIP,ENSG00000146147,MLIP,False,Temporal Lobe,Felsky_et_al,1.7
CGREF1,ENSG00000138028,CGREF1,False,Temporal Lobe,Felsky_et_al,1.7
NDUFC2,ENSG00000151366,NDUFC2,False,Temporal Lobe,Felsky_et_al,1.7
RNF113A,ENSG00000125352,RNF113A,False,Temporal Lobe,Felsky_et_al,1.7
MAP3K12,ENSG00000139625,MAP3K12,False,Temporal Lobe,Felsky_et_al,1.7
ZC3H13,ENSG00000123200,ZC3H13,False,Temporal Lobe,Felsky_et_al,1.7
GCNT4,ENSG00000176928,GCNT4,False,Temporal Lobe,Felsky_et_al,1.7
TRIM66,ENSG00000166436,TRIM66,False,Temporal Lobe,Felsky_et_al,1.7
RANBP1,ENSG00000099901,RANBP1,False,Temporal Lobe,Felsky_et_al,1.7
