gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
COMMD9|ENSG00000110442	-0.2780075	5.99e-05	29	Control	AD
MEX3C|ENSG00000176624	0.40432249	6.18e-05	29	Control	AD
MEIS3|ENSG00000105419	-0.7217111	6.21e-05	29	Control	AD
MRPL9|ENSG00000143436	-0.2646762	6.32e-05	29	Control	AD
ATOX1|ENSG00000177556	-0.4639797	6.38e-05	29	Control	AD
IRAK3|ENSG00000090376	1.17526266	6.53e-05	29	Control	AD
SYNRG|ENSG00000275066	0.3084214	6.56e-05	29	Control	AD
NEU1|ENSG00000204386	-0.3013819	6.67e-05	29	Control	AD
FRMPD2|ENSG00000170324	-1.3685892	6.93e-05	29	Control	AD
SBF2|ENSG00000133812	0.55813567	7.05e-05	29	Control	AD
ZNF107|ENSG00000196247	0.57582313	7.07e-05	29	Control	AD
PDCD6|ENSG00000249915	-0.294452	7.12e-05	29	Control	AD
ATP10D|ENSG00000145246	0.73056014	7.45e-05	29	Control	AD
PAPSS2|ENSG00000198682	1.02882645	7.57e-05	29	Control	AD
PRR13|ENSG00000205352	-0.4466218	7.62e-05	29	Control	AD
KANK1|ENSG00000107104	0.64354905	8.05e-05	29	Control	AD
CD302|ENSG00000241399	0.79521556	8.29e-05	29	Control	AD
GRIPAP1|ENSG00000068400	-0.3774411	8.38e-05	29	Control	AD
MCTS1|ENSG00000232119	-0.3802482	8.53e-05	29	Control	AD
LRP4|ENSG00000134569	1.00277765	8.77e-05	29	Control	AD
YAP1|ENSG00000137693	0.9427187	8.8e-05	29	Control	AD
TNKS2|ENSG00000107854	0.36576011	8.86e-05	29	Control	AD
PHF12|ENSG00000109118	0.356795	8.94e-05	29	Control	AD
ADH1B|ENSG00000196616	1.65970716	8.94e-05	29	Control	AD
PLCH2|ENSG00000149527	-0.7329746	9.03e-05	29	Control	AD
MAPK4|ENSG00000141639	0.6607427	9.04e-05	29	Control	AD
IQGAP3|ENSG00000291754	-1.4753994	9.05e-05	29	Control	AD
PRDX2|ENSG00000167815	-0.3458517	9.2e-05	29	Control	AD
MED12|ENSG00000184634	0.47261661	9.27e-05	29	Control	AD
JPT1|ENSG00000189159	-0.4930988	9.39e-05	29	Control	AD
NCOA1|ENSG00000084676	0.36539564	9.63e-05	29	Control	AD
MTM1|ENSG00000171100	0.67005216	9.78e-05	29	Control	AD
EGFR|ENSG00000146648	0.96220215	9.8e-05	29	Control	AD
MEGF11|ENSG00000157890	0.71263458	9.81e-05	29	Control	AD
ZNF81|ENSG00000197779	0.74074976	9.82e-05	29	Control	AD
TMED3|ENSG00000166557	-0.3445922	9.89e-05	29	Control	AD
KDM3B|ENSG00000120733	0.26961226	9.91e-05	29	Control	AD
ROCK1|ENSG00000067900	0.61404567	0.00010251	29	Control	AD
SOCS4|ENSG00000180008	0.4862021	0.00010266	29	Control	AD
PLOD2|ENSG00000152952	0.79656145	0.00010336	29	Control	AD
ZFX|ENSG00000005889	0.34746235	0.00010444	29	Control	AD
TAF8|ENSG00000137413	0.35552757	0.00010519	29	Control	AD
DHDDS|ENSG00000117682	-0.3066624	0.00010699	29	Control	AD
BMPR1A|ENSG00000107779	0.51676551	0.00010715	29	Control	AD
