gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
SGCE|ENSG00000127990	0.381773204	1.26e-06	39	Control	AD
ASPHD1|ENSG00000174939	-0.6145137	1.32e-06	39	Control	AD
PCDHA6|ENSG00000291654	-0.83575065	1.36e-06	39	Control	AD
DCTN1-AS1|ENSG00000237737	-0.983115892	1.39e-06	39	Control	AD
MYCN|ENSG00000134323	-0.881521671	1.41e-06	39	Control	AD
AJUBA|ENSG00000129474	0.972049008	1.58e-06	39	Control	AD
HFE|ENSG00000010704	0.825656376	1.6e-06	39	Control	AD
TGFBR2|ENSG00000163513	0.773806856	1.79e-06	39	Control	AD
TMED5|ENSG00000117500	0.655403559	1.82e-06	39	Control	AD
ZMPSTE24-DT|ENSG00000259943	-0.849313549	1.84e-06	39	Control	AD
	1.956043707	1.85e-06	39	Control	AD
RASSF8|ENSG00000123094	0.714706603	1.87e-06	39	Control	AD
ATP6V0E1|ENSG00000113732	0.510721001	1.88e-06	39	Control	AD
TLR7|ENSG00000196664	1.152874858	1.95e-06	39	Control	AD
UNC119B|ENSG00000175970	0.554556423	2.03e-06	39	Control	AD
ANKHD1-EIF4EBP3|ENSG00000254996	0.709674514	2.03e-06	39	Control	AD
MRPS9|ENSG00000135972	-0.423443241	2.13e-06	39	Control	AD
ATL3|ENSG00000184743	0.540713617	2.2e-06	39	Control	AD
KAZN|ENSG00000189337	-0.365402509	2.39e-06	39	Control	AD
CFAP47|ENSG00000165164	1.042544707	2.49e-06	39	Control	AD
OPRK1|ENSG00000082556	0.729034351	2.55e-06	39	Control	AD
MYH7B|ENSG00000078814	-0.737578265	2.66e-06	39	Control	AD
ILK|ENSG00000166333	0.395663019	2.67e-06	39	Control	AD
GAS2L3|ENSG00000139354	1.004645168	2.68e-06	39	Control	AD
HERC2P3|ENSG00000180229	1.448827106	2.75e-06	39	Control	AD
	-0.979305827	2.77e-06	39	Control	AD
FADS6|ENSG00000172782	-0.712958577	2.9e-06	39	Control	AD
CMTM6|ENSG00000091317	0.592053908	3.04e-06	39	Control	AD
MTCP1|ENSG00000214827	1.139750739	3.46e-06	39	Control	AD
ENTREP1|ENSG00000135063	0.828233778	3.47e-06	39	Control	AD
GJB2|ENSG00000165474	1.77454911	3.53e-06	39	Control	AD
TBL1X|ENSG00000101849	0.70532011	3.58e-06	39	Control	AD
KANTR|ENSG00000232593	-0.446123112	3.6e-06	39	Control	AD
ARMC3|ENSG00000165309	1.140156061	3.68e-06	39	Control	AD
C8orf88|ENSG00000253250	1.183830374	3.69e-06	39	Control	AD
ZNF93|ENSG00000184635	-0.789484647	3.78e-06	39	Control	AD
TMEFF1|ENSG00000241697	-0.602165834	3.83e-06	39	Control	AD
SLC2A12|ENSG00000146411	0.491942606	3.85e-06	39	Control	AD
HSPB2|ENSG00000170276	1.661697136	3.9e-06	39	Control	AD
DDIT4L|ENSG00000145358	1.351198396	3.97e-06	39	Control	AD
LRAT|ENSG00000121207	1.133935456	3.98e-06	39	Control	AD
	-0.83919046	4.05e-06	39	Control	AD
REXO1|ENSG00000079313	-0.511395522	4.13e-06	39	Control	AD
NHEJ1|ENSG00000187736	0.552131151	4.41e-06	39	Control	AD
ORC2|ENSG00000115942	-0.454110973	4.6e-06	39	Control	AD
NCR3LG1|ENSG00000188211	-0.723353778	4.72e-06	39	Control	AD
ARFGAP1|ENSG00000101199	-0.2819279	4.73e-06	39	Control	AD
ZNF138|ENSG00000197008	-0.394846972	5.07e-06	39	Control	AD
VWA5B2|ENSG00000145198	-1.198980822	5.27e-06	39	Control	AD
FZD7|ENSG00000155760	1.176389361	5.38e-06	39	Control	AD
ATG10|ENSG00000152348	-0.436476528	5.41e-06	39	Control	AD
C17orf107|ENSG00000205710	-0.641830089	5.49e-06	39	Control	AD
