MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
EIF4G1|ENSG00000114867	ad	control	279.00	-1.101	0.2711	-----++-
PEG13|ENSG00000282164	ad	control	101.00	-0.099	0.9213	????+--?
RPL9P28|ENSG00000242067	ad	control	31.00	0.214	0.8307	??????+?
TMT1B|ENSG00000170439	ad	control	279.00	-2.201	0.02773	-----++-
ARHGAP44|ENSG00000006740	ad	control	173.00	1.041	0.2981	+++++--?
NOP56P2|ENSG00000226626	ad	control	106.00	0.161	0.872	???????+
ACAD9|ENSG00000177646	ad	control	173.00	2.642	0.008249	+++++--?
TEN1|ENSG00000257949	ad	control	173.00	1.411	0.1583	+-+++++?
HSPA14|ENSG00000187522	ad	control	279.00	2.601	0.009304	+++++--+
MYL12B|ENSG00000118680	ad	control	279.00	2.269	0.02325	+++++--+
THAP12P7|ENSG00000253919	ad	control	62.00	0.764	0.4447	?????-+?
TRAPPC11|ENSG00000168538	ad	control	279.00	3.746	0.00018	+++++--+
BSG-AS1|ENSG00000267751	ad	control	168.00	0.365	0.7148	?????++-
ZFP90|ENSG00000184939	ad	control	279.00	3.301	0.0009643	--++++++
ACSM2B|ENSG00000066813	ad	control	31.00	0.022	0.9827	??????+?
ZSCAN21|ENSG00000166529	ad	control	279.00	0.084	0.9328	--+--++-
RNF128|ENSG00000133135	ad	control	279.00	0.970	0.3322	+++++--+
SGPP1|ENSG00000285281	ad	control	279.00	-0.207	0.8357	++-+---+
EPB41L3|ENSG00000082397	ad	control	279.00	2.599	0.009361	+++++--+
AHI1-DT|ENSG00000231028	ad	control	240.00	1.173	0.2407	++++?+-+
PRRG1|ENSG00000130962	ad	control	279.00	0.595	0.5522	--+-+++-
LINC02870|ENSG00000180066	ad	control	62.00	-0.315	0.7524	?????--?
FXYD6|ENSG00000137726	ad	control	173.00	1.611	0.1073	+++++--?
CHRNA3|ENSG00000080644	ad	control	62.00	-1.797	0.07234	?????--?
SUMF2|ENSG00000129103	ad	control	279.00	1.736	0.08263	++++---+
SMG1P5|ENSG00000291266	ad	control	106.00	0.480	0.631	???????+
GET4|ENSG00000239857	ad	control	279.00	-3.546	0.0003911	----+---
TRPM6|ENSG00000119121	ad	control	279.00	0.962	0.336	+++-+++-
ACTR10|ENSG00000131966	ad	control	279.00	3.219	0.001285	+++++--+
CFAP52|ENSG00000166596	ad	control	279.00	1.341	0.1798	-+++++-+
RPS15AP17|ENSG00000225405	ad	control	62.00	0.236	0.8138	?????-+?
CELF2-AS2|ENSG00000237986	ad	control	145.00	0.131	0.8955	????+??-
NBPF10|ENSG00000271425	ad	control	279.00	-1.566	0.1174	-----++-
NAGA|ENSG00000198951	ad	control	279.00	-2.742	0.006106	--------
GAS6|ENSG00000183087	ad	control	173.00	-3.476	0.0005087	-------?
CLEC10A|ENSG00000132514	ad	control	62.00	0.132	0.8952	?????-+?
CCSAP|ENSG00000154429	ad	control	279.00	1.532	0.1255	+++++--+
CTRB2|ENSG00000168928	ad	control	62.00	0.492	0.6226	?????-+?
IGHA1|ENSG00000211895	ad	control	62.00	-1.248	0.2121	?????--?
RPL29P11|ENSG00000224858	ad	control	137.00	1.442	0.1492	??????+-
