MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
LOC101928016|ENSG00000253550	ad	control	424.0	0.241	0.8092	?????????++++?	0.9992687041810332
FAM86EP|ENSG00000251669	ad	control	587.0	-1.162	0.2452	????+----++--?	0.6641840311058866
ADSL|ENSG00000239900	ad	control	687.0	-0.657	0.511	+--+--+++----+	0.9442672259576831
LINC03049|ENSG00000271109	ad	control	124.0	-0.291	0.7713	?????-++-?????	0.9992687041810332
LOC105379699|ENSG00000226454	ad	control	93.0	-1.511	0.1307	??????---?????	0.47126254212806934
CD300H|ENSG00000291925	ad	control	62.0	-0.357	0.7208	?????-??-?????	0.9992687041810332
MTND6P25|ENSG00000255316	ad	control	62.0	-0.026	0.9794	??????-?+?????	0.9992687041810332
TICAM2|ENSG00000243414	ad	control	235.0	-0.576	0.5647	+--+----+?????	0.9822437619738751
LINC01870|ENSG00000223826	ad	control	31.0	0.068	0.9461	??????+???????	0.9992687041810332
VPREB3|ENSG00000128218	ad	control	124.0	-1.699	0.08935	?????---+?????	0.37987065001419246
RAB9AP5|ENSG00000231423	ad	control	424.0	-0.428	0.6686	?????????++-+?	0.9992687041810332
ELOVL5|ENSG00000012660	ad	control	687.0	-1.242	0.2143	+--------+-+--	0.6200087695576588
FUNDC1|ENSG00000069509	ad	control	659.0	1.345	0.1785	+++++----++-+?	0.5620292200966996
MIR5010|ENSG00000283929	ad	control	93.0	0.108	0.914	??????--+?????	0.9992687041810332
IGLV3-21|ENSG00000211662	ad	control	124.0	-0.853	0.3935	?????----?????	0.8429743047115179
RNU6-39P|ENSG00000207072	ad	control	62.0	0.542	0.588	???????++?????	0.9940252821670429
ZDBF2|ENSG00000283649	ad	control	687.0	2.279	0.02268	+++++----++-++	0.17147957597173144
PGLS-DT|ENSG00000269439	ad	control	687.0	-2.572	0.0101	-----++-+--+--	0.10469051903114186
AKAP17BP|ENSG00000214992	ad	control	124.0	-0.592	0.5542	?????--+-?????	0.9744447496624993
PITHD1|ENSG00000057757	ad	control	687.0	2.355	0.01852	+++++----++-++	0.1507158706873132
CMAS|ENSG00000111726	ad	control	687.0	4.196	2.717e-05	++++++-+++++++	0.0027517014864864866
ME3|ENSG00000151376	ad	control	235.0	1.684	0.09223	+++++----?????	0.3863033948545862
PCDHGA12|ENSG00000253159	ad	control	687.0	-4.149	3.341e-05	------+------+	0.0031374477258566975
ANKRD20A19P|ENSG00000196593	ad	control	548.0	-0.205	0.8374	?????----++-+?	0.9992687041810332
ATP8B5P|ENSG00000179766	ad	control	124.0	0.638	0.5233	?????++-+?????	0.9531206177418374
TMEM109|ENSG00000110108	ad	control	235.0	-2.553	0.01067	--------+?????	0.10868089765385924
TNIP3|ENSG00000050730	ad	control	224.0	1.131	0.258	++++?--+-????+	0.6800394192696877
ADIRF|ENSG00000148671	ad	control	235.0	-1.661	0.09665	----+----?????	0.39720776512553163
RNU7-156P|ENSG00000253023	ad	control	31.0	-0.178	0.8584	??????-???????	0.9992687041810332
SORBS3|ENSG00000120896	ad	control	687.0	-1.792	0.07317	----+--++--+--	0.3374719815242494
PAGE2B|ENSG00000238269	ad	control	62.0	0.179	0.8581	??????+?-?????	0.9992687041810332
RNR1|ENSG00000211459	ad	control	163.0	0.692	0.4887	????+--++?????	0.9275754259294445
MEI1|ENSG00000167077	ad	control	152.0	-0.687	0.492	?????----????+	0.9298058166677181
OSER1|ENSG00000132823	ad	control	235.0	-1.097	0.2729	-+---+-++?????	0.7015956402334362
FAM32A|ENSG00000105058	ad	control	687.0	-0.331	0.7406	+++--+---+--++	0.9992687041810332
MYH13|ENSG00000006788	ad	control	124.0	-0.011	0.9913	?????++--?????	0.9992687041810332
GSG1L2|ENSG00000214978	ad	control	62.0	-0.262	0.7935	???????--?????	0.9992687041810332
TSN|ENSG00000211460	ad	control	235.0	1.873	0.06109	++++-+---?????	0.30398871096345514
MIR4254|ENSG00000266580	ad	control	93.0	0.02	0.9838	??????-++?????	0.9992687041810332
ITGB5|ENSG00000082781	ad	control	235.0	-1.631	0.103	-----++++?????	0.4117800613906312
MT1M|ENSG00000205364	ad	control	687.0	-0.619	0.5359	-----++++--++-	0.9626661309666588
C3orf52|ENSG00000114529	ad	control	124.0	-1.644	0.1001	?????----?????	0.405489601081812
LOC105377213|ENSG00000214915	ad	control	62.0	0.201	0.841	??????-?+?????	0.9992687041810332
MTND1P32|ENSG00000232282	ad	control	31.0	0.022	0.9827	????????+?????	0.9992687041810332
HIPK2|ENSG00000064393	ad	control	687.0	-1.075	0.2825	----+++++-++--	0.7137193219195411
