MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
LINC02497|ENSG00000251182	ad	control	31.00	0.234	0.8148	?+?
MPHOSPH9|ENSG00000051825	ad	control	176.00	0.578	0.5633	++-
GAPDHP72|ENSG00000216624	ad	control	31.00	-0.424	0.6712	?-?
NTRK3-AS1|ENSG00000260305	ad	control	137.00	0.246	0.806	?++
PPM1L|ENSG00000163590	ad	control	70.00	-1.872	0.06124	--?
LINC00398|ENSG00000237879	ad	control	31.00	-1.689	0.09127	?-?
CFAP97D2|ENSG00000283361	ad	control	31.00	0.168	0.8669	?+?
DENND2A|ENSG00000146966	ad	control	176.00	-0.170	0.865	-+-
PPP1R3B|ENSG00000285343	ad	control	70.00	0.019	0.9846	-+?
FMNL1-DT|ENSG00000267121	ad	control	176.00	0.402	0.6875	+--
ZNF212|ENSG00000170260	ad	control	176.00	1.215	0.2242	+++
GCK|ENSG00000106633	ad	control	70.00	-2.506	0.01222	-+?
ANXA9|ENSG00000143412	ad	control	176.00	-2.333	0.01964	---
LMNB1-DT|ENSG00000251072	ad	control	137.00	-0.222	0.8241	?--
FMR1-IT1|ENSG00000236337	ad	control	31.00	-0.599	0.549	?-?
ZNF415|ENSG00000170954	ad	control	176.00	1.708	0.08768	+++
SLC26A8|ENSG00000112053	ad	control	176.00	1.483	0.1381	+-+
SNRK|ENSG00000163788	ad	control	70.00	1.621	0.1051	++?
SDF2L1|ENSG00000128228	ad	control	176.00	-1.532	0.1254	---
FAM170A|ENSG00000164334	ad	control	31.00	-0.181	0.8565	?-?
PYM1|ENSG00000170473	ad	control	176.00	0.412	0.6801	+-+
SMAD9|ENSG00000120693	ad	control	70.00	-1.210	0.2264	-+?
ABHD15|ENSG00000168792	ad	control	176.00	-1.632	0.1027	---
CATSPER2P1|ENSG00000205771	ad	control	70.00	-0.218	0.8273	+-?
ARGLU1|ENSG00000134884	ad	control	70.00	1.789	0.07354	++?
MAPK8IP1P2|ENSG00000263503	ad	control	31.00	0.534	0.5935	?+?
MPV17|ENSG00000115204	ad	control	176.00	0.251	0.8017	+--
SMAP1|ENSG00000112305	ad	control	70.00	-0.070	0.9439	+-?
ST13P20|ENSG00000215875	ad	control	137.00	0.349	0.7274	?++
LINC02253|ENSG00000259485	ad	control	31.00	-0.166	0.8684	?-?
ZUP1|ENSG00000153975	ad	control	176.00	1.463	0.1436	+-+
TAGLN|ENSG00000149591	ad	control	176.00	-0.588	0.5566	--+
SUMO2P17|ENSG00000248278	ad	control	31.00	-0.378	0.7054	?-?
LRR1|ENSG00000165501	ad	control	70.00	0.950	0.3422	-+?
TEKT5|ENSG00000153060	ad	control	31.00	-1.032	0.3019	?-?
SNORA72|ENSG00000252158	ad	control	106.00	0.444	0.657	??+
LOC388282|ENSG00000187185	ad	control	31.00	0.132	0.8947	?+?
C2CD4C|ENSG00000183186	ad	control	176.00	0.275	0.7835	+--
MIR100HG|ENSG00000255248	ad	control	176.00	-1.496	0.1345	--+
LINC00939|ENSG00000249267	ad	control	31.00	-0.109	0.9136	?-?
IQCB1|ENSG00000173226	ad	control	176.00	0.360	0.719	+-+
DAP3P2|ENSG00000228507	ad	control	31.00	-0.128	0.8981	?-?
PCDHB19P|ENSG00000262096	ad	control	70.00	2.595	0.009446	++?
MAS1|ENSG00000130368	ad	control	70.00	0.245	0.8068	+-?
ACAA1|ENSG00000060971	ad	control	176.00	0.383	0.7015	+--
ACSM5|ENSG00000183549	ad	control	176.00	0.047	0.9629	-++
MTCH1|ENSG00000137409	ad	control	176.00	-0.838	0.4021	--+
LOC102723692|ENSG00000261448	ad	control	31.00	-1.070	0.2847	?-?
