MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
PRTN3|ENSG00000277804	ad	control	124.0	-3.579	0.0003456	?????----?????	0.013445186493506492
S1PR3|ENSG00000213694	ad	control	687.0	-3.21	0.001326	-----+-+------	0.030720538283062645
ST6GALNAC4|ENSG00000136840	ad	control	235.0	-4.069	4.729e-05	----+----?????	0.0039241530193905826
PRR5|ENSG00000186654	ad	control	235.0	-4.9	9.599e-07	---------?????	0.00030105780000000003
PERM1|ENSG00000187642	ad	control	124.0	3.472	0.0005159	?????+++-?????	0.017223032071269486
ING1|ENSG00000153487	ad	control	687.0	-3.017	0.002552	-----+--+-----	0.04636825696969697
RCN1|ENSG00000049449	ad	control	235.0	-3.707	0.0002095	+--+-----?????	0.010237817292006526
LOC100129931|ENSG00000245748	ad	control	163.0	-3.472	0.0005163	????-----?????	0.017223032071269486
GEM|ENSG00000164949	ad	control	235.0	-3.847	0.0001195	-----++++?????	0.007261139959432049
NSF|ENSG00000073969	ad	control	687.0	3.256	0.001128	+++++----+++++	0.027811002469135804
CDC42BPG|ENSG00000171219	ad	control	152.0	5.209	1.903e-07	?????++++????-	9.828666896551725e-05
NME4|ENSG00000103202	ad	control	687.0	-3.408	0.0006555	--------------	0.01993518578680203
RAD52|ENSG00000002016	ad	control	687.0	-3.052	0.002272	-----++++-----	0.043240172808132145
MARCHF4|ENSG00000144583	ad	control	263.0	4.359	1.308e-05	+++++----????+	0.0017035846956521738
LOC124905564|ENSG00000292228	ad	control	163.0	3.835	0.0001254	????+++++?????	0.00748303266932271
ADAP2|ENSG00000184060	ad	control	687.0	-3.075	0.002104	-----------+--	0.041275326784544854
RUNX3-AS1|ENSG00000229162	ad	control	59.0	-2.988	0.002806	????????-????-	0.0488133193960511
CHD8|ENSG00000100888	ad	control	687.0	3.4	0.0006728	++++++-++-++++	0.02027605311871227
LOC101927480|ENSG00000245694	ad	control	124.0	5.049	4.451e-07	?????++++?????	0.00018518632777777776
RAB4B|ENSG00000167578	ad	control	235.0	4.97	6.692e-07	+++++++-+?????	0.00025058194
NR2F1|ENSG00000175745	ad	control	235.0	-4.147	3.362e-05	-----++--?????	0.0031374477258566975
SLC22A3|ENSG00000146477	ad	control	263.0	-4.955	7.218e-07	---------????-	0.00026368586341463416
EPHA2|ENSG00000142627	ad	control	235.0	-3.351	0.0008052	----+---+?????	0.022884792409867172
NINJ1|ENSG00000131669	ad	control	687.0	-3.742	0.0001827	------+-------	0.009371508904109588
ANO8|ENSG00000074855	ad	control	687.0	-3.18	0.001474	-------------+	0.032951600000000004
FAM204A|ENSG00000165669	ad	control	687.0	3.008	0.002634	+++++--+++++++	0.04719144976076555
PABIR2|ENSG00000156504	ad	control	659.0	3.142	0.001681	-----++++++++?	0.035734746099290775
SH2D1A|ENSG00000183918	ad	control	124.0	5.037	4.72e-07	?????++++?????	0.0001936881095890411
SLC25A5P3|ENSG00000213673	ad	control	124.0	5.237	1.631e-07	?????++++?????	8.724685e-05
LINC00552|ENSG00000288305	ad	control	124.0	-3.099	0.001945	?????----?????	0.039077411133467466
PTPDC1|ENSG00000158079	ad	control	235.0	3.586	0.0003359	-++++++++?????	0.01335306578249337
TYROBP|ENSG00000011600	ad	control	687.0	-3.196	0.001395	+----+-----+--	0.03180260273972603
MANEA|ENSG00000172469	ad	control	235.0	-3.028	0.00246	+--------?????	0.04540465804066543
RAB3IL1|ENSG00000167994	ad	control	687.0	-3.709	0.0002077	-----++++-----	0.010199772459016394
CROCC|ENSG00000058453	ad	control	687.0	-3.287	0.001012	-----++++-----	0.02608904647160069
SLC46A1|ENSG00000076351	ad	control	687.0	-3.002	0.002685	---+--+-------	0.04761054201183432
CANT1|ENSG00000171302	ad	control	687.0	-3.342	0.0008311	---+-------+--	0.02341297894736842
CD276|ENSG00000103855	ad	control	687.0	-4.382	1.175e-05	--------------	0.001596303963963964
ACAP2|ENSG00000114331	ad	control	235.0	-3.34	0.0008377	--------+?????	0.023452468411214955
