MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
SORBS3|ENSG00000120896	ad	control	687.00	-1.792	0.07317	----+--++--+--
PAGE2B|ENSG00000238269	ad	control	62.00	0.179	0.8581	??????+?-?????
RNR1|ENSG00000211459	ad	control	163.00	0.692	0.4887	????+--++?????
MEI1|ENSG00000167077	ad	control	152.00	-0.687	0.492	?????----????+
OSER1|ENSG00000132823	ad	control	235.00	-1.097	0.2729	-+---+-++?????
FAM32A|ENSG00000105058	ad	control	687.00	-0.331	0.7406	+++--+---+--++
MYH13|ENSG00000006788	ad	control	124.00	-0.011	0.9913	?????++--?????
GSG1L2|ENSG00000214978	ad	control	62.00	-0.262	0.7935	???????--?????
TSN|ENSG00000211460	ad	control	235.00	1.873	0.06109	++++-+---?????
MIR4254|ENSG00000266580	ad	control	93.00	0.020	0.9838	??????-++?????
ITGB5|ENSG00000082781	ad	control	235.00	-1.631	0.103	-----++++?????
MT1M|ENSG00000205364	ad	control	687.00	-0.619	0.5359	-----++++--++-
C3orf52|ENSG00000114529	ad	control	124.00	-1.644	0.1001	?????----?????
LOC105377213|ENSG00000214915	ad	control	62.00	0.201	0.841	??????-?+?????
MTND1P32|ENSG00000232282	ad	control	31.00	0.022	0.9827	????????+?????
HIPK2|ENSG00000064393	ad	control	687.00	-1.075	0.2825	----+++++-++--
FRMPD1|ENSG00000070601	ad	control	687.00	0.233	0.8157	++++++-+-----+
RPS27P25|ENSG00000239881	ad	control	124.00	2.878	0.004004	?????++++?????
EIF4G1|ENSG00000114867	ad	control	687.00	-1.135	0.2563	-----++++-----
PEG13|ENSG00000282164	ad	control	163.00	-0.515	0.6062	????+----?????
RPL9P28|ENSG00000242067	ad	control	31.00	0.214	0.8307	????????+?????
TMT1B|ENSG00000170439	ad	control	625.00	-1.293	0.196	-----??++----+
ARHGAP44|ENSG00000006740	ad	control	235.00	0.599	0.5491	+++++----?????
NOP56P2|ENSG00000226626	ad	control	424.00	-0.546	0.5851	?????????++-+?
ACAD9|ENSG00000177646	ad	control	235.00	1.311	0.1897	+++++----?????
TEN1|ENSG00000257949	ad	control	235.00	1.046	0.2956	+-+++--++?????
HSPA14|ENSG00000187522	ad	control	687.00	2.692	0.007095	+++++----+++++
MYL12B|ENSG00000118680	ad	control	687.00	1.369	0.1709	+++++----+++++
THAP12P7|ENSG00000253919	ad	control	124.00	0.520	0.6028	?????-+-+?????
TRAPPC11|ENSG00000168538	ad	control	687.00	3.498	0.0004682	+++++----+++++
HMGB3P5|ENSG00000237642	ad	control	62.00	0.080	0.9364	?????-+???????
BSG-AS1|ENSG00000267751	ad	control	576.00	-0.909	0.3636	?????--+++----
ZFP90|ENSG00000184939	ad	control	687.00	2.027	0.04268	--+++++++-+++-
ACSM2B|ENSG00000066813	ad	control	31.00	0.022	0.9827	????????+?????
ZSCAN21|ENSG00000166529	ad	control	687.00	0.847	0.397	--+--++++--+--
RNF128|ENSG00000133135	ad	control	659.00	0.286	0.775	+++++----++-+?
SGPP1|ENSG00000285281	ad	control	687.00	0.802	0.4225	++-+-----+++++
EPB41L3|ENSG00000082397	ad	control	687.00	3.054	0.002258	++++++---+++++
AHI1-DT|ENSG00000231028	ad	control	648.00	0.404	0.686	++++?+++-++-+-
PRRG1|ENSG00000130962	ad	control	659.00	1.600	0.1096	--+-+++++-++-?
LINC02870|ENSG00000180066	ad	control	124.00	0.968	0.3329	?????++--?????
FXYD6|ENSG00000137726	ad	control	235.00	1.212	0.2255	+++++----?????
CHRNA3|ENSG00000080644	ad	control	152.00	-1.706	0.08794	?????----????-
SUMF2|ENSG00000129103	ad	control	687.00	1.455	0.1458	++++------++++
SMG1P5|ENSG00000291266	ad	control	424.00	1.263	0.2067	?????????++++?
GET4|ENSG00000239857	ad	control	687.00	-2.596	0.009433	----+--------+
TRPM6|ENSG00000119121	ad	control	687.00	1.233	0.2177	+++-+--++-++--
CLUHP6|ENSG00000265279	ad	control	31.00	-0.146	0.8837	??????-???????
ACTR10|ENSG00000131966	ad	control	687.00	3.215	0.001304	+++++----+++++
CFAP52|ENSG00000166596	ad	control	687.00	0.629	0.5294	-+++++++--+-+-
RPS15AP17|ENSG00000225405	ad	control	124.00	0.112	0.9111	?????+--+?????
IGHM|ENSG00000282657	ad	control	28.00	0.842	0.4	?????????????+
CELF2-AS2|ENSG00000237986	ad	control	494.00	-0.758	0.4482	????+?-??+---?
NBPF10|ENSG00000271425	ad	control	687.00	-1.932	0.05335	-----++++-----
NAGA|ENSG00000198951	ad	control	687.00	-1.999	0.04566	-----------+--
GAS6|ENSG00000183087	ad	control	235.00	-3.445	0.0005701	---------?????
