gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
SLC17A8|ENSG00000179520	0.023066121	0.932785649	31	Control	AD
DRAXIN|ENSG00000162490	0.668531722	0.022293011	31	Control	AD
NELL1|ENSG00000165973	0.527028025	0.093878355	31	Control	AD
PPDPF|ENSG00000125534	0.417160617	0.113593705	31	Control	AD
PLCD1|ENSG00000187091	0.307581061	0.26430567	31	Control	AD
GBP2|ENSG00000162645	0.602673927	0.055651671	31	Control	AD
TTC38|ENSG00000075234	-0.085267377	0.762683261	31	Control	AD
TRIM37|ENSG00000108395	0.034476939	0.906984926	31	Control	AD
LOC101928251|ENSG00000264985	0.064293623	0.826704665	31	Control	AD
RXFP1|ENSG00000171509	0.125818207	0.671793871	31	Control	AD
HSDL1|ENSG00000103160	-0.03249302	0.86752084	31	Control	AD
EEIG2|ENSG00000162636	0.039202514	0.898960618	31	Control	AD
MMP2|ENSG00000087245	-0.468890659	0.076428384	31	Control	AD
CARTPT|ENSG00000164326	0.368892122	0.228690855	31	Control	AD
VKORC1|ENSG00000167397	0.161640968	0.481649589	31	Control	AD
MVD|ENSG00000167508	0.404282788	0.048929999	31	Control	AD
ALS2CL|ENSG00000178038	-0.231550329	0.458850231	31	Control	AD
SERPINI1|ENSG00000163536	0.150577038	0.613287095	31	Control	AD
PRKN|ENSG00000185345	0.257468787	0.340753248	31	Control	AD
PRRX2|ENSG00000167157	-0.284148201	0.367993187	31	Control	AD
MYCBP2|ENSG00000005810	-0.001563509	0.995179472	31	Control	AD
CASQ1|ENSG00000143318	-0.196637839	0.520452635	31	Control	AD
BMPR2|ENSG00000204217	0.20781319	0.43782074	31	Control	AD
TPRA1|ENSG00000163870	0.309253101	0.121941031	31	Control	AD
BGN|ENSG00000182492	0.492018845	0.077636256	31	Control	AD
BSG|ENSG00000172270	0.329173518	0.063294806	31	Control	AD
DDX49|ENSG00000105671	0.125574713	0.44245415	31	Control	AD
LINC01503|ENSG00000233901	0.669607046		31	Control	AD
RASGRF2|ENSG00000113319	-0.077263627	0.733362141	31	Control	AD
NEUROD6|ENSG00000164600	-0.046752374	0.875880587	31	Control	AD
MT1A|ENSG00000205362	0.739776436	0.015967539	31	Control	AD
GLRB|ENSG00000109738	0.289593994	0.353958834	31	Control	AD
CBLN2|ENSG00000141668	0.056295277	0.858320446	31	Control	AD
BTG2|ENSG00000159388	0.50213873	0.066612004	31	Control	AD
KIDINS220|ENSG00000134313	-0.101871286	0.670008062	31	Control	AD
REPS2|ENSG00000169891	-0.036048085	0.898845737	31	Control	AD
WDR81|ENSG00000167716	0.217420852	0.338690699	31	Control	AD
MYBPH|ENSG00000133055	0.096449989	0.71709559	31	Control	AD
WDR47|ENSG00000085433	0.139614511	0.577051535	31	Control	AD
ERG28|ENSG00000133935	0.201450234	0.232277565	31	Control	AD
RHOT1|ENSG00000126858	-0.188346495	0.347377284	31	Control	AD
LIG4|ENSG00000174405	-0.241204967	0.355665818	31	Control	AD
TACC2|ENSG00000138162	0.118924627	0.653603572	31	Control	AD
C19orf48P|ENSG00000167747	0.652353385	0.0127687	31	Control	AD
	0.091352935	0.77212675	31	Control	AD
SLC26A4-AS1|ENSG00000233705	0.021116393	0.943599158	31	Control	AD
FGF13|ENSG00000129682	0.082489499	0.790428219	31	Control	AD
AP1AR|ENSG00000138660	0.15557964	0.467331061	31	Control	AD
PRICKLE1|ENSG00000139174	0.187844969	0.548250542	31	Control	AD
PCMT1|ENSG00000120265	0.145622352	0.583464293	31	Control	AD
CDKN1A|ENSG00000124762	0.892074336	0.004350762	31	Control	AD
RRAS|ENSG00000126458	0.334221848	0.229544336	31	Control	AD
AP1S2|ENSG00000182287	-0.269386475	0.269228816	31	Control	AD
NKIRAS1|ENSG00000197885	0.171216663	0.480687518	31	Control	AD
SLC38A3|ENSG00000188338	0.452622712	0.135252631	31	Control	AD
UNC80|ENSG00000144406	0.157638839	0.609079732	31	Control	AD
PTPN4|ENSG00000088179	0.051523557	0.846019411	31	Control	AD
PNMA2|ENSG00000240694	0.092731796	0.761442972	31	Control	AD
SLC16A14|ENSG00000163053	0.434148293	0.168217897	31	Control	AD
SELENON|ENSG00000162430	0.414180069	0.086546313	31	Control	AD
