gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ELF4|ENSG00000102034	2.236516825	8.18498e-07	18	Control	AD
ARRB2|ENSG00000141480	0.80123348	9.4644e-07	18	Control	AD
ARAP1|ENSG00000186635	1.166228997	9.52457e-07	18	Control	AD
TGFBR1|ENSG00000106799	1.023275657	9.83452e-07	18	Control	AD
LSP1|ENSG00000130592	2.517403042	1.00427e-06	18	Control	AD
ARHGAP9|ENSG00000123329	1.055762727	1.00579e-06	18	Control	AD
SASH3|ENSG00000122122	2.058798419	1.02811e-06	18	Control	AD
CSF3R|ENSG00000119535	2.152350507	1.1206e-06	18	Control	AD
SLC1A5|ENSG00000105281	2.386185042	1.19352e-06	18	Control	AD
FGD3|ENSG00000127084	1.891958764	1.20423e-06	18	Control	AD
KGD4|ENSG00000134056	-1.081574909	1.25498e-06	18	Control	AD
CYFIP1|ENSG00000273749	0.662006326	1.26905e-06	18	Control	AD
CD84|ENSG00000066294	2.350018817	1.28055e-06	18	Control	AD
PIK3R6|ENSG00000276231	1.810152581	1.30696e-06	18	Control	AD
LILRB3|ENSG00000274587	2.299443947	1.3179e-06	18	Control	AD
ADCY7|ENSG00000121281	1.526775452	1.44628e-06	18	Control	AD
LOXL3|ENSG00000115318	1.21276228	1.50109e-06	18	Control	AD
FYB1|ENSG00000082074	2.021633554	1.60146e-06	18	Control	AD
CSF1R|ENSG00000182578	1.656286228	1.66228e-06	18	Control	AD
HLA-DMA|ENSG00000243719	1.801589495	1.7045e-06	18	Control	AD
LINC00484|ENSG00000235641	1.511373952	1.72393e-06	18	Control	AD
IKZF1|ENSG00000185811	1.966905676	1.74532e-06	18	Control	AD
BPNT1|ENSG00000162813	-0.817023505	1.7785e-06	18	Control	AD
MYO9B|ENSG00000099331	1.058524568	1.85262e-06	18	Control	AD
CNPY3|ENSG00000137161	0.774368537	1.85338e-06	18	Control	AD
SELPLG|ENSG00000110876	1.889605918	1.86516e-06	18	Control	AD
TFEC|ENSG00000105967	2.214279546	1.91673e-06	18	Control	AD
MAN2B1|ENSG00000104774	1.115263114	1.9248e-06	18	Control	AD
PLCB2|ENSG00000137841	1.594256976	2.0005e-06	18	Control	AD
ALOX5|ENSG00000275565	1.731961446	2.02985e-06	18	Control	AD
LRCH4|ENSG00000077454	0.875306912	2.03205e-06	18	Control	AD
HLA-DPB1|ENSG00000230708	1.492087279	2.05752e-06	18	Control	AD
VAV1|ENSG00000141968	1.931066531	2.15943e-06	18	Control	AD
BTK|ENSG00000010671	2.387059417	2.20322e-06	18	Control	AD
RASAL3|ENSG00000105122	2.073877661	2.54949e-06	18	Control	AD
DDIT4|ENSG00000168209	1.621594375	2.59567e-06	18	Control	AD
TNFAIP3|ENSG00000118503	1.736606183	2.61633e-06	18	Control	AD
RDH11|ENSG00000072042	-0.520982473	2.7022e-06	18	Control	AD
RCN3|ENSG00000142552	1.148436084	2.79042e-06	18	Control	AD
RIN3|ENSG00000100599	1.857692551	2.80921e-06	18	Control	AD
DISC1|ENSG00000162946	1.316940764	2.91497e-06	18	Control	AD
SLA|ENSG00000155926	1.711891633	3.07189e-06	18	Control	AD
RNASE6|ENSG00000169413	2.25181066	3.19593e-06	18	Control	AD
CRY2|ENSG00000121671	-0.522669165	3.33547e-06	18	Control	AD
PTGS1|ENSG00000095303	1.762564881	3.44396e-06	18	Control	AD
CD180|ENSG00000134061	2.715170438	3.51477e-06	18	Control	AD
RGS1|ENSG00000090104	3.813300462	3.54315e-06	18	Control	AD
DOK3|ENSG00000146094	1.13997198	3.55885e-06	18	Control	AD
ST14|ENSG00000149418	2.183708108	3.68458e-06	18	Control	AD
PTPRC|ENSG00000081237	1.739795949	3.84053e-06	18	Control	AD
TNFAIP2|ENSG00000185215	1.366409295	3.84314e-06	18	Control	AD
INPP5D|ENSG00000168918	1.690360152	3.95045e-06	18	Control	AD
